brand,model,engine,horse_pwr,trans,gas,drive,build_year,mileage_kms,price_rub,date
Volkswagen,Arteon,2.0,280,AMT,бензин,полный,2020,50000,3260000,2023-12-30
Volkswagen,Arteon,2.0,190,AMT,бензин,передний,2020,26966,2735000,2023-12-30
Volkswagen,Arteon,2.0,150,AMT,дизель,передний,2019,46000,2000000,2023-12-30
Volkswagen,Arteon,2.0,150,AMT,дизель,передний,2018,118000,2990000,2023-12-30
Volkswagen,Arteon,2.0,190,AMT,дизель,передний,2019,111868,2560000,2023-12-30
Volkswagen,Arteon,2.0,240,AMT,дизель,полный,2018,144277,3319000,2023-12-30
Volkswagen,Arteon,1.5,150,MT,бензин,передний,2018,75082,2450000,2023-12-30
Volkswagen,Arteon,2.0,280,AMT,бензин,полный,2019,45000,3900000,2023-12-30
Volkswagen,Arteon,2.0,268,AT,бензин,полный,2020,21000,2350000,2023-12-30
Volkswagen,Arteon,2.0,190,AMT,дизель,полный,2019,169000,3146000,2023-12-30
Volkswagen,Arteon,2.0,190,AMT,дизель,передний,2018,113000,3700000,2023-12-30
Volkswagen,Arteon,2.0,150,AMT,дизель,передний,2018,89000,2950000,2023-12-30
Volkswagen,Arteon,2.0,200,AMT,дизель,передний,2023,130,5700000,2023-12-30
Volkswagen,Arteon,2.0,240,AMT,дизель,полный,2017,107000,3233000,2023-12-30
Volkswagen,Arteon,2.0,150,AMT,дизель,передний,2019,51000,2400000,2023-12-30
Volkswagen,Arteon,2.0,268,AT,бензин,передний,2020,40000,3900000,2023-12-30
Volkswagen,Arteon,2.0,190,AMT,бензин,передний,2019,49000,3250000,2023-12-30
Volkswagen,Arteon,2.0,190,AMT,дизель,передний,2019,45000,3100000,2023-12-30
Volkswagen,Arteon,2.0,150,AMT,дизель,передний,2018,118452,2899000,2023-12-30
Volkswagen,Arteon,2.0,190,AMT,дизель,полный,2019,85457,3590000,2023-12-30
Volkswagen,Arteon,2.0,190,AMT,дизель,полный,2019,200000,3300000,2023-12-30
Volkswagen,Arteon,2.0,190,AMT,дизель,передний,2020,192500,2900000,2023-12-30
Volkswagen,Arteon,2.0,190,AMT,дизель,передний,2019,108000,2340000,2023-12-30
Volkswagen,Arteon,2.0,240,AMT,дизель,полный,2020,22439,2560000,2023-12-30
Volkswagen,Arteon,2.0,240,AMT,дизель,полный,2017,130000,3199999,2023-12-30
Volkswagen,Arteon,2.0,200,AMT,дизель,полный,2022,24000,5800000,2023-12-30
Volkswagen,Arteon,2.0,190,AMT,дизель,передний,2019,63578,2675000,2023-12-30
Volkswagen,Arteon,2.0,190,AMT,дизель,передний,2020,48500,1960000,2023-12-30
Volkswagen,Arteon,2.0,190,AMT,дизель,передний,2019,78000,2999999,2023-12-30
Volkswagen,Arteon,2.0,150,AMT,дизель,передний,2019,129000,2700000,2023-12-30
Volkswagen,Arteon,2.0,190,AMT,дизель,передний,2019,41000,2061000,2023-12-30
Volkswagen,Arteon,2.0,190,AMT,дизель,передний,2019,89157,2520000,2023-12-30
Volkswagen,Arteon,2.0,190,AMT,бензин,передний,2020,32682,3319000,2023-12-30
Volkswagen,Arteon,2.0,190,AMT,дизель,передний,2019,102000,2385000,2023-12-30
Volkswagen,Arteon,2.0,200,AMT,дизель,передний,2020,55000,3800000,2023-12-30
Volkswagen,Arteon,2.0,268,AT,бензин,передний,2020,24000,2050000,2023-12-30
Volkswagen,Arteon,2.0,190,AMT,бензин,передний,2020,26000,3300000,2023-12-30
Volkswagen,Arteon,2.0,200,AMT,дизель,передний,2023,8000,5300000,2023-12-30
Volkswagen,Arteon,2.0,240,AMT,дизель,полный,2019,59000,4300000,2023-12-30
Volkswagen,Arteon,2.0,190,AMT,бензин,передний,2020,31000,3300000,2023-12-30
Volkswagen,Arteon,2.0,280,AMT,бензин,полный,2019,71000,3350000,2023-12-30
Volkswagen,Arteon,2.0,190,AMT,дизель,полный,2018,162332,2789000,2023-12-30
Volkswagen,Arteon,2.0,190,AMT,бензин,передний,2022,3700,4300000,2023-12-30
Volkswagen,Arteon,2.0,200,AMT,дизель,полный,2022,15000,6350000,2023-12-30
Volkswagen,Arteon,2.0,150,AMT,дизель,передний,2019,51000,2780000,2023-12-30
Volkswagen,Arteon,2.0,190,AMT,бензин,передний,2019,40000,2250000,2023-12-30
Volkswagen,Arteon,2.0,190,AMT,бензин,передний,2020,66000,3390000,2023-12-30
Volkswagen,Arteon,2.0,200,AMT,дизель,полный,2020,120000,4550000,2023-12-30
Volkswagen,Arteon,2.0,190,AMT,дизель,полный,2018,99000,3500000,2023-12-30
Volkswagen,Arteon,2.0,190,AMT,бензин,передний,2020,37005,2830000,2023-12-30
