brand,model,engine,horse_pwr,trans,gas,drive,build_year,mileage_kms,price_rub,date
Volkswagen,Jetta,1.6,105,AT,бензин,передний,2014,229131,1140000,2023-12-30
Volkswagen,Jetta,1.4,150,AMT,бензин,передний,2015,148236,1550000,2023-12-30
Volkswagen,Jetta,1.6,72,MT,бензин,передний,1990,428000,83000,2023-12-30
Volkswagen,Jetta,1.4,122,AMT,бензин,передний,2013,195000,849000,2023-12-30
Volkswagen,Jetta,1.4,150,MT,бензин,передний,2013,190000,1400000,2023-12-30
Volkswagen,Jetta,1.4,150,AT,бензин,передний,2020,77700,2350000,2023-12-30
Volkswagen,Jetta,1.4,122,MT,бензин,передний,2014,116000,1560000,2023-12-30
Volkswagen,Jetta,1.4,147,AT,бензин,передний,2019,37600,1890000,2023-12-30
Volkswagen,Jetta,1.6,110,AT,бензин,передний,2020,96000,2200000,2023-12-30
Volkswagen,Jetta,1.4,140,MT,бензин,передний,2007,257895,1000000,2023-12-30
Volkswagen,Jetta,1.6,105,MT,бензин,передний,2014,138065,1280000,2023-12-30
Volkswagen,Jetta,1.6,110,AT,бензин,передний,2017,71623,1790000,2023-12-30
Volkswagen,Jetta,1.4,125,AMT,бензин,передний,2018,45083,2100000,2023-12-30
Volkswagen,Jetta,1.4,125,AMT,бензин,передний,2013,149645,1100000,2023-12-30
Volkswagen,Jetta,1.4,125,AMT,бензин,передний,2018,128000,2100000,2023-12-30
Volkswagen,Jetta,1.6,110,AT,бензин,передний,2020,27957,2249000,2023-12-30
Volkswagen,Jetta,1.6,110,AT,бензин,передний,2016,68000,1447000,2023-12-30
Volkswagen,Jetta,1.4,150,AT,бензин,передний,2018,120000,2000000,2023-12-30
Volkswagen,Jetta,1.6,105,MT,бензин,передний,2012,370000,950000,2023-12-30
Volkswagen,Jetta,1.6,75,MT,бензин,передний,1988,250000,110000,2023-12-30
Volkswagen,Jetta,1.4,150,AT,бензин,передний,2021,14587,2910000,2023-12-30
Volkswagen,Jetta,1.4,147,MT,бензин,передний,2019,120312,1849990,2023-12-30
Volkswagen,Jetta,1.4,150,AT,бензин,передний,2018,67000,2599000,2023-12-30
Volkswagen,Jetta,1.4,147,AT,бензин,передний,2020,48000,2200000,2023-12-30
Volkswagen,Jetta,1.4,122,AMT,бензин,передний,2013,260000,1190000,2023-12-30
Volkswagen,Jetta,1.6,105,MT,бензин,передний,2014,225000,998000,2023-12-30
Volkswagen,Jetta,1.4,122,AMT,бензин,передний,2012,111111,1400000,2023-12-30
Volkswagen,Jetta,1.6,105,MT,бензин,передний,2012,194000,1100000,2023-12-30
Volkswagen,Jetta,1.4,150,AT,бензин,передний,2016,74000,1649000,2023-12-30
Volkswagen,Jetta,1.6,105,AT,бензин,передний,2015,204410,1127000,2023-12-30
Volkswagen,Jetta,1.6,85,MT,бензин,передний,2014,180033,1339000,2023-12-30
Volkswagen,Jetta,1.6,102,AT,бензин,передний,2009,220000,900000,2023-12-30
Volkswagen,Jetta,1.4,122,MT,бензин,передний,2015,158000,1450000,2023-12-30
Volkswagen,Jetta,1.4,150,AT,бензин,передний,2016,109000,1675000,2023-12-30
Volkswagen,Jetta,1.6,72,MT,бензин,передний,1991,400000,110000,2023-12-30
Volkswagen,Jetta,1.4,150,AT,бензин,передний,2016,90000,1830000,2023-12-30
Volkswagen,Jetta,1.6,110,AT,бензин,передний,2020,85690,2246000,2023-12-30
Volkswagen,Jetta,1.4,150,AMT,бензин,передний,2018,99000,1745250,2023-12-30
Volkswagen,Jetta,1.4,150,AT,бензин,передний,2020,40000,1850000,2023-12-30
Volkswagen,Jetta,1.6,105,MT,бензин,передний,2013,141000,1040000,2023-12-30
Volkswagen,Jetta,1.6,102,AMT,бензин,передний,2010,221993,800000,2023-12-30
Volkswagen,Jetta,1.6,110,AT,бензин,передний,2020,41290,2230000,2023-12-30
Volkswagen,Jetta,1.6,105,AT,бензин,передний,2012,179000,1550000,2023-12-30
Volkswagen,Jetta,1.6,85,MT,бензин,передний,2014,234248,1115000,2023-12-30
