brand,model,engine,horse_pwr,trans,gas,drive,build_year,mileage_kms,price_rub,date
Volkswagen,Passat,2.0,140,AT,дизель,передний,2008,260000,660000,2023-12-30
Volkswagen,Passat,1.8,152,AMT,бензин,передний,2013,221000,1430000,2023-12-30
Volkswagen,Passat,2.0,190,AMT,бензин,передний,2020,54000,2800000,2023-12-30
Volkswagen,Passat,1.8,107,MT,бензин,передний,1989,99999,10000,2023-12-30
Volkswagen,Passat,2.0,190,AMT,дизель,полный,2018,160000,2700000,2023-12-30
Volkswagen,Passat,1.6,120,AMT,дизель,передний,2018,95000,2300000,2023-12-30
Volkswagen,Passat,1.6,102,MT,бензин,передний,2008,161000,825000,2023-12-30
Volkswagen,Passat,1.8,160,MT,бензин,передний,2009,259000,759200,2023-12-30
Volkswagen,Passat,1.8,180,AMT,бензин,передний,2016,120000,2200000,2023-12-30
Volkswagen,Passat,1.8,150,MT,бензин,передний,2004,296000,440000,2023-12-30
Volkswagen,Passat,1.8,152,AMT,бензин,передний,2013,153000,1315000,2023-12-30
Volkswagen,Passat,2.0,143,AT,дизель,передний,2009,200000,850000,2023-12-30
Volkswagen,Passat,2.0,240,AMT,дизель,полный,2020,75000,3700000,2023-12-30
Volkswagen,Passat,1.4,122,MT,бензин,передний,2014,74500,1600000,2023-12-30
Volkswagen,Passat,1.8,152,AMT,бензин,передний,2011,278000,1700000,2023-12-30
Volkswagen,Passat,2.0,150,AMT,дизель,передний,2018,142000,2570000,2023-12-30
Volkswagen,Passat,1.8,125,MT,бензин,передний,1997,999999,200000,2023-12-30
Volkswagen,Passat,1.8,180,AMT,бензин,передний,2015,80000,2350000,2023-12-30
Volkswagen,Passat,1.8,152,AMT,бензин,передний,2010,131000,1100000,2023-12-30
Volkswagen,Passat,2.0,140,AMT,дизель,передний,2007,240000,720000,2023-12-30
Volkswagen,Passat,1.8,160,AT,бензин,передний,2008,225000,1000000,2023-12-30
Volkswagen,Passat,1.8,170,AT,бензин,передний,2003,273000,450000,2023-12-30
Volkswagen,Passat,1.8,152,AMT,бензин,передний,2010,222000,950000,2023-12-30
Volkswagen,Passat,1.4,122,AMT,бензин,передний,2011,80000,1300000,2023-12-30
Volkswagen,Passat,1.8,180,AMT,бензин,передний,2017,170000,1850000,2023-12-30
Volkswagen,Passat,1.8,152,AMT,бензин,передний,2011,208000,1050000,2023-12-30
Volkswagen,Passat,1.6,120,AMT,дизель,передний,2019,111240,2450000,2023-12-30
Volkswagen,Passat,2.0,150,AMT,дизель,передний,2019,141000,2595000,2023-12-30
Volkswagen,Passat,1.6,101,MT,бензин,передний,1998,295000,280000,2023-12-30
Volkswagen,Passat,1.8,180,AMT,бензин,передний,2017,96650,2480000,2023-12-30
Volkswagen,Passat,1.8,125,MT,бензин,передний,1998,305041,400000,2023-12-30
Volkswagen,Passat,1.8,152,AMT,бензин,передний,2012,152000,1400000,2023-12-30
Volkswagen,Passat,1.6,75,MT,бензин,передний,1989,300000,110000,2023-12-30
Volkswagen,Passat,2.0,150,AMT,дизель,передний,2017,139816,1979000,2023-12-30
Volkswagen,Passat,1.9,90,MT,дизель,передний,1990,330000,250000,2023-12-30
Volkswagen,Passat,2.0,150,AMT,дизель,передний,2018,178000,2050000,2023-12-30
Volkswagen,Passat,1.8,152,AMT,бензин,передний,2010,175000,825000,2023-12-30
Volkswagen,Passat,1.8,170,AT,бензин,передний,2002,377000,450000,2023-12-30
Volkswagen,Passat,2.0,115,MT,бензин,передний,1991,32356,250000,2023-12-30
Volkswagen,Passat,2.8,193,AT,бензин,полный,2001,519465,550000,2023-12-30
Volkswagen,Passat,1.8,90,MT,бензин,передний,1988,300000,30000,2023-12-30
Volkswagen,Passat,2.0,190,AMT,дизель,передний,2016,220000,2500000,2023-12-30
Volkswagen,Passat,1.4,125,AMT,бензин,передний,2016,123000,2170000,2023-12-30
Volkswagen,Passat,1.8,180,AMT,бензин,передний,2018,141439,2149000,2023-12-30
Volkswagen,Passat,1.4,218,AMT,гибрид,передний,2020,130000,2950000,2023-12-30
Volkswagen,Passat,1.8,160,AT,бензин,передний,2008,180000,800000,2023-12-30
