brand,model,engine,horse_pwr,trans,gas,drive,build_year,mileage_kms,price_rub,date
Volkswagen,Passat Cc,1.8,152,AMT,бензин,передний,2013,190000,1449000,2023-12-30
Volkswagen,Passat Cc,2.0,210,AMT,бензин,передний,2012,186000,1395000,2023-12-30
Volkswagen,Passat Cc,1.8,160,MT,бензин,передний,2011,178000,1350000,2023-12-30
Volkswagen,Passat Cc,1.8,152,AMT,бензин,передний,2013,103000,1580000,2023-12-30
Volkswagen,Passat Cc,1.8,152,AMT,бензин,передний,2011,213000,1129900,2023-12-30
Volkswagen,Passat Cc,1.8,152,AMT,бензин,передний,2012,192000,1300000,2023-12-30
Volkswagen,Passat Cc,1.8,152,AMT,бензин,передний,2012,180163,1099000,2023-12-30
Volkswagen,Passat Cc,1.8,152,AMT,бензин,передний,2010,150000,1100000,2023-12-30
Volkswagen,Passat Cc,1.8,152,MT,бензин,передний,2009,171000,880000,2023-12-30
Volkswagen,Passat Cc,1.8,152,AMT,бензин,передний,2014,189159,1630000,2023-12-30
Volkswagen,Passat Cc,1.8,152,AMT,бензин,передний,2013,154000,1600000,2023-12-30
Volkswagen,Passat Cc,1.8,152,MT,бензин,передний,2012,212000,956000,2023-12-30
Volkswagen,Passat Cc,2.0,200,AT,бензин,передний,2008,230000,890000,2023-12-30
Volkswagen,Passat Cc,1.8,152,MT,бензин,передний,2011,295000,1100000,2023-12-30
Volkswagen,Passat Cc,1.8,152,AMT,бензин,передний,2013,226000,1400000,2023-12-30
Volkswagen,Passat Cc,1.8,152,AMT,бензин,передний,2011,250000,1100000,2023-12-30
Volkswagen,Passat Cc,2.0,200,AT,бензин,передний,2009,129303,1200000,2023-12-30
Volkswagen,Passat Cc,1.8,152,MT,бензин,передний,2010,207000,1177000,2023-12-30
Volkswagen,Passat Cc,2.0,200,AT,бензин,передний,2010,230000,1150000,2023-12-30
Volkswagen,Passat Cc,1.8,152,AMT,бензин,передний,2012,184713,1370000,2023-12-30
Volkswagen,Passat Cc,1.8,152,MT,бензин,передний,2011,215451,940000,2023-12-30
Volkswagen,Passat Cc,1.8,152,MT,бензин,передний,2012,191750,1430000,2023-12-30
Volkswagen,Passat Cc,1.8,152,AMT,бензин,передний,2013,124000,1675000,2023-12-30
Volkswagen,Passat Cc,1.8,152,AMT,бензин,передний,2012,202000,1450000,2023-12-30
Volkswagen,Passat Cc,3.6,300,AMT,бензин,полный,2013,234000,1599000,2023-12-30
Volkswagen,Passat Cc,2.0,200,AT,бензин,передний,2009,236500,1150000,2023-12-30
Volkswagen,Passat Cc,1.8,152,AMT,бензин,передний,2012,190000,1650000,2023-12-30
Volkswagen,Passat Cc,1.8,152,MT,бензин,передний,2012,221000,1245000,2023-12-30
Volkswagen,Passat Cc,1.8,152,AMT,бензин,передний,2010,130957,1222000,2023-12-30
Volkswagen,Passat Cc,1.8,152,AMT,бензин,передний,2011,183000,1080000,2023-12-30
Volkswagen,Passat Cc,1.8,152,MT,бензин,передний,2011,190000,890000,2023-12-30
Volkswagen,Passat Cc,1.8,152,AMT,бензин,передний,2011,202435,1179999,2023-12-30
Volkswagen,Passat Cc,2.0,200,AT,бензин,передний,2008,282000,875000,2023-12-30
Volkswagen,Passat Cc,1.8,152,AMT,бензин,передний,2012,180000,1399000,2023-12-30
Volkswagen,Passat Cc,1.8,160,AMT,бензин,передний,2012,160904,1290000,2023-12-30
Volkswagen,Passat Cc,1.8,152,AMT,бензин,передний,2014,172000,1600000,2023-12-30
Volkswagen,Passat Cc,1.8,152,MT,бензин,передний,2011,153000,930000,2023-12-30
Volkswagen,Passat Cc,1.8,152,AMT,бензин,передний,2009,198000,850000,2023-12-30
Volkswagen,Passat Cc,1.8,152,AMT,бензин,передний,2011,215000,860000,2023-12-30
Volkswagen,Passat Cc,1.8,152,AMT,бензин,передний,2012,345000,1470000,2023-12-30
Volkswagen,Passat Cc,1.8,152,AMT,бензин,передний,2013,158212,1300000,2023-12-30
Volkswagen,Passat Cc,2.0,200,AT,бензин,передний,2009,239000,1250000,2023-12-30
Volkswagen,Passat Cc,1.8,152,AMT,бензин,передний,2012,250000,1650000,2023-12-30
Volkswagen,Passat Cc,1.8,152,AMT,бензин,передний,2013,181000,1790000,2023-12-30
Volkswagen,Passat Cc,1.8,152,AMT,бензин,передний,2014,107575,1560000,2023-12-30
Volkswagen,Passat Cc,2.0,200,AT,бензин,передний,2010,230000,978000,2023-12-30
Volkswagen,Passat Cc,1.8,152,AMT,бензин,передний,2012,189000,1499000,2023-12-30
Volkswagen,Passat Cc,1.8,152,AMT,бензин,передний,2010,250000,1050000,2023-12-30
Volkswagen,Passat Cc,1.8,152,AMT,бензин,передний,2012,184000,1470000,2023-12-30
Volkswagen,Passat Cc,1.8,152,AMT,бензин,передний,2012,159164,1049000,2023-12-30
