brand,model,engine,horse_pwr,trans,gas,drive,build_year,mileage_kms,price_rub,date
Volkswagen,Amarok,3.0,224,AT,дизель,полный,2019,139460,4060000,2024-01-03
Volkswagen,Amarok,2.0,122,MT,дизель,полный,2011,300000,1639000,2024-01-03
Volkswagen,Amarok,2.0,180,AT,дизель,полный,2013,159000,1629000,2024-01-03
Volkswagen,Amarok,2.0,180,AT,дизель,полный,2013,100418,1829000,2024-01-03
Volkswagen,Amarok,2.0,163,MT,дизель,полный,2011,246550,1275600,2024-01-03
Volkswagen,Amarok,2.0,180,AT,дизель,полный,2013,273000,2100000,2024-01-03
Volkswagen,Amarok,2.0,140,MT,дизель,полный,2020,42000,3699000,2024-01-03
Volkswagen,Amarok,2.0,180,AT,дизель,полный,2013,303000,1599000,2024-01-03
Volkswagen,Amarok,2.0,163,MT,дизель,полный,2011,210000,1400000,2024-01-03
Volkswagen,Amarok,2.0,140,MT,дизель,полный,2013,134800,1539900,2024-01-03
Volkswagen,Amarok,2.0,140,MT,дизель,полный,2013,121646,2199000,2024-01-03
Volkswagen,Amarok,2.0,163,MT,дизель,полный,2011,151700,2180000,2024-01-03
Volkswagen,Amarok,2.0,180,MT,дизель,полный,2013,265000,1590000,2024-01-03
Volkswagen,Amarok,2.0,163,MT,дизель,полный,2011,209000,1500000,2024-01-03
Volkswagen,Amarok,2.0,180,AT,дизель,полный,2017,192000,2990000,2024-01-03
Volkswagen,Amarok,2.0,180,AT,дизель,полный,2013,350000,2100000,2024-01-03
Volkswagen,Amarok,2.0,140,MT,дизель,полный,2013,203500,1650000,2024-01-03
Volkswagen,Amarok,2.0,180,AT,дизель,полный,2012,141123,2478000,2024-01-03
Volkswagen,Amarok,2.0,180,MT,дизель,полный,2016,147000,2500000,2024-01-03
Volkswagen,Amarok,2.0,180,AT,дизель,полный,2016,199660,2640000,2024-01-03
Volkswagen,Amarok,2.0,180,AT,дизель,полный,2012,369000,1560000,2024-01-03
Volkswagen,Amarok,3.0,224,AT,дизель,полный,2019,136954,4025000,2024-01-03
Volkswagen,Amarok,2.0,180,AT,дизель,полный,2016,112000,3100000,2024-01-03
Volkswagen,Amarok,2.0,180,AT,дизель,полный,2013,220000,2100000,2024-01-03
Volkswagen,Amarok,2.0,180,AT,дизель,полный,2014,243000,1980000,2024-01-03
Volkswagen,Amarok,2.0,180,AT,дизель,полный,2018,60800,3790990,2024-01-03
Volkswagen,Amarok,2.0,180,AT,дизель,полный,2012,163500,2300000,2024-01-03
Volkswagen,Amarok,3.0,224,AT,дизель,полный,2020,115649,4290000,2024-01-03
Volkswagen,Amarok,3.0,224,AT,дизель,полный,2019,195000,4000000,2024-01-03
Volkswagen,Amarok,2.0,180,AT,дизель,полный,2012,190412,2075000,2024-01-03
Volkswagen,Amarok,2.0,180,AT,дизель,полный,2017,160927,2797667,2024-01-03
Volkswagen,Amarok,2.0,180,AT,дизель,полный,2020,97026,4280000,2024-01-03
Volkswagen,Amarok,2.0,122,MT,дизель,полный,2012,350000,950000,2024-01-03
Volkswagen,Amarok,2.0,163,MT,дизель,полный,2015,190000,2500500,2024-01-03
Volkswagen,Amarok,2.0,122,MT,дизель,полный,2012,256468,1750000,2024-01-03
Volkswagen,Amarok,3.0,224,AT,дизель,полный,2018,333200,2980000,2024-01-03
Volkswagen,Amarok,2.0,180,MT,дизель,полный,2015,200000,2300000,2024-01-03
Volkswagen,Amarok,3.0,224,AT,дизель,полный,2018,130000,3699000,2024-01-03
Volkswagen,Amarok,2.0,140,MT,дизель,полный,2015,238000,1780000,2024-01-03
Volkswagen,Amarok,3.0,224,AT,дизель,полный,2017,102000,4500000,2024-01-03
Volkswagen,Amarok,2.0,163,MT,дизель,полный,2011,245000,1410000,2024-01-03
Volkswagen,Amarok,2.0,180,AT,дизель,полный,2013,358000,1785000,2024-01-03
Volkswagen,Amarok,3.0,224,AT,дизель,полный,2020,71000,4700000,2024-01-03
Volkswagen,Amarok,2.0,163,MT,дизель,полный,2011,162316,1399000,2024-01-03
Volkswagen,Amarok,2.0,180,AT,дизель,полный,2012,324063,1485000,2024-01-03
Volkswagen,Amarok,2.0,180,AT,дизель,полный,2012,185024,1580000,2024-01-03
Volkswagen,Amarok,2.0,180,AT,дизель,полный,2012,322500,1890000,2024-01-03
Volkswagen,Amarok,2.0,163,MT,дизель,полный,2011,300000,1890000,2024-01-03
Volkswagen,Amarok,2.0,180,AT,дизель,полный,2013,200650,1530000,2024-01-03
