brand,model,engine,horse_pwr,trans,gas,drive,build_year,mileage_kms,price_rub,date
Audi,A6,2.0,190,AMT,дизель,полный,2016,106274,1949000,2023-12-09
Audi,A6,2.0,245,AMT,бензин,полный,2019,38754,3835700,2023-12-09
Audi,A6,2.0,204,AMT,дизель,передний,2018,191196,3720000,2023-12-09
Audi,A6,2.0,245,AMT,бензин,полный,2020,96589,4329000,2023-12-09
Audi,A6,3.0,300,AMT,бензин,полный,2011,250000,1580000,2023-12-09
Audi,A6,2.0,180,CVT,бензин,передний,2014,146000,1449000,2023-12-09
Audi,A6,2.4,177,CVT,бензин,передний,2006,191000,775000,2023-12-09
Audi,A6,2.0,245,AMT,бензин,полный,2020,18414,6195000,2023-12-09
Audi,A6,3.0,245,AMT,дизель,полный,2013,264000,1650000,2023-12-09
Audi,A6,2.0,140,CVT,дизель,передний,2007,260000,780000,2023-12-09
Audi,A6,1.8,190,AMT,бензин,передний,2016,215706,2190000,2023-12-09
Audi,A6,2.0,180,CVT,бензин,передний,2012,137000,1750000,2023-12-09
Audi,A6,2.4,177,CVT,бензин,передний,2006,280000,590000,2023-12-09
Audi,A6,2.8,204,AMT,бензин,полный,2014,148000,1730000,2023-12-09
Audi,A6,3.1,255,AT,бензин,полный,2007,111111,780000,2023-12-09
Audi,A6,1.8,190,AMT,бензин,передний,2015,124618,1649000,2023-12-09
Audi,A6,2.0,180,CVT,бензин,передний,2012,98000,2130000,2023-12-09
Audi,A6,1.9,130,MT,дизель,передний,2003,355659,689000,2023-12-09
Audi,A6,2.0,249,AMT,бензин,полный,2018,125000,3579000,2023-12-09
Audi,A6,2.0,180,CVT,бензин,передний,2014,152000,1650000,2023-12-09
Audi,A6,2.5,150,AT,дизель,передний,1998,280000,280000,2023-12-09
Audi,A6,1.9,110,MT,дизель,передний,2000,250000,390000,2023-12-09
Audi,A6,3.0,245,AMT,дизель,полный,2011,218000,1989000,2023-12-09
Audi,A6,1.8,190,AMT,бензин,передний,2015,126000,1699000,2023-12-09
Audi,A6,2.0,180,CVT,бензин,передний,2012,132800,1880000,2023-12-09
Audi,A6,2.4,165,MT,бензин,передний,1998,250000,465000,2023-12-09
Audi,A6,3.0,272,AMT,дизель,полный,2017,99000,2240000,2023-12-09
Audi,A6,2.0,180,CVT,бензин,передний,2014,35000,2900000,2023-12-09
Audi,A6,2.5,150,AT,дизель,передний,1999,395150,600000,2023-12-09
Audi,A6,2.4,177,CVT,бензин,передний,2004,217112,683000,2023-12-09
Audi,A6,2.0,190,AMT,бензин,передний,2020,43390,4190000,2023-12-09
Audi,A6,2.0,204,AMT,дизель,полный,2022,12231,6750000,2023-12-09
Audi,A6,2.4,177,CVT,бензин,передний,2006,100000,820000,2023-12-09
Audi,A6,2.0,180,CVT,бензин,передний,2013,171000,1399000,2023-12-09
Audi,A6,3.0,231,AT,дизель,полный,2019,67470,4599000,2023-12-09
Audi,A6,3.0,300,AMT,бензин,полный,2011,201000,1549999,2023-12-09
Audi,A6,2.8,190,CVT,бензин,передний,2009,202000,1199000,2023-12-09
Audi,A6,2.6,150,MT,бензин,передний,1996,350000,400000,2023-12-09
Audi,A6,3.0,340,AMT,бензин,полный,2018,119138,4590000,2023-12-09
Audi,A6,2.8,220,AMT,бензин,полный,2015,150000,2000000,2023-12-09
Audi,A6,3.0,300,AMT,бензин,полный,2011,119000,1699000,2023-12-09
Audi,A6,2.8,193,AT,бензин,полный,2000,200000,250000,2023-12-09
Audi,A6,3.0,333,AMT,бензин,полный,2016,114000,2710124,2023-12-09
Audi,A6,2.0,249,AMT,бензин,полный,2016,186000,2599000,2023-12-09
Audi,A6,2.4,165,MT,бензин,полный,1998,300000,415000,2023-12-09
Audi,A6,1.8,190,AMT,бензин,передний,2015,180000,2450000,2023-12-09
Audi,A6,3.0,220,MT,бензин,полный,2002,271258,900000,2023-12-09
Audi,A6,2.0,204,AMT,дизель,полный,2020,135000,3700000,2023-12-09
Audi,A6,3.0,245,AMT,дизель,полный,2011,248755,2150000,2023-12-09
