brand,model,engine,horse_pwr,trans,gas,drive,build_year,mileage_kms,price_rub,date
Volkswagen,Jetta,1.4,150,AT,бензин,передний,2018,95500,1700000,2023-12-10
Volkswagen,Jetta,1.4,150,MT,бензин,передний,2012,158000,1220000,2023-12-10
Volkswagen,Jetta,1.6,102,AT,бензин,передний,2010,170000,620000,2023-12-10
Volkswagen,Jetta,1.4,125,AMT,бензин,передний,2018,107679,1740200,2023-12-10
Volkswagen,Jetta,1.4,122,AMT,бензин,передний,2014,199998,1230000,2023-12-10
Volkswagen,Jetta,1.8,150,AT,бензин,передний,2002,310000,305000,2023-12-10
Volkswagen,Jetta,1.4,122,AMT,бензин,передний,2014,159504,900000,2023-12-10
Volkswagen,Jetta,1.4,122,MT,бензин,передний,2011,194800,900000,2023-12-10
Volkswagen,Jetta,1.6,72,MT,бензин,передний,1986,152370,100000,2023-12-10
Volkswagen,Jetta,1.4,122,MT,бензин,передний,2013,195000,1330000,2023-12-10
Volkswagen,Jetta,1.4,150,AT,бензин,передний,2018,100000,1429000,2023-12-10
Volkswagen,Jetta,1.6,105,MT,бензин,передний,2015,75415,1299000,2023-12-10
Volkswagen,Jetta,1.6,102,AT,бензин,передний,2009,234000,750000,2023-12-10
Volkswagen,Jetta,1.4,122,AMT,бензин,передний,2014,83000,1370000,2023-12-10
Volkswagen,Jetta,1.4,150,AT,бензин,передний,2020,24000,1800000,2023-12-10
Volkswagen,Jetta,1.6,105,MT,бензин,передний,2014,143000,998192,2023-12-10
Volkswagen,Jetta,1.6,110,AT,бензин,передний,2018,80325,1751331,2023-12-10
Volkswagen,Jetta,1.6,105,AT,бензин,передний,2012,210000,1149000,2023-12-10
Volkswagen,Jetta,1.6,105,AT,бензин,передний,2012,56581,1649000,2023-12-10
Volkswagen,Jetta,1.4,122,AMT,бензин,передний,2012,194000,1000000,2023-12-10
Volkswagen,Jetta,1.4,122,AMT,бензин,передний,2011,344000,900000,2023-12-10
Volkswagen,Jetta,1.6,110,MT,бензин,передний,2020,33000,2075000,2023-12-10
Volkswagen,Jetta,1.4,150,MT,бензин,передний,2017,113000,1449900,2023-12-10
Volkswagen,Jetta,1.6,105,AT,бензин,передний,2013,275000,910000,2023-12-10
Volkswagen,Jetta,1.4,150,AMT,бензин,передний,2015,148236,1550000,2023-12-10
Volkswagen,Jetta,1.6,102,AT,бензин,передний,2007,220000,520000,2023-12-10
Volkswagen,Jetta,1.4,122,MT,бензин,передний,2011,226960,1080000,2023-12-10
Volkswagen,Jetta,1.4,147,AT,бензин,передний,2019,127500,1738000,2023-12-10
Volkswagen,Jetta,1.4,122,AMT,бензин,передний,2011,138547,1100000,2023-12-10
Volkswagen,Jetta,1.4,122,MT,бензин,передний,2014,136000,1347000,2023-12-10
Volkswagen,Jetta,1.6,85,MT,бензин,передний,2015,290000,769000,2023-12-10
Volkswagen,Jetta,1.6,105,AT,бензин,передний,2013,67500,1299000,2023-12-10
Volkswagen,Jetta,1.6,105,AT,бензин,передний,2013,190000,1180000,2023-12-10
Volkswagen,Jetta,1.4,150,AMT,бензин,передний,2013,200000,1100777,2023-12-10
Volkswagen,Jetta,1.6,102,MT,бензин,передний,2008,333000,680000,2023-12-10
Volkswagen,Jetta,1.4,150,AT,бензин,передний,2017,34676,1590900,2023-12-10
Volkswagen,Jetta,1.4,150,AT,бензин,передний,2021,14587,2910000,2023-12-10
Volkswagen,Jetta,1.4,150,AT,бензин,передний,2020,47989,2260000,2023-12-10
Volkswagen,Jetta,1.4,125,AMT,бензин,передний,2016,121219,1517000,2023-12-10
Volkswagen,Jetta,1.4,150,AT,бензин,передний,2019,68500,2199000,2023-12-10
Volkswagen,Jetta,1.6,105,MT,бензин,передний,2013,159000,1320000,2023-12-10
Volkswagen,Jetta,1.6,85,MT,бензин,передний,2015,170000,1095000,2023-12-10
Volkswagen,Jetta,1.4,122,MT,бензин,передний,2013,240395,1257000,2023-12-10
Volkswagen,Jetta,2.5,170,AT,бензин,передний,2010,242317,960000,2023-12-10
Volkswagen,Jetta,1.6,110,AT,бензин,передний,2016,212559,1060000,2023-12-10
Volkswagen,Jetta,2.0,230,AMT,бензин,передний,2020,41000,2980000,2023-12-10
Volkswagen,Jetta,1.6,105,AT,бензин,передний,2014,218000,1270000,2023-12-10
Volkswagen,Jetta,1.4,122,AMT,бензин,передний,2015,152970,1435000,2023-12-10
