brand,model,engine,horse_pwr,trans,gas,drive,build_year,mileage_kms,price_rub,date
Volkswagen,Arteon,2.0,190,AMT,бензин,передний,2020,26700,2729000,2023-12-15
Volkswagen,Arteon,2.0,190,AMT,бензин,передний,2020,46500,3950000,2023-12-15
Volkswagen,Arteon,2.0,190,AMT,дизель,полный,2020,69104,2778300,2023-12-15
Volkswagen,Arteon,2.0,190,AMT,дизель,полный,2019,169000,3230000,2023-12-15
Volkswagen,Arteon,2.0,280,AMT,бензин,полный,2019,45000,3900000,2023-12-15
Volkswagen,Arteon,2.0,190,AMT,дизель,передний,2019,19634,4200000,2023-12-15
Volkswagen,Arteon,2.0,190,AMT,бензин,передний,2018,79000,3250000,2023-12-15
Volkswagen,Arteon,2.0,190,AMT,дизель,полный,2018,145000,3290000,2023-12-15
Volkswagen,Arteon,2.0,150,AMT,дизель,передний,2018,89000,2950000,2023-12-15
Volkswagen,Arteon,2.0,150,MT,дизель,передний,2019,136768,2400000,2023-12-15
Volkswagen,Arteon,2.0,190,AMT,бензин,передний,2019,49000,3250000,2023-12-15
Volkswagen,Arteon,2.0,190,AMT,дизель,передний,2018,201527,2450000,2023-12-15
Volkswagen,Arteon,2.0,200,AMT,дизель,полный,2022,28860,4460000,2023-12-15
Volkswagen,Arteon,2.0,240,AMT,дизель,полный,2019,135100,3800000,2023-12-15
Volkswagen,Arteon,2.0,240,AMT,дизель,полный,2018,67000,4150000,2023-12-15
Volkswagen,Arteon,2.0,240,AMT,дизель,полный,2017,130000,3199999,2023-12-15
Volkswagen,Arteon,2.0,280,AMT,бензин,полный,2021,12000,2200000,2023-12-15
Volkswagen,Arteon,2.0,190,AMT,дизель,передний,2019,41000,2061000,2023-12-15
Volkswagen,Arteon,2.0,190,AMT,дизель,полный,2019,200000,3300000,2023-12-15
Volkswagen,Arteon,2.0,190,AMT,дизель,передний,2019,48000,3549000,2023-12-15
Volkswagen,Arteon,2.0,200,AMT,дизель,полный,2022,36000,3100000,2023-12-15
Volkswagen,Arteon,2.0,268,AT,бензин,полный,2020,21000,2350000,2023-12-15
Volkswagen,Arteon,2.0,240,AMT,дизель,полный,2017,107000,3233000,2023-12-15
Volkswagen,Arteon,2.0,280,AMT,бензин,полный,2023,50,4990000,2023-12-15
Volkswagen,Arteon,2.0,200,AMT,дизель,передний,2020,45000,2300000,2023-12-15
Volkswagen,Arteon,2.0,190,AMT,бензин,передний,2020,50000,2830000,2023-12-15
Volkswagen,Arteon,2.0,280,AMT,бензин,полный,2018,125000,2400000,2023-12-15
Volkswagen,Arteon,2.0,190,AMT,дизель,передний,2019,38700,2554500,2023-12-15
Volkswagen,Arteon,2.0,190,AMT,бензин,передний,2020,78000,3399000,2023-12-15
Volkswagen,Arteon,2.0,190,AMT,дизель,передний,2019,25000,2802800,2023-12-15
Volkswagen,Arteon,2.0,280,AMT,бензин,полный,2020,32000,2250000,2023-12-15
Volkswagen,Arteon,2.0,280,AMT,бензин,полный,2020,27000,1950000,2023-12-15
Volkswagen,Arteon,2.0,190,AMT,бензин,передний,2019,35000,2030000,2023-12-15
Volkswagen,Arteon,2.0,280,AMT,бензин,полный,2019,40000,2550000,2023-12-15
Volkswagen,Arteon,2.0,190,AMT,бензин,передний,2019,31600,2200000,2023-12-15
Volkswagen,Arteon,2.0,190,AMT,бензин,передний,2019,37900,2200000,2023-12-15
Volkswagen,Arteon,1.5,150,AMT,бензин,передний,2020,31000,2500000,2023-12-15
Volkswagen,Arteon,2.0,190,AMT,бензин,передний,2019,46000,1850000,2023-12-15
Volkswagen,Arteon,2.0,268,AT,бензин,передний,2020,44000,1740000,2023-12-15
Volkswagen,Arteon,2.0,280,AMT,бензин,полный,2019,49000,2400000,2023-12-15
Volkswagen,Arteon,2.0,190,AMT,дизель,полный,2019,35000,1850000,2023-12-15
Volkswagen,Arteon,2.0,190,AMT,бензин,передний,2020,78000,3331020,2023-12-15
Volkswagen,Arteon,2.0,280,AMT,бензин,полный,2020,34000,1700000,2023-12-15
Volkswagen,Arteon,2.0,190,AMT,бензин,передний,2019,23500,2400000,2023-12-15
Volkswagen,Arteon,2.0,150,AMT,дизель,передний,2019,30000,2200000,2023-12-15
Volkswagen,Arteon,2.0,190,AMT,бензин,передний,2020,24000,2390000,2023-12-15
Volkswagen,Arteon,2.0,280,AMT,бензин,полный,2018,20000,2300000,2023-12-15
Volkswagen,Arteon,2.0,190,AMT,бензин,передний,2019,25850,4100000,2023-12-15
Volkswagen,Arteon,2.0,280,AMT,бензин,полный,2020,31000,1690000,2023-12-15
Volkswagen,Arteon,2.0,190,AMT,бензин,передний,2019,59000,2500000,2023-12-15
