brand,model,engine,horse_pwr,trans,gas,drive,build_year,mileage_kms,price_rub,date
Audi,A4,2.0,150.0,AMT,дизель,передний,2018,43011,3290000,2023-12-09
Audi,A4,2.0,190.0,AMT,дизель,полный,2020,84326,2890000,2023-12-09
Audi,A4,1.8,160.0,CVT,бензин,передний,2011,163500,908000,2023-12-09
Audi,A4,1.8,170.0,CVT,бензин,передний,2013,212603,1464737,2023-12-09
Audi,A4,2.0,211.0,AMT,бензин,полный,2011,167000,1199000,2023-12-09
Audi,A4,1.8,160.0,CVT,бензин,передний,2011,134578,949000,2023-12-09
Audi,A4,2.0,190.0,AMT,дизель,полный,2018,95600,3130000,2023-12-09
Audi,A4,1.8,170.0,CVT,бензин,передний,2013,160000,1199000,2023-12-09
Audi,A4,2.0,150.0,AMT,бензин,передний,2022,0,3780580,2023-12-09
Audi,A4,2.0,150.0,AMT,бензин,передний,2022,0,4588058,2023-12-09
Audi,A4,2.0,150.0,AMT,бензин,передний,2022,0,3780580,2023-12-09
Audi,A4,1.8,170.0,CVT,бензин,передний,2015,134252,1349000,2023-12-09
Audi,A4,2.0,190.0,AMT,бензин,передний,2017,93000,2750000,2023-12-09
Audi,A4,1.8,120.0,CVT,бензин,передний,2014,160749,1390000,2023-12-09
Audi,A4,2.0,225.0,AMT,бензин,полный,2014,95000,2350000,2023-12-09
Audi,A4,1.8,160.0,CVT,бензин,передний,2010,166500,949000,2023-12-09
Audi,A4,2.0,211.0,AMT,бензин,полный,2012,122500,1999999,2023-12-09
Audi,A4,2.0,190.0,AMT,дизель,полный,2019,62710,2899000,2023-12-09
Audi,A4,1.8,160.0,CVT,бензин,передний,2008,147500,895000,2023-12-09
Audi,A4,2.0,150.0,AMT,бензин,передний,2020,57957,3140000,2023-12-09
Audi,A4,1.8,170.0,CVT,бензин,передний,2014,131000,1504000,2023-12-09
Audi,A4,2.0,150.0,AMT,бензин,передний,2019,117000,2990000,2023-12-09
Audi,A4,2.0,150.0,AMT,бензин,передний,2020,55767,2939000,2023-12-09
Audi,A4,1.8,160.0,CVT,бензин,передний,2009,111050,1450000,2023-12-09
Audi,A4,3.0,272.0,AT,дизель,полный,2019,100000,3499000,2023-12-09
Audi,A4,1.4,150.0,AMT,бензин,передний,2017,123000,2600000,2023-12-09
Audi,A4,1.8,170.0,CVT,бензин,передний,2014,106528,1249000,2023-12-09
Audi,A4,1.8,120.0,CVT,бензин,передний,2015,148458,1455000,2023-12-09
Audi,A4,1.8,170.0,CVT,бензин,передний,2014,134214,1145000,2023-12-09
Audi,A4,2.0,150.0,AMT,бензин,передний,2020,52364,3693000,2023-12-09
Audi,A4,1.4,150.0,AMT,бензин,передний,2018,96839,2285000,2023-12-09
Audi,A4,2.0,190.0,AMT,дизель,полный,2018,80223,3080000,2023-12-09
Audi,A4,2.0,130.0,CVT,бензин,передний,2007,300000,760000,2023-12-09
Audi,A4,2.0,130.0,MT,бензин,передний,2003,235000,689000,2023-12-09
Audi,A4,1.8,160.0,CVT,бензин,передний,2009,152500,875000,2023-12-09
Audi,A4,2.0,150.0,AMT,бензин,передний,2020,95009,3200000,2023-12-09
Audi,A4,1.8,170.0,CVT,бензин,передний,2003,226000,429000,2023-12-09
Audi,A4,2.0,140.0,MT,дизель,передний,2006,298000,850000,2023-12-09
Audi,A4,2.0,200.0,AT,бензин,полный,2005,199000,399000,2023-12-09
Audi,A4,1.8,170.0,AT,бензин,полный,2004,205140,569997,2023-12-09
Audi,A4,2.0,130.0,CVT,бензин,передний,2001,282000,499000,2023-12-09
Audi,A4,1.8,160.0,CVT,бензин,передний,2008,143700,965000,2023-12-09
Audi,A4,1.4,150.0,AMT,бензин,передний,2016,98209,2699000,2023-12-09
Audi,A4,1.8,125.0,MT,бензин,передний,1996,516000,250000,2023-12-09
Audi,A4,2.0,265.0,AMT,бензин,полный,2020,15444,3650000,2023-12-09
Audi,A4,2.0,150.0,AMT,бензин,передний,2022,0,3780580,2023-12-09
Audi,A4,1.8,170.0,CVT,бензин,передний,2012,144112,1470000,2023-12-09
Audi,A4,1.8,170.0,AT,бензин,полный,2002,400000,570000,2023-12-09
Audi,A4,1.8,160.0,CVT,бензин,передний,2011,240000,1350000,2023-12-09
Audi,A4,1.8,160.0,CVT,бензин,передний,2008,223147,1680000,2023-12-09
Audi,A4,2.0,225.0,AMT,бензин,полный,2014,164000,1399000,2023-12-09
Audi,A4,2.0,190.0,AMT,дизель,полный,2017,103599,3099000,2023-12-09
Audi,A4,2.0,150.0,AMT,бензин,передний,2022,5757,3990000,2023-12-09
Audi,A4,2.0,252.0,AMT,бензин,полный,2018,80500,3190000,2023-12-09
Audi,A4,2.0,130.0,CVT,бензин,передний,2003,320000,570000,2023-12-09
Audi,A4,2.0,130.0,CVT,бензин,передний,2006,97000,905000,2023-12-09
Audi,A4,2.0,249.0,AMT,бензин,полный,2021,27000,4999999,2023-12-09
Audi,A4,1.4,150.0,AMT,бензин,передний,2017,101000,2490000,2023-12-09
Audi,A4,2.0,211.0,AMT,бензин,полный,2012,150000,1670000,2023-12-09
Audi,A4,1.8,170.0,CVT,бензин,передний,2013,145000,1390000,2023-12-09
Audi,A4,1.8,170.0,CVT,бензин,передний,2013,125000,1915000,2023-12-09
Audi,A4,1.8,120.0,CVT,бензин,передний,2011,169000,999000,2023-12-09
Audi,A4,2.0,211.0,AMT,бензин,полный,2012,99526,1330000,2023-12-09
Audi,A4,2.0,190.0,AMT,бензин,передний,2019,46250,3190000,2023-12-09
Audi,A4,1.8,120.0,CVT,бензин,передний,2011,216000,970000,2023-12-09
Audi,A4,3.0,272.0,AT,дизель,полный,2019,100000,3499000,2023-12-09
Audi,A4,1.8,170.0,CVT,бензин,передний,2013,124000,1420000,2023-12-09
Audi,A4,1.8,170.0,CVT,бензин,передний,2015,191000,1695000,2023-12-09
Audi,A4,1.8,163.0,CVT,бензин,передний,2003,377000,410000,2023-12-09
Audi,A4,2.0,143.0,CVT,дизель,передний,2008,188000,970000,2023-12-09
Audi,A4,1.6,101.0,MT,бензин,передний,1997,250250,400000,2023-12-09
Audi,A4,1.8,160.0,MT,бензин,передний,2008,214000,1200000,2023-12-09
Audi,A4,2.6,150.0,AT,бензин,передний,1996,267000,320000,2023-12-09
Audi,A4,1.8,170.0,CVT,бензин,передний,2013,140000,1720000,2023-12-09
Audi,A4,2.0,130.0,CVT,бензин,передний,2007,270000,1100000,2023-12-09
Audi,A4,1.8,160.0,CVT,бензин,передний,2008,203100,870000,2023-12-09
Audi,A4,2.0,143.0,CVT,дизель,передний,2011,215000,1200000,2023-12-09
Audi,A4,2.0,140.0,CVT,дизель,передний,2006,180000,849000,2023-12-09
Audi,A4,1.4,150.0,AMT,бензин,передний,2019,102822,2690000,2023-12-09
Audi,A4,2.0,150.0,AMT,бензин,передний,2020,30000,3700000,2023-12-09
Audi,A4,2.0,190.0,AMT,бензин,передний,2020,25730,3390000,2023-12-09
Audi,A4,1.8,170.0,CVT,бензин,передний,2014,181000,1500000,2023-12-09
Audi,A4,1.8,125.0,MT,бензин,передний,1999,374000,420000,2023-12-09
Audi,A4,1.8,170.0,CVT,бензин,передний,2012,146000,1149000,2023-12-09
