brand,model,engine,horse_pwr,trans,gas,drive,build_year,mileage_kms,price_rub,date
Volkswagen,Arteon,2.0,280,AMT,бензин,полный,2020,67771,3850000,2023-12-09
Volkswagen,Arteon,2.0,190,AMT,дизель,передний,2019,57933,4239000,2023-12-09
Volkswagen,Arteon,2.0,190,AMT,бензин,передний,2021,28954,4470000,2023-12-09
Volkswagen,Arteon,2.0,190,AMT,бензин,передний,2020,125012,2811500,2023-12-09
Volkswagen,Arteon,2.0,150,AMT,дизель,передний,2018,145105,2597000,2023-12-09
Volkswagen,Arteon,2.0,200,AMT,дизель,полный,2020,39000,4777000,2023-12-09
Volkswagen,Arteon,2.0,190,AMT,дизель,полный,2019,65000,3950000,2023-12-09
Volkswagen,Arteon,1.5,150,AMT,бензин,передний,2019,75002,2990000,2023-12-09
Volkswagen,Arteon,2.0,190,AMT,дизель,полный,2019,93500,3480000,2023-12-09
Volkswagen,Arteon,1.5,150,AMT,бензин,передний,2018,180000,2280000,2023-12-09
Volkswagen,Arteon,2.0,200,AMT,дизель,передний,2022,17995,2700000,2023-12-09
Volkswagen,Arteon,2.0,190,AMT,дизель,передний,2019,73000,2400000,2023-12-09
Volkswagen,Arteon,1.5,150,MT,бензин,передний,2018,75082,2450000,2023-12-09
Volkswagen,Arteon,2.0,190,AMT,дизель,передний,2019,63578,2675000,2023-12-09
Volkswagen,Arteon,2.0,150,AMT,дизель,передний,2020,71000,3054000,2023-12-09
Volkswagen,Arteon,1.5,150,AMT,бензин,передний,2019,60000,3200000,2023-12-09
Volkswagen,Arteon,2.0,190,AMT,бензин,передний,2020,26000,2250000,2023-12-09
Volkswagen,Arteon,2.0,190,AMT,бензин,передний,2020,66000,3390000,2023-12-09
Volkswagen,Arteon,2.0,190,AMT,дизель,полный,2018,70000,2990000,2023-12-09
Volkswagen,Arteon,2.0,190,AMT,бензин,передний,2020,31000,3300000,2023-12-09
Volkswagen,Arteon,2.0,280,AMT,бензин,полный,2020,34600,1750000,2023-12-09
Volkswagen,Arteon,2.0,150,AMT,дизель,передний,2019,52000,2500000,2023-12-09
Volkswagen,Arteon,2.0,200,AMT,дизель,полный,2020,74981,4599000,2023-12-09
Volkswagen,Arteon,2.0,190,AMT,дизель,передний,2019,51705,3165600,2023-12-09
Volkswagen,Arteon,2.0,200,AMT,дизель,передний,2020,45000,4440000,2023-12-09
Volkswagen,Arteon,2.0,300,AMT,бензин,передний,2021,10000,3230000,2023-12-09
Volkswagen,Arteon,2.0,190,AMT,дизель,полный,2018,162332,2958000,2023-12-09
Volkswagen,Arteon,2.0,280,AMT,бензин,полный,2023,50,4990000,2023-12-09
Volkswagen,Arteon,2.0,190,AMT,дизель,передний,2019,45000,3100000,2023-12-09
Volkswagen,Arteon,2.0,190,AMT,дизель,передний,2018,93475,2750000,2023-12-09
Volkswagen,Arteon,2.0,190,AMT,дизель,полный,2019,85457,3690000,2023-12-09
Volkswagen,Arteon,2.0,190,AMT,дизель,передний,2019,78000,2999999,2023-12-09
Volkswagen,Arteon,2.0,268,AT,бензин,передний,2020,40000,4070000,2023-12-09
Volkswagen,Arteon,2.0,200,AMT,дизель,полный,2020,44000,4300000,2023-12-09
Volkswagen,Arteon,2.0,190,AMT,дизель,передний,2020,192500,2980000,2023-12-09
Volkswagen,Arteon,2.0,190,AMT,дизель,передний,2019,35000,2420000,2023-12-09
Volkswagen,Arteon,2.0,190,AMT,дизель,передний,2019,31000,1810000,2023-12-09
Volkswagen,Arteon,2.0,190,AMT,бензин,передний,2020,29000,1744400,2023-12-09
Volkswagen,Arteon,2.0,280,AMT,бензин,полный,2019,9000,2000000,2023-12-09
Volkswagen,Arteon,2.0,190,AMT,дизель,передний,2019,32555,2727649,2023-12-09
Volkswagen,Arteon,2.0,190,AMT,дизель,передний,2019,24000,2650000,2023-12-09
Volkswagen,Arteon,2.0,190,AMT,дизель,передний,2020,38850,2700000,2023-12-09
Volkswagen,Arteon,2.0,190,AMT,бензин,передний,2019,85000,3719000,2023-12-09
