brand,model,engine,horse_pwr,trans,gas,drive,build_year,mileage_kms,price_rub,date
Volkswagen,Amarok,2.0,140,MT,дизель,полный,2013,212000,1950000,2023-12-20
Volkswagen,Amarok,2.0,140,MT,дизель,полный,2014,160000,2100000,2023-12-20
Volkswagen,Amarok,2.0,180,AT,дизель,полный,2013,207000,2560000,2023-12-20
Volkswagen,Amarok,2.0,140,MT,дизель,полный,2017,191300,2397000,2023-12-20
Volkswagen,Amarok,2.0,180,AT,дизель,полный,2017,102213,3750000,2023-12-20
Volkswagen,Amarok,2.0,180,MT,дизель,полный,2012,560000,1199000,2023-12-20
Volkswagen,Amarok,2.0,163,MT,дизель,полный,2011,175300,2100000,2023-12-20
Volkswagen,Amarok,2.0,180,AT,дизель,полный,2013,175000,2050000,2023-12-20
Volkswagen,Amarok,2.0,140,MT,дизель,полный,2019,77000,3030000,2023-12-20
Volkswagen,Amarok,2.0,180,MT,дизель,полный,2013,145000,2290000,2023-12-20
Volkswagen,Amarok,2.0,163,MT,дизель,полный,2011,168234,1420000,2023-12-20
Volkswagen,Amarok,3.0,224,AT,дизель,полный,2018,333200,2980000,2023-12-20
Volkswagen,Amarok,3.0,224,AT,дизель,полный,2017,102000,4500000,2023-12-20
Volkswagen,Amarok,2.0,180,MT,дизель,полный,2014,265000,2100000,2023-12-20
Volkswagen,Amarok,2.0,122,MT,дизель,полный,2012,284000,1250000,2023-12-20
Volkswagen,Amarok,2.0,180,MT,дизель,полный,2016,147000,2600000,2023-12-20
Volkswagen,Amarok,2.0,180,AT,дизель,полный,2020,83000,4800000,2023-12-20
Volkswagen,Amarok,3.0,224,AT,дизель,полный,2020,162000,4500000,2023-12-20
Volkswagen,Amarok,2.0,180,AT,дизель,полный,2019,90953,4095000,2023-12-20
Volkswagen,Amarok,2.0,122,MT,дизель,полный,2012,260000,1500000,2023-12-20
Volkswagen,Amarok,2.0,180,MT,дизель,полный,2013,290000,2150000,2023-12-20
Volkswagen,Amarok,2.0,163,MT,дизель,полный,2011,300000,1890000,2023-12-20
Volkswagen,Amarok,2.0,163,MT,дизель,полный,2011,193747,1447000,2023-12-20
Volkswagen,Amarok,3.0,224,AT,дизель,полный,2020,110000,4750000,2023-12-20
Volkswagen,Amarok,2.0,163,MT,дизель,полный,2010,463000,1280000,2023-12-20
Volkswagen,Amarok,2.0,180,AT,дизель,полный,2012,353190,1650000,2023-12-20
Volkswagen,Amarok,2.0,180,AT,дизель,полный,2013,246000,2220000,2023-12-20
Volkswagen,Amarok,2.0,180,MT,дизель,полный,2012,260000,1850000,2023-12-20
Volkswagen,Amarok,2.0,180,AT,дизель,полный,2016,82550,3450000,2023-12-20
Volkswagen,Amarok,2.0,180,MT,дизель,полный,2015,253219,1990000,2023-12-20
Volkswagen,Amarok,2.0,180,AT,дизель,полный,2012,196000,2200000,2023-12-20
Volkswagen,Amarok,2.0,180,AT,дизель,полный,2012,202000,2500000,2023-12-20
Volkswagen,Amarok,2.0,180,AT,дизель,полный,2019,217000,2900000,2023-12-20
Volkswagen,Amarok,2.0,163,MT,дизель,полный,2011,154255,2150000,2023-12-20
Volkswagen,Amarok,2.0,180,MT,дизель,полный,2012,215000,2000000,2023-12-20
Volkswagen,Amarok,2.0,163,MT,дизель,полный,2011,338119,1850000,2023-12-20
Volkswagen,Amarok,2.0,163,MT,дизель,полный,2010,200000,1800000,2023-12-20
Volkswagen,Amarok,2.0,180,AT,дизель,полный,2012,134000,2550000,2023-12-20
Volkswagen,Amarok,2.0,163,MT,дизель,полный,2010,151932,1670995,2023-12-20
Volkswagen,Amarok,2.0,180,AT,дизель,полный,2020,97026,4365000,2023-12-20
Volkswagen,Amarok,2.0,180,AT,дизель,полный,2019,49000,4850000,2023-12-20
Volkswagen,Amarok,2.0,122,MT,дизель,полный,2012,300000,1880000,2023-12-20
Volkswagen,Amarok,3.0,224,AT,дизель,полный,2018,205000,5050000,2023-12-20
Volkswagen,Amarok,2.0,140,MT,дизель,полный,2015,205000,1900000,2023-12-20
Volkswagen,Amarok,3.0,224,AT,дизель,полный,2019,124600,6200000,2023-12-20
Volkswagen,Arteon,2.0,190,AMT,бензин,передний,2020,24000,2390000,2023-12-20
Volkswagen,Arteon,2.0,190,AMT,бензин,передний,2020,32682,3319000,2023-12-20
Volkswagen,Arteon,2.0,190,AMT,бензин,передний,2020,26000,3300000,2023-12-20
Volkswagen,Arteon,2.0,280,AMT,бензин,полный,2020,107000,3640000,2023-12-20
Volkswagen,Arteon,2.0,240,AMT,дизель,полный,2018,106000,3390000,2023-12-20
Volkswagen,Arteon,2.0,190,AMT,дизель,передний,2019,32555,2727649,2023-12-20
Volkswagen,Arteon,2.0,280,AMT,бензин,полный,2019,66000,2400000,2023-12-20
Volkswagen,Arteon,2.0,240,AMT,дизель,полный,2018,80000,3750000,2023-12-20
Volkswagen,Arteon,2.0,190,AMT,дизель,передний,2019,51705,3165600,2023-12-20
Volkswagen,Arteon,2.0,190,AMT,бензин,передний,2019,53500,3630000,2023-12-20
Volkswagen,Arteon,2.0,190,AMT,дизель,передний,2018,57000,3450000,2023-12-20
Volkswagen,Arteon,2.0,190,AMT,дизель,передний,2019,35000,2420000,2023-12-20
Volkswagen,Arteon,2.0,190,AMT,бензин,передний,2020,72000,3650000,2023-12-20
Volkswagen,Arteon,1.5,150,AMT,бензин,передний,2019,79218,2850000,2023-12-20
Volkswagen,Arteon,2.0,190,AMT,дизель,передний,2019,56600,3500000,2023-12-20
Volkswagen,Arteon,2.0,190,AMT,бензин,передний,2020,26700,2729000,2023-12-20
Volkswagen,Arteon,2.0,200,AMT,дизель,полный,2020,30500,5600000,2023-12-20
Volkswagen,Arteon,2.0,200,AMT,дизель,полный,2022,28860,4460000,2023-12-20
Volkswagen,Arteon,2.0,190,AMT,дизель,передний,2019,105650,3999999,2023-12-20
Volkswagen,Arteon,2.0,190,AMT,дизель,полный,2019,169000,3190000,2023-12-20
Volkswagen,Arteon,2.0,190,AMT,дизель,полный,2020,69104,2778300,2023-12-20
Volkswagen,Arteon,2.0,280,AMT,бензин,полный,2019,45000,3900000,2023-12-20
Volkswagen,Arteon,2.0,190,AMT,бензин,передний,2018,79000,3250000,2023-12-20
Volkswagen,Arteon,2.0,150,AMT,дизель,передний,2019,46000,2000000,2023-12-20
Volkswagen,Arteon,2.0,150,AMT,дизель,передний,2018,89000,2950000,2023-12-20
