brand,model,engine,horse_pwr,trans,gas,drive,build_year,mileage_kms,price_rub,date
Audi,Q3,2.0,180,AMT,бензин,полный,2017,129137,2499000,2023-12-21
Audi,Q3,2.0,170,AMT,бензин,полный,2014,131318,1749000,2023-12-21
Audi,Q3,2.0,180,AMT,бензин,полный,2018,75024,3149000,2023-12-21
Audi,Q3,2.0,170,AMT,бензин,полный,2013,140453,1295000,2023-12-21
Audi,Q3,2.0,180,AMT,бензин,полный,2021,18818,4275700,2023-12-21
Audi,Q3,2.0,170,AMT,бензин,полный,2012,159191,1332110,2023-12-21
Audi,Q3,2.0,170,AMT,бензин,полный,2013,110000,1749000,2023-12-21
Audi,Q3,2.0,190,AMT,бензин,полный,2019,44500,4450000,2023-12-21
Audi,Q3,1.4,150,AMT,бензин,передний,2023,0,5080000,2023-12-21
Audi,Q3,1.4,150,AMT,бензин,передний,2023,0,4740000,2023-12-21
Audi,Q3,1.4,150,AMT,бензин,передний,2023,0,5020000,2023-12-21
Audi,Q3,2.0,170,AMT,бензин,полный,2012,186139,1700000,2023-12-21
Audi,Q3,2.0,180,AMT,бензин,полный,2015,122463,1999000,2023-12-21
Audi,Q3,2.0,170,AMT,бензин,полный,2013,163500,1068000,2023-12-21
Audi,Q3,2.0,211,AMT,бензин,полный,2011,242000,895000,2023-12-21
Audi,Q3,2.0,170,AMT,бензин,полный,2014,133325,1790000,2023-12-21
Audi,Q3,2.0,170,AMT,бензин,полный,2013,202000,1700000,2023-12-21
Audi,Q3,2.0,170,AMT,бензин,полный,2012,143000,1149000,2023-12-21
Audi,Q3,2.0,170,AMT,бензин,полный,2012,118303,2100000,2023-12-21
Audi,Q3,2.0,180,AMT,бензин,полный,2017,61000,2099000,2023-12-21
Audi,Q3,1.5,150,AMT,бензин,передний,2020,21000,1800000,2023-12-21
Audi,Q3,2.0,180,AMT,бензин,полный,2015,123201,1735000,2023-12-21
Audi,Q3,2.0,170,AMT,бензин,полный,2014,110743,1219000,2023-12-21
Audi,Q3,2.0,180,AMT,бензин,полный,2016,44140,1600000,2023-12-21
Audi,Q3,2.0,170,AMT,бензин,полный,2013,66050,2220000,2023-12-21
Audi,Q3,2.0,180,AMT,бензин,полный,2021,21082,4499000,2023-12-21
Audi,Q3,1.4,150,AMT,бензин,передний,2017,89000,2350000,2023-12-21
Audi,Q3,2.0,230,AMT,бензин,полный,2019,47424,3789000,2023-12-21
Audi,Q3,2.0,177,AMT,дизель,полный,2013,102000,1299000,2023-12-21
Audi,Q3,2.0,180,AMT,бензин,полный,2016,165007,2299990,2023-12-21
Audi,Q3,2.0,231,AT,бензин,полный,2019,62998,3350000,2023-12-21
Audi,Q3,2.0,170,AMT,бензин,полный,2012,119393,1269000,2023-12-21
Audi,Q3,1.4,150,AMT,бензин,передний,2019,56520,2945000,2023-12-21
Audi,Q3,2.0,170,AMT,бензин,полный,2013,112418,1069000,2023-12-21
Audi,Q3,2.0,180,AMT,бензин,полный,2015,178000,2000000,2023-12-21
Audi,Q3,2.0,231,AT,бензин,полный,2021,14900,3649000,2023-12-21
Audi,Q3,1.4,150,AMT,бензин,передний,2014,91500,1890000,2023-12-21
Audi,Q3,2.0,231,AT,бензин,полный,2020,24000,3690000,2023-12-21
Audi,Q3,2.0,177,AMT,дизель,полный,2013,179300,1750000,2023-12-21
Audi,Q3,2.0,170,MT,бензин,полный,2012,189860,1500000,2023-12-21
Audi,Q3,2.0,170,AMT,бензин,полный,2013,240000,1670000,2023-12-21
Audi,Q3,2.0,184,AMT,дизель,полный,2015,200000,1987000,2023-12-21
Audi,Q3,2.0,180,AMT,бензин,полный,2021,23503,3819789,2023-12-21
Audi,Q3,1.4,150,AMT,бензин,передний,2015,116450,2154000,2023-12-21
Audi,Q3,2.0,231,AT,бензин,полный,2020,76000,3790000,2023-12-21
Audi,Q3,2.0,177,AMT,дизель,полный,2013,196000,1699000,2023-12-21
Audi,Q3,2.0,190,AMT,дизель,полный,2019,94000,4250000,2023-12-21
Audi,Q3,2.0,180,AMT,бензин,полный,2015,120000,1950000,2023-12-21
Audi,Q3,2.0,180,AMT,бензин,полный,2020,44909,4049700,2023-12-21
Audi,Q3,2.0,150,AMT,дизель,передний,2019,68492,3498000,2023-12-21
Audi,Q3,2.0,170,AMT,бензин,полный,2013,216000,1450000,2023-12-21
Audi,Q3,2.0,170,AMT,бензин,полный,2013,151000,1499000,2023-12-21
Audi,Q3,2.0,177,AMT,дизель,полный,2012,312000,1400000,2023-12-21
Audi,Q3,1.4,150,AMT,бензин,передний,2016,31690,2399000,2023-12-21
Audi,Q3,2.0,180,AMT,бензин,полный,2015,277512,1718000,2023-12-21
Audi,Q3,2.0,170,AMT,бензин,полный,2012,107548,1719000,2023-12-21
Audi,Q3,2.0,180,AMT,бензин,полный,2015,90300,2450000,2023-12-21
Audi,Q3,2.0,231,AT,бензин,полный,2021,27773,4590000,2023-12-21
Audi,Q3,2.0,170,AMT,бензин,полный,2014,141000,1799000,2023-12-21
Audi,Q3,1.4,150,AMT,бензин,передний,2023,13,5200000,2023-12-21
Audi,Q3,1.4,150,AMT,бензин,передний,2019,66457,2900000,2023-12-21
Audi,Q3,1.4,150,AMT,бензин,передний,2020,46000,3399000,2023-12-21
Audi,Q3,2.0,170,AMT,бензин,полный,2013,191000,1550000,2023-12-21
Audi,Q3,2.0,230,AMT,бензин,полный,2019,32781,3550000,2023-12-21
Audi,Q3,2.0,231,AT,бензин,полный,2022,34000,4449000,2023-12-21
Audi,Q3,2.0,180,AMT,бензин,полный,2015,120000,2199000,2023-12-21
Audi,Q3,2.0,150,AMT,дизель,передний,2020,61300,3000000,2023-12-21
Audi,Q3,2.0,170,AMT,бензин,полный,2014,200000,1750000,2023-12-21
Audi,Q3,2.0,190,AMT,бензин,полный,2020,45000,4600000,2023-12-21
Audi,Q3,1.4,150,AMT,бензин,передний,2019,35000,4500000,2023-12-21
Audi,Q3,2.0,211,AMT,бензин,полный,2012,79800,1989000,2023-12-21
Audi,Q3,2.0,150,AMT,дизель,передний,2019,98000,3900000,2023-12-21
Audi,Q3,2.0,180,AMT,бензин,полный,2016,48000,2950000,2023-12-21
Audi,Q3,2.0,177,AMT,дизель,полный,2012,190000,1799999,2023-12-21
Audi,Q3,1.4,150,AMT,бензин,передний,2023,0,4280000,2023-12-21
Audi,Q3,2.0,180,AMT,бензин,полный,2021,7283,4495000,2023-12-21
Audi,Q3,2.0,180,AMT,бензин,полный,2015,128000,2500000,2023-12-21
Audi,Q3,2.0,170,AMT,бензин,полный,2013,142000,1990000,2023-12-21
Audi,Q3,2.0,180,AMT,бензин,полный,2016,63420,2230000,2023-12-21
Audi,Q3,2.0,170,AMT,бензин,полный,2013,245594,1875000,2023-12-21
Audi,Q3,2.0,170,AMT,бензин,полный,2012,99849,2000000,2023-12-21
Audi,Q3,2.0,180,AMT,бензин,полный,2016,85091,2118000,2023-12-21
Audi,Q3,1.5,150,AMT,бензин,передний,2023,0,4536069,2023-12-21
Audi,Q3,1.4,150,AMT,бензин,передний,2020,29000,1800000,2023-12-21
Audi,Q3,1.5,150,AMT,бензин,передний,2023,1,5700000,2023-12-21
Audi,Q3,2.0,180,AMT,бензин,полный,2016,91000,2450000,2023-12-21
Audi,Q3,2.0,190,AMT,бензин,полный,2020,54000,4600000,2023-12-21
Audi,Q3,2.0,180,AMT,бензин,полный,2016,112486,2270000,2023-12-21
Audi,Q3,1.4,150,AMT,бензин,передний,2023,10,4990000,2023-12-21
Audi,Q3,2.0,180,AMT,бензин,полный,2015,120267,2244000,2023-12-21
Audi,Q3,2.0,170,AMT,бензин,полный,2012,210500,1329000,2023-12-21
Audi,Q3,2.0,180,AMT,бензин,полный,2015,149353,1849000,2023-12-21
Audi,Q3,1.4,150,AMT,бензин,передний,2018,117776,2398000,2023-12-21
Audi,Q3,2.0,190,AMT,бензин,полный,2019,42550,4490000,2023-12-21
Audi,Q3,2.0,170,AMT,бензин,полный,2013,250896,1450000,2023-12-21
Audi,Q3,2.0,190,AMT,бензин,полный,2020,63000,4500000,2023-12-21
Audi,Q3,1.4,150,AMT,бензин,передний,2020,67880,3509700,2023-12-21
Audi,Q3,1.4,150,AMT,бензин,передний,2023,0,4180000,2023-12-21
Audi,Q3,2.0,180,AMT,бензин,полный,2014,275000,1800000,2023-12-21
Audi,Q3,2.0,180,AMT,бензин,полный,2017,121720,2649000,2023-12-21
Audi,Q3,2.0,180,AMT,бензин,полный,2016,77000,2650000,2023-12-21
Audi,Q3,2.0,180,AMT,бензин,полный,2016,119000,2350000,2023-12-21
Audi,Q3,2.0,150,AMT,дизель,полный,2023,99,5350000,2023-12-21
Audi,Q3,2.0,231,AT,бензин,полный,2019,55000,4300000,2023-12-21
Audi,Q3,2.0,170,AMT,бензин,полный,2013,164000,2400000,2023-12-21
Audi,Q3,1.4,150,AMT,бензин,передний,2019,48000,3290000,2023-12-21
Audi,Q3,2.0,150,AMT,дизель,передний,2022,120,5100000,2023-12-21
Audi,Q3,2.0,180,AMT,бензин,полный,2020,37000,4500000,2023-12-21
Audi,Q3,2.0,170,AMT,бензин,полный,2014,132000,2200000,2023-12-21
Audi,Q3,2.0,150,AMT,дизель,полный,2020,43583,3443000,2023-12-21
Audi,Q3,2.0,231,AT,бензин,полный,2021,32000,4900000,2023-12-21
Audi,Q3,2.0,170,AMT,бензин,полный,2013,150000,2000000,2023-12-21
Audi,Q3,2.0,150,AMT,дизель,полный,2023,9600,5550000,2023-12-21
Audi,Q3,1.5,150,AMT,бензин,передний,2019,47000,3900000,2023-12-21
Audi,Q3,2.0,170,AMT,бензин,полный,2014,171000,1800000,2023-12-21
Audi,Q3,2.0,170,AMT,бензин,полный,2013,153000,2499000,2023-12-21
Audi,Q3,2.0,231,AT,бензин,полный,2021,17078,4750000,2023-12-21
Audi,Q3,1.4,150,AMT,бензин,передний,2023,0,4800000,2023-12-21
Audi,Q3,2.0,190,AMT,бензин,полный,2022,4200,6869000,2023-12-21
Audi,Q3,2.0,170,AMT,бензин,полный,2014,159650,1749990,2023-12-21
Audi,Q3,1.5,150,AMT,бензин,передний,2023,1100,4655000,2023-12-21
Audi,Q3,1.4,150,AMT,бензин,передний,2016,59100,3490000,2023-12-21
Audi,Q3,2.0,150,AMT,дизель,передний,2020,32318,3200000,2023-12-21
Audi,Q3,2.0,170,AMT,бензин,полный,2014,108000,2189000,2023-12-21
Audi,Q3,2.0,180,AMT,бензин,полный,2015,172000,2129000,2023-12-21
Audi,Q3,1.4,150,AMT,бензин,передний,2021,29,5150000,2023-12-21
Audi,Q3,2.0,170,AMT,бензин,полный,2012,189000,2250000,2023-12-21
Audi,Q3,2.0,150,AMT,дизель,передний,2020,38310,4350000,2023-12-21
Audi,Q3,1.4,150,AMT,бензин,передний,2023,0,5400000,2023-12-21
Audi,Q3,2.0,150,AMT,дизель,полный,2020,8764,3900000,2023-12-21
Audi,Q3,2.0,150,AMT,дизель,передний,2020,29029,3559000,2023-12-21
Audi,Q3,2.0,180,AMT,бензин,полный,2021,43000,5800000,2023-12-21
Audi,Q3,1.4,150,AMT,бензин,передний,2020,23000,1750000,2023-12-21
Audi,Q3,2.0,170,AMT,бензин,полный,2012,133000,1661000,2023-12-21
Audi,Q3,1.4,150,AMT,бензин,передний,2023,0,5303900,2023-12-21
Audi,Q3,1.4,150,AMT,бензин,передний,2016,46000,1300000,2023-12-21
Audi,Q3,2.0,170,AMT,бензин,полный,2013,157480,1840000,2023-12-21
Audi,Q3,2.0,190,AMT,дизель,полный,2019,52000,4369000,2023-12-21
Audi,Q3,1.4,150,AMT,бензин,передний,2021,61000,3700000,2023-12-21
Audi,Q3,2.0,177,AMT,дизель,полный,2012,195000,1950000,2023-12-21
Audi,Q3,2.0,170,AMT,бензин,полный,2014,142000,1798000,2023-12-21
Audi,Q3,1.4,150,AMT,бензин,передний,2015,111112,1790000,2023-12-21
Audi,Q3,2.0,231,AT,бензин,полный,2019,92000,2750000,2023-12-21
Audi,Q3,2.0,190,AMT,бензин,полный,2019,114000,3390000,2023-12-21
Audi,Q3,2.0,170,AMT,бензин,полный,2013,137681,1589000,2023-12-21
Audi,Q3,2.0,170,AMT,бензин,полный,2013,205817,1475000,2023-12-21
Audi,Q3,2.0,170,AMT,бензин,полный,2014,84000,1922000,2023-12-21
Audi,Q3,2.0,180,AMT,бензин,полный,2017,87000,2190000,2023-12-21
Audi,Q3,2.0,170,AMT,бензин,полный,2013,162000,1640000,2023-12-21
Audi,Q3,2.0,170,AMT,бензин,полный,2012,183000,1620000,2023-12-21
Audi,Q3,2.0,230,AMT,бензин,полный,2020,31010,3400000,2023-12-21
Audi,Q3,2.0,170,AMT,бензин,полный,2012,107000,1684000,2023-12-21
Audi,Q3,2.0,170,AMT,бензин,полный,2012,124442,1599000,2023-12-21
Audi,Q3,2.0,180,AMT,бензин,полный,2015,149000,2290000,2023-12-21
Audi,Q3,2.0,170,AMT,бензин,полный,2014,157490,1380000,2023-12-21
Audi,Q3,2.0,190,AMT,бензин,полный,2019,90000,3840000,2023-12-21
Audi,Q3,1.4,150,AMT,бензин,передний,2019,43000,3450000,2023-12-21
Audi,Q3,2.0,180,AMT,бензин,полный,2015,114487,2156000,2023-12-21
Audi,Q3,2.0,170,AMT,бензин,полный,2014,133000,1790000,2023-12-21
Audi,Q3,1.4,150,AMT,бензин,передний,2016,165903,2144000,2023-12-21
Audi,Q3,2.0,170,AMT,бензин,полный,2012,86000,1948000,2023-12-21
Audi,Q3,2.0,170,AMT,бензин,полный,2012,212535,1799000,2023-12-21
Audi,Q3,2.0,170,AMT,бензин,полный,2012,157000,1450000,2023-12-21
Audi,Q3,1.4,150,AMT,бензин,передний,2019,81635,3159000,2023-12-21
Audi,Q3,2.0,150,AMT,дизель,передний,2020,40500,3610000,2023-12-21
Audi,Q3,2.0,177,AMT,дизель,полный,2012,149000,1725000,2023-12-21
Audi,Q3,2.0,170,AMT,бензин,полный,2012,153000,1720000,2023-12-21
Audi,Q3,2.0,170,AMT,бензин,полный,2014,140000,1850000,2023-12-21
Audi,Q3,2.0,231,AT,бензин,полный,2019,41000,4000000,2023-12-21
Audi,Q3,2.0,231,AT,бензин,полный,2021,40000,3650000,2023-12-21
Audi,Q3,2.0,170,AMT,бензин,полный,2014,152077,1800000,2023-12-21
Audi,Q3,2.0,231,AT,бензин,полный,2020,34000,3649000,2023-12-21
Audi,Q3,2.0,170,AMT,бензин,полный,2013,206000,1405000,2023-12-21
Audi,Q3,1.4,150,AMT,бензин,передний,2020,11732,3385000,2023-12-21
Audi,Q3,1.4,150,AMT,бензин,передний,2017,44000,2450000,2023-12-21
Audi,Q3,2.0,170,AMT,бензин,полный,2013,144230,1445000,2023-12-21
Audi,Q3,2.0,170,AMT,бензин,полный,2013,160548,1399000,2023-12-21
Audi,Q3,2.0,170,AMT,бензин,полный,2013,186000,1285000,2023-12-21
Audi,Q3,1.4,150,AMT,бензин,передний,2016,66000,1300000,2023-12-21
Audi,Q3,2.0,180,AMT,бензин,полный,2019,9658,2330000,2023-12-21
Audi,Q3,2.0,180,AMT,бензин,полный,2015,145000,1765000,2023-12-21
Audi,Q3,2.0,180,AMT,бензин,полный,2016,86800,2595000,2023-12-21
Audi,Q3,1.5,150,AMT,бензин,передний,2020,14700,2100000,2023-12-21
Audi,Q3,2.0,170,AMT,бензин,полный,2013,110,1700000,2023-12-21
Audi,Q3,2.0,180,AMT,бензин,полный,2020,79379,3449789,2023-12-21
Audi,Q3,2.0,170,AMT,бензин,полный,2012,169000,1735000,2023-12-21
Audi,Q3,1.4,150,AMT,бензин,передний,2013,165000,1650000,2023-12-21
Audi,Q3,2.0,211,AMT,бензин,полный,2011,140000,1309000,2023-12-21
Audi,Q3,2.0,180,AMT,бензин,полный,2015,86437,2480000,2023-12-21
Audi,Q3,2.0,150,AMT,дизель,передний,2020,32000,4150000,2023-12-21
Audi,Q3,2.0,170,AMT,бензин,полный,2012,110600,1680000,2023-12-21
Audi,Q3,2.0,170,AMT,бензин,полный,2013,159000,1749000,2023-12-21
Audi,Q3,2.0,170,AMT,бензин,полный,2012,136089,1630000,2023-12-21
Audi,Q3,2.0,180,AMT,бензин,полный,2015,95000,1940000,2023-12-21
Audi,Q3,2.0,170,AMT,бензин,полный,2014,149620,1700000,2023-12-21
Audi,Q3,2.0,170,AMT,бензин,полный,2013,78300,2349000,2023-12-21
Audi,Q3,2.0,211,AMT,бензин,полный,2012,186900,1449999,2023-12-21
Audi,Q3,2.0,186,AMT,бензин,передний,2021,8300,3465000,2023-12-21
Audi,Q3,2.0,180,AMT,бензин,полный,2018,96000,2689000,2023-12-21
