brand,model,engine,horse_pwr,trans,gas,drive,build_year,mileage_kms,price_rub,date
Audi,Tt,2.0,230,AMT,бензин,полный,2016,72500,3380000,2023-12-21
Audi,Tt,2.0,230,AMT,бензин,полный,2016,36000,4250000,2023-12-21
Audi,Tt,2.0,230,AMT,бензин,полный,2014,97300,2830000,2023-12-21
Audi,Tt,1.8,180,MT,бензин,передний,1999,233000,555000,2023-12-21
Audi,Tt,2.0,200,AMT,бензин,передний,2008,201000,1570000,2023-12-21
Audi,Tt,2.0,272,AMT,бензин,полный,2009,151000,1655555,2023-12-21
Audi,Tt,2.0,211,AMT,бензин,полный,2011,170992,1549000,2023-12-21
Audi,Tt,1.8,180,AMT,бензин,передний,2015,46000,1300000,2023-12-21
Audi,Tt,2.0,245,AMT,бензин,полный,2019,38587,4199000,2023-12-21
Audi,Tt,2.0,230,AMT,бензин,полный,2016,79781,4050000,2023-12-21
Audi,Tt,3.2,250,AMT,бензин,полный,2006,169000,1450000,2023-12-21
Audi,Tt,2.0,200,MT,бензин,передний,2006,154000,980000,2023-12-21
Audi,Tt,1.8,160,AMT,бензин,передний,2013,67000,990000,2023-12-21
Audi,Tt,3.2,250,AMT,бензин,полный,2007,260000,1350000,2023-12-21
Audi,Tt,2.0,211,AMT,бензин,полный,2011,165000,1878000,2023-12-21
Audi,Tt,2.0,200,AMT,бензин,передний,2007,218584,1230000,2023-12-21
Audi,Tt,3.2,250,AMT,бензин,полный,2006,177000,1550000,2023-12-21
Audi,Tt,1.8,180,AMT,бензин,передний,2018,57000,3580000,2023-12-21
Audi,Tt,2.0,245,AMT,бензин,полный,2020,66680,3200000,2023-12-21
Audi,Tt,2.0,200,AMT,бензин,передний,2008,146000,1349000,2023-12-21
Audi,Tt,1.8,225,MT,бензин,полный,2002,215000,450000,2023-12-21
Audi,Tt,1.8,225,MT,бензин,полный,2002,225000,750000,2023-12-21
Audi,Tt,2.0,197,AMT,бензин,передний,2019,30000,2200000,2023-12-21
Audi,Tt,1.8,180,MT,бензин,передний,2001,344496,600000,2023-12-21
Audi,Tt,2.0,230,AMT,бензин,полный,2018,15571,3222000,2023-12-21
Audi,Tt,1.8,180,MT,бензин,передний,2002,280000,640000,2023-12-21
Audi,Tt,1.8,225,MT,бензин,полный,1999,250000,800000,2023-12-21
Audi,Tt,1.8,225,MT,бензин,полный,2002,215000,740000,2023-12-21
Audi,Tt,2.0,245,AMT,бензин,полный,2019,30343,4570000,2023-12-21
Audi,Tt,1.8,225,MT,бензин,полный,2000,300000,450000,2023-12-21
Audi,Tt,2.0,245,AMT,бензин,полный,2019,58000,4000000,2023-12-21
Audi,Tt,1.8,225,MT,бензин,полный,2000,331000,535000,2023-12-21
Audi,Tt,1.8,180,MT,бензин,передний,1999,280000,580000,2023-12-21
Audi,Tt,2.0,272,AMT,бензин,полный,2008,160000,2100000,2023-12-21
Audi,Tt,1.8,180,AT,бензин,передний,2004,230000,980000,2023-12-21
Audi,Tt,1.8,180,AT,бензин,передний,2003,230000,800000,2023-12-21
Audi,Tt,2.0,230,AMT,бензин,полный,2016,82200,3780000,2023-12-21
Audi,Tt,2.0,230,AMT,бензин,полный,2014,172000,2420000,2023-12-21
Audi,Tt,1.8,180,MT,бензин,передний,1999,112299,650000,2023-12-21
Audi,Tt,2.0,245,AMT,бензин,полный,2019,50000,2700000,2023-12-21
Audi,Tt,1.8,225,MT,бензин,полный,2000,183000,880000,2023-12-21
Audi,Tt,1.8,225,MT,бензин,полный,2000,230000,700000,2023-12-21
Audi,Tt,2.0,230,AMT,бензин,полный,2014,83250,2800000,2023-12-21
Audi,Tt,2.0,200,AMT,бензин,передний,2006,177000,1600000,2023-12-21
Audi,Tt,2.0,200,AMT,бензин,передний,2006,132000,1400000,2023-12-21
Audi,Tt,1.8,225,AT,бензин,полный,2003,120000,700000,2023-12-21
Audi,Tt,1.8,180,AT,бензин,передний,2005,180000,1050000,2023-12-21
Audi,Tt,2.0,230,AMT,бензин,полный,2016,49000,3500000,2023-12-21
Audi,Tt,2.0,230,AMT,бензин,полный,2016,53000,3750000,2023-12-21
Audi,Tt,2.0,245,AMT,бензин,полный,2020,52300,4200000,2023-12-21
Audi,Tt,1.8,180,MT,бензин,полный,2002,150000,715000,2023-12-21
Audi,Tt,2.0,211,AMT,бензин,полный,2012,191000,2150000,2023-12-21
Audi,Tt,2.0,230,AMT,бензин,полный,2018,149000,3499000,2023-12-21
Audi,Tt,2.0,245,AMT,бензин,полный,2020,88000,4300000,2023-12-21
Audi,Tt,2.0,200,AMT,бензин,передний,2008,100122,1500000,2023-12-21
Audi,Tt,2.0,200,AMT,бензин,передний,2008,184000,1499999,2023-12-21
Audi,Tt,2.0,230,AMT,бензин,полный,2016,44000,3600000,2023-12-21
Audi,Tt,2.0,230,AMT,бензин,полный,2015,106000,3621000,2023-12-21
Audi,Tt,1.8,180,MT,бензин,передний,1998,300000,580000,2023-12-21
Audi,Tt,2.0,200,AMT,бензин,передний,2006,164000,1400000,2023-12-21
