brand,model,engine,horse_pwr,trans,gas,drive,build_year,mileage_kms,price_rub,date
Skoda,Fabia,1.6,105,AT,бензин,передний,2010,100434,719000,2023-12-21
Skoda,Fabia,1.6,105,AT,бензин,передний,2011,167364,725000,2023-12-21
Skoda,Fabia,1.4,86,MT,бензин,передний,2013,101350,784000,2023-12-21
Skoda,Fabia,1.4,86,MT,бензин,передний,2007,190344,457000,2023-12-21
Skoda,Fabia,1.6,105,AT,бензин,передний,2011,193000,795000,2023-12-21
Skoda,Fabia,1.4,86,MT,бензин,передний,2011,184000,655000,2023-12-21
Skoda,Fabia,1.2,70,MT,бензин,передний,2009,99314,829000,2023-12-21
Skoda,Fabia,1.4,86,MT,бензин,передний,2013,160000,790000,2023-12-21
Skoda,Fabia,1.2,70,MT,бензин,передний,2008,230000,560000,2023-12-21
Skoda,Fabia,1.2,70,MT,бензин,передний,2012,163000,639000,2023-12-21
Skoda,Fabia,1.2,64,MT,бензин,передний,2007,197650,525000,2023-12-21
Skoda,Fabia,1.2,75,MT,дизель,передний,2011,154347,675000,2023-12-21
Skoda,Fabia,1.6,105,AT,бензин,передний,2011,126198,879000,2023-12-21
Skoda,Fabia,1.6,105,AT,бензин,передний,2011,243015,749000,2023-12-21
Skoda,Fabia,1.4,86,MT,бензин,передний,2010,163292,735000,2023-12-21
Skoda,Fabia,1.4,86,MT,бензин,передний,2009,22713,839000,2023-12-21
Skoda,Fabia,1.4,86,MT,бензин,передний,2010,113000,747000,2023-12-21
Skoda,Fabia,1.2,60,MT,бензин,передний,2010,130500,499000,2023-12-21
Skoda,Fabia,1.4,86,MT,бензин,передний,2007,190021,509000,2023-12-21
Skoda,Fabia,1.4,86,MT,бензин,передний,2012,194000,699000,2023-12-21
Skoda,Fabia,1.2,70,MT,бензин,передний,2012,101100,650000,2023-12-21
Skoda,Fabia,1.6,105,AT,бензин,передний,2008,169578,720000,2023-12-21
Skoda,Fabia,1.4,69,MT,дизель,передний,2008,288693,379000,2023-12-21
Skoda,Fabia,1.2,70,MT,бензин,передний,2014,143353,730000,2023-12-21
Skoda,Fabia,1.4,86,MT,бензин,передний,2013,72000,780000,2023-12-21
Skoda,Fabia,1.2,70,MT,бензин,передний,2013,110258,700000,2023-12-21
Skoda,Fabia,1.4,86,MT,бензин,передний,2010,163486,565000,2023-12-21
Skoda,Fabia,1.6,105,AT,бензин,передний,2012,153150,899000,2023-12-21
Skoda,Fabia,1.2,60,MT,бензин,передний,2009,169559,423900,2023-12-21
Skoda,Fabia,1.6,105,AT,бензин,передний,2014,130000,925000,2023-12-21
Skoda,Fabia,1.2,70,MT,бензин,передний,2011,180000,600000,2023-12-21
Skoda,Fabia,1.4,68,MT,бензин,передний,2001,282000,317000,2023-12-21
Skoda,Fabia,1.2,70,MT,бензин,передний,2008,231230,508600,2023-12-21
Skoda,Fabia,1.2,60,MT,бензин,передний,2008,119000,497000,2023-12-21
Skoda,Fabia,1.4,86,MT,бензин,передний,2012,124347,760000,2023-12-21
Skoda,Fabia,1.2,70,MT,бензин,передний,2008,230000,315000,2023-12-21
Skoda,Fabia,1.2,105,MT,бензин,передний,2014,175455,535000,2023-12-21
Skoda,Fabia,1.6,105,AT,бензин,передний,2011,222500,790000,2023-12-21
Skoda,Fabia,1.4,68,MT,бензин,передний,2002,183000,333000,2023-12-21
Skoda,Fabia,1.2,70,MT,бензин,передний,2013,120000,670000,2023-12-21
Skoda,Fabia,1.6,105,AT,бензин,передний,2009,190000,675000,2023-12-21
Skoda,Fabia,1.4,86,MT,бензин,передний,2009,169000,479000,2023-12-21
Skoda,Fabia,1.6,105,AT,бензин,передний,2012,137169,830000,2023-12-21
Skoda,Fabia,1.4,86,MT,бензин,передний,2008,255243,720000,2023-12-21
Skoda,Fabia,1.2,70,MT,бензин,передний,2012,299987,525000,2023-12-21
Skoda,Fabia,1.2,64,MT,бензин,передний,2006,149000,345000,2023-12-21
Skoda,Fabia,1.4,86,MT,бензин,передний,2011,221000,540000,2023-12-21
Skoda,Fabia,1.2,70,MT,бензин,передний,2008,190000,550000,2023-12-21
Skoda,Fabia,1.4,86,MT,бензин,передний,2008,160000,485000,2023-12-21
Skoda,Fabia,1.4,86,MT,бензин,передний,2012,122239,670000,2023-12-21
Skoda,Fabia,1.2,60,MT,бензин,передний,2010,123568,527700,2023-12-21
Skoda,Fabia,1.6,105,AT,бензин,передний,2009,202000,780000,2023-12-21
Skoda,Fabia,1.2,60,MT,бензин,передний,2010,136076,500000,2023-12-21
Skoda,Fabia,1.4,101,MT,бензин,передний,2004,299000,580000,2023-12-21
Skoda,Fabia,1.4,86,MT,бензин,передний,2010,341200,460000,2023-12-21
Skoda,Fabia,1.4,86,MT,бензин,передний,2012,83700,900000,2023-12-21
Skoda,Fabia,1.2,70,MT,бензин,передний,2010,269000,460000,2023-12-21
Skoda,Fabia,1.2,70,MT,бензин,передний,2013,41563,746996,2023-12-21
Skoda,Fabia,1.6,105,AT,бензин,передний,2013,140915,865000,2023-12-21
Skoda,Fabia,1.4,86,MT,бензин,передний,2012,151000,650000,2023-12-21
Skoda,Fabia,1.2,70,MT,бензин,передний,2013,120758,596000,2023-12-21
Skoda,Fabia,1.2,70,MT,бензин,передний,2007,145364,450000,2023-12-21
Skoda,Fabia,1.2,70,MT,бензин,передний,2012,140000,700000,2023-12-21
Skoda,Fabia,1.2,64,MT,бензин,передний,2006,220000,310000,2023-12-21
Skoda,Fabia,1.2,70,MT,бензин,передний,2014,135000,669000,2023-12-21
Skoda,Fabia,1.2,64,MT,бензин,передний,2005,211000,350000,2023-12-21
Skoda,Fabia,1.4,86,MT,бензин,передний,2012,196476,670000,2023-12-21
Skoda,Fabia,1.2,60,MT,бензин,передний,2009,173000,145000,2023-12-21
Skoda,Fabia,1.2,70,MT,бензин,передний,2012,220225,599000,2023-12-21
Skoda,Fabia,1.4,86,MT,бензин,передний,2007,90285,630000,2023-12-21
Skoda,Fabia,1.2,70,MT,бензин,передний,2012,88000,680000,2023-12-21
Skoda,Fabia,1.2,70,MT,бензин,передний,2013,244000,550000,2023-12-21
Skoda,Fabia,1.2,70,MT,бензин,передний,2011,128114,619000,2023-12-21
Skoda,Fabia,1.4,86,MT,бензин,передний,2007,264000,670000,2023-12-21
Skoda,Fabia,1.2,70,MT,бензин,передний,2013,170000,675000,2023-12-21
Skoda,Fabia,1.4,86,MT,бензин,передний,2009,250000,595000,2023-12-21
Skoda,Fabia,1.2,70,MT,бензин,передний,2007,164967,409999,2023-12-21
Skoda,Fabia,1.4,86,MT,бензин,передний,2010,205300,740000,2023-12-21
Skoda,Fabia,1.4,86,MT,бензин,передний,2012,99300,855000,2023-12-21
Skoda,Fabia,1.2,70,MT,бензин,передний,2013,69000,710000,2023-12-21
Skoda,Fabia,1.6,105,AT,бензин,передний,2011,210425,859000,2023-12-21
Skoda,Fabia,1.4,86,MT,бензин,передний,2010,146000,729000,2023-12-21
Skoda,Fabia,1.2,64,MT,бензин,передний,2007,170000,470100,2023-12-21
Skoda,Fabia,1.2,70,MT,бензин,передний,2014,146060,650000,2023-12-21
Skoda,Fabia,1.4,86,MT,бензин,передний,2010,139870,645742,2023-12-21
Skoda,Fabia,1.2,70,MT,бензин,передний,2011,152356,668000,2023-12-21
Skoda,Fabia,1.6,105,AT,бензин,передний,2010,196400,830000,2023-12-21
Skoda,Fabia,1.2,70,MT,бензин,передний,2012,171000,520000,2023-12-21
Skoda,Fabia,1.2,70,MT,бензин,передний,2014,132100,765000,2023-12-21
Skoda,Fabia,1.2,70,MT,бензин,передний,2007,193075,450000,2023-12-21
Skoda,Fabia,1.2,70,MT,бензин,передний,2012,97503,760000,2023-12-21
Skoda,Fabia,1.4,86,MT,бензин,передний,2008,180060,670000,2023-12-21
Skoda,Fabia,1.2,70,MT,бензин,передний,2010,168387,565000,2023-12-21
Skoda,Fabia,1.2,70,MT,бензин,передний,2012,100000,677000,2023-12-21
