brand,model,engine,horse_pwr,trans,gas,drive,build_year,mileage_kms,price_rub,date
Skoda,Karoq,1.4,150,AT,бензин,передний,2020,82971,2195000,2023-12-21
Skoda,Karoq,1.4,150,AT,бензин,передний,2021,98000,2680000,2023-12-21
Skoda,Karoq,1.5,150,AMT,бензин,передний,2023,0,3250000,2023-12-21
Skoda,Karoq,1.4,150,AMT,бензин,полный,2020,33005,2960000,2023-12-21
Skoda,Karoq,1.4,150,AT,бензин,передний,2021,86000,2400000,2023-12-21
Skoda,Karoq,1.4,150,AT,бензин,передний,2020,74274,2250000,2023-12-21
Skoda,Karoq,1.4,150,AMT,бензин,полный,2021,18000,2760000,2023-12-21
Skoda,Karoq,1.4,150,AT,бензин,передний,2020,72638,2450200,2023-12-21
Skoda,Karoq,1.5,150,AMT,бензин,передний,2023,0,2640000,2023-12-21
Skoda,Karoq,1.5,150,AMT,бензин,передний,2023,0,2900000,2023-12-21
Skoda,Karoq,1.4,150,AMT,бензин,передний,2023,0,2740000,2023-12-21
Skoda,Karoq,1.4,150,AT,бензин,передний,2020,38920,2400000,2023-12-21
Skoda,Karoq,1.6,110,AT,бензин,передний,2021,14549,2829000,2023-12-21
Skoda,Karoq,1.4,150,AMT,бензин,передний,2023,0,2850000,2023-12-21
Skoda,Karoq,1.4,150,AT,бензин,передний,2021,26471,2499000,2023-12-21
Skoda,Karoq,1.4,150,AT,бензин,передний,2021,44341,2662000,2023-12-21
Skoda,Karoq,1.6,110,MT,бензин,передний,2022,24388,2550000,2023-12-21
Skoda,Karoq,1.4,150,AMT,бензин,полный,2022,0,3550000,2023-12-21
Skoda,Karoq,1.4,150,AMT,бензин,полный,2020,76506,2200000,2023-12-21
Skoda,Karoq,1.4,150,AT,бензин,передний,2021,28600,2649990,2023-12-21
Skoda,Karoq,1.4,150,AT,бензин,передний,2020,100500,2450000,2023-12-21
Skoda,Karoq,1.4,150,AMT,бензин,полный,2020,43575,2799900,2023-12-21
Skoda,Karoq,1.4,150,AT,бензин,передний,2020,72200,2452000,2023-12-21
Skoda,Karoq,1.5,150,AMT,бензин,передний,2020,63025,2799000,2023-12-21
Skoda,Karoq,1.4,150,AMT,бензин,передний,2020,35289,2325000,2023-12-21
Skoda,Karoq,1.4,150,AT,бензин,передний,2021,40000,2498000,2023-12-21
Skoda,Karoq,1.4,150,AMT,бензин,передний,2023,0,2970000,2023-12-21
