brand,model,engine,horse_pwr,trans,gas,drive,build_year,mileage_kms,price_rub,date
Skoda,Kodiaq,1.4,150,AMT,бензин,передний,2018,69348,2149000,2023-12-21
Skoda,Kodiaq,2.0,180,AMT,бензин,полный,2018,155362,2445000,2023-12-21
Skoda,Kodiaq,2.0,180,AMT,бензин,полный,2020,4500,3899000,2023-12-21
Skoda,Kodiaq,1.4,150,AMT,бензин,передний,2018,142000,2099000,2023-12-21
Skoda,Kodiaq,2.0,186,AMT,бензин,передний,2023,0,4190000,2023-12-21
Skoda,Kodiaq,2.0,150,AMT,дизель,полный,2018,148909,2499000,2023-12-21
Skoda,Kodiaq,2.0,180,AMT,бензин,полный,2018,172122,2499000,2023-12-21
Skoda,Kodiaq,2.0,180,AMT,бензин,полный,2022,0,4565866,2023-12-21
Skoda,Kodiaq,2.0,180,AMT,бензин,полный,2022,0,4565000,2023-12-21
Skoda,Kodiaq,2.0,186,AMT,бензин,передний,2022,0,3710849,2023-12-21
Skoda,Kodiaq,2.0,186,AMT,бензин,передний,2023,0,3740000,2023-12-21
Skoda,Kodiaq,1.4,150,AMT,бензин,полный,2018,235030,2299000,2023-12-21
Skoda,Kodiaq,1.4,150,AMT,бензин,полный,2020,50323,2876400,2023-12-21
Skoda,Kodiaq,1.4,150,AMT,бензин,полный,2018,81983,2235000,2023-12-21
Skoda,Kodiaq,2.0,180,AMT,бензин,полный,2018,114000,2149000,2023-12-21
Skoda,Kodiaq,2.0,186,AMT,бензин,передний,2023,0,4140000,2023-12-21
Skoda,Kodiaq,1.4,150,AMT,бензин,передний,2020,75538,2600000,2023-12-21
Skoda,Kodiaq,1.4,150,AMT,бензин,полный,2021,77447,3199000,2023-12-21
Skoda,Kodiaq,1.4,150,AMT,бензин,передний,2018,42616,2729000,2023-12-21
Skoda,Kodiaq,2.0,150,AMT,дизель,полный,2018,110134,2500000,2023-12-21
Skoda,Kodiaq,2.0,150,AMT,дизель,полный,2018,146000,2615000,2023-12-21
Skoda,Kodiaq,1.4,150,AMT,бензин,полный,2018,62919,2865500,2023-12-21
Skoda,Kodiaq,2.0,150,AMT,дизель,полный,2021,113177,3318200,2023-12-21
Skoda,Kodiaq,2.0,186,AMT,бензин,передний,2023,0,3850000,2023-12-21
Skoda,Kodiaq,2.0,180,AMT,бензин,полный,2020,154500,2375000,2023-12-21
Skoda,Kodiaq,1.4,150,AMT,бензин,передний,2018,140566,2299000,2023-12-21
Skoda,Kodiaq,1.4,150,AMT,бензин,передний,2018,124480,1870000,2023-12-21
Skoda,Kodiaq,2.0,180,AMT,бензин,полный,2022,0,4606052,2023-12-21
Skoda,Kodiaq,2.0,186,AMT,бензин,передний,2023,0,4290000,2023-12-21
Skoda,Kodiaq,2.0,180,AMT,бензин,полный,2020,51292,4040000,2023-12-21
Skoda,Kodiaq,2.0,150,AMT,дизель,полный,2019,113000,3300000,2023-12-21
Skoda,Kodiaq,2.0,150,AMT,дизель,полный,2019,121336,2799321,2023-12-21
Skoda,Kodiaq,1.4,150,AMT,бензин,полный,2018,105493,2116115,2023-12-21
Skoda,Kodiaq,1.4,150,AMT,бензин,полный,2018,126000,1650000,2023-12-21
Skoda,Kodiaq,2.0,180,AMT,бензин,полный,2019,60000,3260000,2023-12-21
Skoda,Kodiaq,1.4,150,AMT,бензин,полный,2019,77000,2595000,2023-12-21
Skoda,Kodiaq,2.0,180,AMT,бензин,полный,2017,121073,2095000,2023-12-21
Skoda,Kodiaq,2.0,220,AMT,бензин,полный,2023,0,5500000,2023-12-21
Skoda,Kodiaq,2.0,150,AMT,дизель,полный,2018,240000,2067000,2023-12-21
Skoda,Kodiaq,1.4,150,AMT,бензин,передний,2019,100071,2070000,2023-12-21
Skoda,Kodiaq,2.0,220,AMT,бензин,полный,2022,0,4300000,2023-12-21
Skoda,Kodiaq,2.0,150,AMT,дизель,полный,2020,61445,3059000,2023-12-21
Skoda,Kodiaq,2.0,200,AMT,дизель,полный,2022,0,6559000,2023-12-21
Skoda,Kodiaq,2.0,180,AMT,бензин,полный,2018,158359,2299000,2023-12-21
Skoda,Kodiaq,1.4,150,AMT,бензин,передний,2018,50000,2430000,2023-12-21
Skoda,Kodiaq,1.4,150,AMT,бензин,передний,2020,68500,2860000,2023-12-21
Skoda,Kodiaq,1.4,150,AMT,бензин,передний,2022,0,3870000,2023-12-21
Skoda,Kodiaq,1.4,150,AMT,бензин,полный,2022,0,4490000,2023-12-21
Skoda,Kodiaq,2.0,186,AMT,бензин,передний,2023,0,3700000,2023-12-21
Skoda,Kodiaq,2.0,190,AMT,бензин,полный,2023,10,4300000,2023-12-21
Skoda,Kodiaq,1.4,150,AMT,бензин,передний,2018,72470,2350000,2023-12-21
Skoda,Kodiaq,2.0,150,AMT,дизель,полный,2019,90018,2849000,2023-12-21
Skoda,Kodiaq,2.0,180,AMT,бензин,полный,2021,90990,3215700,2023-12-21
Skoda,Kodiaq,2.0,180,AMT,бензин,полный,2018,165000,2700000,2023-12-21
Skoda,Kodiaq,2.0,186,AMT,бензин,передний,2023,0,4170000,2023-12-21
Skoda,Kodiaq,1.4,150,AMT,бензин,передний,2019,181000,1950000,2023-12-21
Skoda,Kodiaq,1.4,150,AMT,бензин,передний,2019,145040,2135000,2023-12-21
Skoda,Kodiaq,1.4,150,AMT,бензин,полный,2019,164391,2385000,2023-12-21
Skoda,Kodiaq,1.4,150,AMT,бензин,полный,2022,2,3883792,2023-12-21
Skoda,Kodiaq,2.0,150,AMT,дизель,полный,2020,102048,3297000,2023-12-21
Skoda,Kodiaq,2.0,180,AMT,бензин,полный,2018,102723,2823800,2023-12-21
Skoda,Kodiaq,2.0,150,AMT,дизель,полный,2018,138000,2900000,2023-12-21
Skoda,Kodiaq,2.0,150,AMT,дизель,полный,2019,110869,2860000,2023-12-21
Skoda,Kodiaq,1.4,150,AMT,бензин,полный,2022,0,4064080,2023-12-21
Skoda,Kodiaq,1.4,150,AMT,бензин,передний,2020,45500,3191000,2023-12-21
Skoda,Kodiaq,1.4,150,AMT,бензин,полный,2019,150463,2339110,2023-12-21
Skoda,Kodiaq,1.4,150,AMT,бензин,полный,2019,63047,2790000,2023-12-21
Skoda,Kodiaq,2.0,150,AMT,дизель,полный,2018,52000,3159000,2023-12-21
Skoda,Kodiaq,1.4,150,AMT,бензин,полный,2022,0,4322500,2023-12-21
Skoda,Kodiaq,1.4,150,AMT,бензин,передний,2019,151003,2170000,2023-12-21
Skoda,Kodiaq,1.4,150,AMT,бензин,передний,2020,232390,2050000,2023-12-21
Skoda,Kodiaq,2.0,150,AMT,дизель,полный,2021,29015,4245000,2023-12-21
Skoda,Kodiaq,2.0,150,AMT,дизель,полный,2020,74343,3357000,2023-12-21
Skoda,Kodiaq,1.4,150,AMT,бензин,передний,2018,104000,2075000,2023-12-21
Skoda,Kodiaq,1.4,150,AMT,бензин,полный,2019,58100,2920000,2023-12-21
Skoda,Kodiaq,2.0,186,AMT,бензин,передний,2023,0,3990000,2023-12-21
Skoda,Kodiaq,2.0,150,AMT,дизель,полный,2021,59487,3840000,2023-12-21
Skoda,Kodiaq,2.0,150,AMT,дизель,полный,2018,137000,2800000,2023-12-21
Skoda,Kodiaq,2.0,186,AMT,бензин,передний,2023,0,4090000,2023-12-21
Skoda,Kodiaq,1.4,150,AMT,бензин,полный,2019,77000,3100000,2023-12-21
Skoda,Kodiaq,1.4,150,AMT,бензин,передний,2020,40850,3040000,2023-12-21
