brand,model,engine,horse_pwr,trans,gas,drive,build_year,mileage_kms,price_rub,date
Skoda,Octavia,1.6,110.0,AT,бензин,передний,2019,130000,1359000,2023-12-21
Skoda,Octavia,1.6,110.0,AT,бензин,передний,2020,39000,1699000,2023-12-21
Skoda,Octavia,1.4,150.0,AMT,бензин,передний,2019,133171,1750000,2023-12-21
Skoda,Octavia,1.8,180.0,AMT,бензин,передний,2014,268000,1099000,2023-12-21
Skoda,Octavia,1.4,150.0,AMT,бензин,передний,2016,94000,1099000,2023-12-21
Skoda,Octavia,1.2,105.0,MT,бензин,передний,2014,165500,825000,2023-12-21
Skoda,Octavia,1.8,180.0,AMT,бензин,передний,2017,108000,1739000,2023-12-21
Skoda,Octavia,1.6,110.0,AT,бензин,передний,2018,98000,1399000,2023-12-21
Skoda,Octavia,1.4,150.0,AT,бензин,передний,2023,0,3020000,2023-12-21
Skoda,Octavia,1.6,110.0,AT,бензин,передний,2022,0,3130000,2023-12-21
Skoda,Octavia,1.4,150.0,AT,бензин,передний,2022,0,3700000,2023-12-21
Skoda,Octavia,1.4,150.0,AMT,бензин,передний,2017,115000,1509000,2023-12-21
Skoda,Octavia,1.4,150.0,AMT,бензин,передний,2015,151000,1219000,2023-12-21
Skoda,Octavia,1.6,110.0,AT,бензин,передний,2018,120500,1078000,2023-12-21
Skoda,Octavia,1.4,75.0,MT,бензин,передний,2008,270000,520000,2023-12-21
Skoda,Octavia,1.8,152.0,AMT,бензин,передний,2011,171000,819000,2023-12-21
Skoda,Octavia,1.6,110.0,AT,бензин,передний,2019,60917,1299000,2023-12-21
Skoda,Octavia,1.8,180.0,AMT,бензин,передний,2016,130000,1045000,2023-12-21
Skoda,Octavia,1.8,152.0,AMT,бензин,передний,2013,233450,990000,2023-12-21
Skoda,Octavia,1.8,180.0,AMT,бензин,передний,2018,126000,2050000,2023-12-21
Skoda,Octavia,1.4,150.0,AMT,бензин,передний,2017,146000,1249000,2023-12-21
Skoda,Octavia,1.4,140.0,AMT,бензин,передний,2014,189139,1149000,2023-12-21
Skoda,Octavia,1.6,110.0,AT,бензин,передний,2015,156500,1008000,2023-12-21
Skoda,Octavia,1.6,110.0,AT,бензин,передний,2019,128442,1409000,2023-12-21
Skoda,Octavia,1.8,180.0,AMT,бензин,передний,2013,151695,1200000,2023-12-21
Skoda,Octavia,1.2,105.0,AMT,бензин,передний,2014,135000,839000,2023-12-21
Skoda,Octavia,1.6,110.0,AT,бензин,передний,2018,115000,1499000,2023-12-21
Skoda,Octavia,1.5,113.0,AT,бензин,передний,2023,1,2090000,2023-12-21
Skoda,Octavia,1.6,102.0,MT,бензин,передний,2011,380000,530000,2023-12-21
Skoda,Octavia,1.4,150.0,AMT,бензин,передний,2015,175000,1169000,2023-12-21
Skoda,Octavia,1.4,150.0,AMT,бензин,передний,2018,83000,1629000,2023-12-21
Skoda,Octavia,1.4,150.0,AT,бензин,передний,2023,0,3300000,2023-12-21
Skoda,Octavia,1.8,180.0,AMT,бензин,передний,2016,183000,1530000,2023-12-21
Skoda,Octavia,1.6,110.0,AT,бензин,передний,2014,220000,930000,2023-12-21
Skoda,Octavia,1.8,180.0,AMT,бензин,передний,2014,126300,1025000,2023-12-21
Skoda,Octavia,1.6,110.0,AT,бензин,передний,2019,111474,1110000,2023-12-21
Skoda,Octavia,1.6,102.0,MT,бензин,передний,2008,232145,595000,2023-12-21
Skoda,Octavia,1.6,110.0,AT,бензин,передний,2020,34666,1230000,2023-12-21
Skoda,Octavia,1.6,102.0,MT,бензин,передний,2009,208000,385000,2023-12-21
Skoda,Octavia,1.8,180.0,MT,бензин,передний,2014,197642,1229000,2023-12-21
Skoda,Octavia,1.6,102.0,MT,бензин,передний,2012,367000,650000,2023-12-21
Skoda,Octavia,1.4,150.0,AT,бензин,передний,2020,30510,2128180,2023-12-21
Skoda,Octavia,1.8,152.0,AT,бензин,передний,2009,250000,775000,2023-12-21
Skoda,Octavia,1.4,150.0,AMT,бензин,передний,2017,149298,1750000,2023-12-21
Skoda,Octavia,1.4,122.0,AMT,бензин,передний,2009,224794,800000,2023-12-21
Skoda,Octavia,1.6,110.0,AT,бензин,передний,2020,98730,1955000,2023-12-21
Skoda,Octavia,1.4,150.0,AT,бензин,передний,2021,55927,2599000,2023-12-21
Skoda,Octavia,1.4,150.0,AMT,бензин,передний,2019,147297,1849000,2023-12-21
Skoda,Octavia,1.6,102.0,MT,бензин,передний,2010,250000,650000,2023-12-21
Skoda,Octavia,1.8,180.0,AMT,бензин,передний,2016,148378,1579000,2023-12-21
Skoda,Octavia,1.6,102.0,MT,бензин,передний,2005,250000,535000,2023-12-21
Skoda,Octavia,1.6,110.0,MT,бензин,передний,2019,89722,950000,2023-12-21
Skoda,Octavia,1.6,110.0,AT,бензин,передний,2019,40605,1000000,2023-12-21
Skoda,Octavia,1.6,110.0,AT,бензин,передний,2017,172398,1139000,2023-12-21
Skoda,Octavia,1.6,115.0,MT,бензин,передний,2008,277,700000,2023-12-21
Skoda,Octavia,1.2,105.0,MT,бензин,передний,2014,400000,680000,2023-12-21
Skoda,Octavia,1.8,152.0,AMT,бензин,передний,2011,183000,830000,2023-12-21
Skoda,Octavia,1.6,102.0,AT,бензин,передний,2011,217370,1170000,2023-12-21
Skoda,Octavia,1.6,102.0,MT,бензин,передний,2007,64263,898000,2023-12-21
Skoda,Octavia,1.8,180.0,MT,бензин,передний,2016,104851,2100000,2023-12-21
Skoda,Octavia,1.8,150.0,MT,бензин,передний,2009,239000,845000,2023-12-21
Skoda,Octavia,1.6,110.0,AT,бензин,передний,2016,129300,1590000,2023-12-21
Skoda,Octavia,1.8,152.0,AT,бензин,передний,2013,130653,1150000,2023-12-21
Skoda,Octavia,1.6,102.0,MT,бензин,передний,2007,283000,550000,2023-12-21
Skoda,Octavia,1.6,115.0,AT,бензин,передний,2012,143000,699000,2023-12-21
Skoda,Octavia,1.4,122.0,AMT,бензин,передний,2012,203000,985000,2023-12-21
Skoda,Octavia,1.6,110.0,MT,бензин,передний,2015,260000,850000,2023-12-21
Skoda,Octavia,1.8,150.0,MT,бензин,полный,2006,250000,585000,2023-12-21
Skoda,Octavia,1.4,140.0,AMT,бензин,передний,2014,177000,1450000,2023-12-21
Skoda,Octavia,1.6,102.0,MT,бензин,передний,2008,192000,550000,2023-12-21
Skoda,Octavia,1.6,102.0,MT,бензин,передний,2008,256000,640000,2023-12-21
Skoda,Octavia,1.6,102.0,MT,бензин,передний,2011,172000,850000,2023-12-21
Skoda,Octavia,1.8,180.0,AMT,бензин,передний,2020,81000,2250000,2023-12-21
Skoda,Octavia,1.6,102.0,MT,бензин,передний,2013,310000,800000,2023-12-21
Skoda,Octavia,1.6,110.0,AT,бензин,передний,2017,210000,2000000,2023-12-21
Skoda,Octavia,1.8,152.0,MT,бензин,передний,2010,215469,830000,2023-12-21
Skoda,Octavia,1.6,110.0,AT,бензин,передний,2018,74000,1900000,2023-12-21
Skoda,Octavia,1.6,102.0,MT,бензин,передний,2010,143521,810000,2023-12-21
Skoda,Octavia,1.4,122.0,MT,бензин,передний,2011,198000,850000,2023-12-21
Skoda,Octavia,1.8,180.0,MT,бензин,передний,2015,118718,1049000,2023-12-21
Skoda,Octavia,1.6,102.0,MT,бензин,передний,2011,181000,919000,2023-12-21
Skoda,Octavia,1.6,102.0,MT,бензин,передний,2012,157000,795000,2023-12-21
Skoda,Octavia,1.4,140.0,AMT,бензин,передний,2015,98000,1595000,2023-12-21
Skoda,Octavia,1.8,152.0,AT,бензин,передний,2012,110000,1600000,2023-12-21
Skoda,Octavia,1.4,75.0,MT,бензин,передний,2007,389000,185000,2023-12-21
Skoda,Octavia,1.6,101.0,MT,бензин,передний,1997,406956,240000,2023-12-21
Skoda,Octavia,1.4,122.0,AMT,бензин,передний,2012,185555,899000,2023-12-21
Skoda,Octavia,1.8,152.0,AT,бензин,передний,2012,212000,925000,2023-12-21
Skoda,Octavia,1.4,150.0,MT,бензин,передний,2017,94715,1780000,2023-12-21
Skoda,Octavia,1.8,180.0,AMT,бензин,передний,2017,120000,1810000,2023-12-21
Skoda,Octavia,1.8,152.0,AT,бензин,передний,2012,218000,900000,2023-12-21
Skoda,Octavia,1.6,102.0,MT,бензин,передний,2006,227000,530000,2023-12-21
Skoda,Octavia,1.8,152.0,MT,бензин,передний,2012,232110,849000,2023-12-21
Skoda,Octavia,1.4,150.0,AT,бензин,передний,2021,43,1690000,2023-12-21
Skoda,Octavia,1.4,75.0,MT,бензин,передний,2007,129700,625000,2023-12-21
Skoda,Octavia,1.8,152.0,AT,бензин,передний,2012,161500,1100000,2023-12-21
Skoda,Octavia,1.6,110.0,MT,бензин,передний,2015,161964,1300000,2023-12-21
Skoda,Octavia,1.6,110.0,MT,бензин,передний,2016,261887,1000000,2023-12-21
Skoda,Octavia,1.6,110.0,AT,бензин,передний,2017,220000,1750000,2023-12-21
Skoda,Octavia,1.6,110.0,AT,бензин,передний,2016,188000,1390000,2023-12-21
Skoda,Octavia,1.2,105.0,MT,бензин,передний,2013,440000,730000,2023-12-21
Skoda,Octavia,1.6,110.0,AT,бензин,передний,2018,158200,1360000,2023-12-21
Skoda,Octavia,1.6,101.0,MT,бензин,передний,1997,433500,239000,2023-12-21
Skoda,Octavia,1.6,110.0,MT,бензин,передний,2019,106080,1621000,2023-12-21
Skoda,Octavia,1.6,110.0,AT,бензин,передний,2018,95000,1999000,2023-12-21
Skoda,Octavia,1.6,110.0,MT,бензин,передний,2016,84000,1650000,2023-12-21
Skoda,Octavia,1.4,140.0,AMT,бензин,передний,2015,117000,1469000,2023-12-21
Skoda,Octavia,1.6,102.0,MT,бензин,передний,2012,150000,770000,2023-12-21
Skoda,Octavia,1.8,180.0,AMT,бензин,передний,2015,150000,2499000,2023-12-21
Skoda,Octavia,1.6,110.0,MT,бензин,передний,2018,240000,1550000,2023-12-21
Skoda,Octavia,1.4,150.0,AMT,бензин,передний,2016,330000,1150000,2023-12-21
Skoda,Octavia,1.8,160.0,AMT,бензин,передний,2008,277000,830000,2023-12-21
Skoda,Octavia,1.4,60.0,MT,бензин,передний,2010,500000,540000,2023-12-21
Skoda,Octavia,1.6,110.0,AT,бензин,передний,2020,40000,2300000,2023-12-21
