brand,model,engine,horse_pwr,trans,gas,drive,build_year,mileage_kms,price_rub,date
Skoda,Yeti,1.4,122,AMT,бензин,передний,2015,129399,1099000,2023-12-21
Skoda,Yeti,1.6,110,AT,бензин,передний,2018,130224,1317000,2023-12-21
Skoda,Yeti,1.6,110,MT,бензин,передний,2017,125555,1470000,2023-12-21
Skoda,Yeti,1.6,110,AT,бензин,передний,2016,75000,1590000,2023-12-21
Skoda,Yeti,1.8,152,AMT,бензин,полный,2012,155500,888000,2023-12-21
Skoda,Yeti,1.8,152,AMT,бензин,полный,2014,179182,1129000,2023-12-21
Skoda,Yeti,1.4,122,AMT,бензин,передний,2014,142170,949000,2023-12-21
Skoda,Yeti,1.8,152,AMT,бензин,полный,2012,107000,999000,2023-12-21
Skoda,Yeti,1.2,105,AMT,бензин,передний,2012,162500,855000,2023-12-21
Skoda,Yeti,1.8,152,AMT,бензин,полный,2015,117200,1149000,2023-12-21
Skoda,Yeti,1.4,122,AMT,бензин,передний,2014,139200,1149000,2023-12-21
Skoda,Yeti,1.8,152,AMT,бензин,полный,2017,203700,1630000,2023-12-21
Skoda,Yeti,1.2,105,MT,бензин,передний,2011,249265,625000,2023-12-21
Skoda,Yeti,1.8,152,AMT,бензин,полный,2017,157000,1530000,2023-12-21
Skoda,Yeti,1.8,152,AMT,бензин,полный,2014,147500,1245000,2023-12-21
Skoda,Yeti,1.8,152,AMT,бензин,полный,2014,143500,1028000,2023-12-21
Skoda,Yeti,1.4,122,AMT,бензин,передний,2014,135000,1290000,2023-12-21
Skoda,Yeti,1.2,105,MT,бензин,передний,2014,155000,1275000,2023-12-21
Skoda,Yeti,1.6,110,AT,бензин,передний,2015,79000,1730000,2023-12-21
Skoda,Yeti,1.2,105,MT,бензин,передний,2011,165000,1090000,2023-12-21
Skoda,Yeti,1.8,152,AMT,бензин,полный,2012,112600,1295000,2023-12-21
Skoda,Yeti,1.2,105,AMT,бензин,передний,2013,106929,1144000,2023-12-21
Skoda,Yeti,1.2,105,AMT,бензин,передний,2011,137288,759000,2023-12-21
Skoda,Yeti,1.2,105,MT,бензин,передний,2010,160378,719000,2023-12-21
Skoda,Yeti,1.6,110,MT,бензин,передний,2015,149000,1380000,2023-12-21
Skoda,Yeti,1.2,105,AMT,бензин,передний,2011,167287,765000,2023-12-21
Skoda,Yeti,1.8,152,AMT,бензин,полный,2013,168257,1149000,2023-12-21
Skoda,Yeti,1.8,152,AMT,бензин,полный,2012,61879,1270000,2023-12-21
Skoda,Yeti,1.2,105,AMT,бензин,передний,2014,120133,1068400,2023-12-21
Skoda,Yeti,1.8,152,AMT,бензин,полный,2013,125000,1310000,2023-12-21
Skoda,Yeti,1.8,152,AMT,бензин,полный,2011,163000,829000,2023-12-21
Skoda,Yeti,1.8,152,AMT,бензин,полный,2012,168370,1120000,2023-12-21
Skoda,Yeti,1.6,110,AT,бензин,передний,2015,126300,1515000,2023-12-21
Skoda,Yeti,1.4,122,AMT,бензин,передний,2015,124714,1329000,2023-12-21
Skoda,Yeti,1.6,110,MT,бензин,передний,2016,180000,1170000,2023-12-21
Skoda,Yeti,1.8,152,AMT,бензин,полный,2017,98000,1755000,2023-12-21
Skoda,Yeti,1.2,105,AMT,бензин,передний,2010,143000,779000,2023-12-21
Skoda,Yeti,1.8,152,AMT,бензин,полный,2012,184000,779000,2023-12-21
Skoda,Yeti,1.8,152,AMT,бензин,полный,2011,167200,819000,2023-12-21
Skoda,Yeti,1.6,110,AT,бензин,передний,2016,188243,1650000,2023-12-21
Skoda,Yeti,1.8,152,AMT,бензин,полный,2017,85441,1495000,2023-12-21
Skoda,Yeti,1.2,105,MT,бензин,передний,2012,190000,950000,2023-12-21
Skoda,Yeti,1.2,105,MT,бензин,передний,2011,171000,850000,2023-12-21
Skoda,Yeti,1.8,152,AMT,бензин,полный,2014,209000,1190000,2023-12-21
Skoda,Yeti,1.8,152,AMT,бензин,полный,2012,123000,1400000,2023-12-21
Skoda,Yeti,1.8,152,AMT,бензин,полный,2013,117034,999000,2023-12-21
Skoda,Yeti,1.6,110,MT,бензин,передний,2016,80000,1525000,2023-12-21
Skoda,Yeti,1.4,122,AMT,бензин,передний,2013,197000,1100000,2023-12-21
Skoda,Yeti,1.8,152,AMT,бензин,полный,2012,154000,745000,2023-12-21
Skoda,Yeti,1.2,105,AMT,бензин,передний,2014,171410,874700,2023-12-21
Skoda,Yeti,1.8,152,MT,бензин,полный,2012,90136,1195000,2023-12-21
Skoda,Yeti,1.6,110,AT,бензин,передний,2015,111914,1515000,2023-12-21
Skoda,Yeti,1.8,152,AMT,бензин,полный,2011,136637,1019667,2023-12-21
Skoda,Yeti,1.8,152,AMT,бензин,полный,2013,137880,1299000,2023-12-21
Skoda,Yeti,1.8,152,AMT,бензин,полный,2013,147500,1400000,2023-12-21
Skoda,Yeti,1.6,110,AT,бензин,передний,2016,72000,1699000,2023-12-21
Skoda,Yeti,1.8,152,AMT,бензин,полный,2017,55131,1895000,2023-12-21
Skoda,Yeti,1.6,110,MT,бензин,передний,2016,57305,1650000,2023-12-21
Skoda,Yeti,1.2,105,AMT,бензин,передний,2012,81000,1650000,2023-12-21
Skoda,Yeti,1.6,110,AT,бензин,передний,2017,62400,1639000,2023-12-21
Skoda,Yeti,1.2,105,AMT,бензин,передний,2011,156500,970000,2023-12-21
Skoda,Yeti,1.2,105,AMT,бензин,передний,2013,91319,1165000,2023-12-21
Skoda,Yeti,1.4,122,AMT,бензин,передний,2014,164964,1050000,2023-12-21
Skoda,Yeti,1.2,105,AMT,бензин,передний,2012,120300,1100000,2023-12-21
Skoda,Yeti,1.2,105,AMT,бензин,передний,2013,126587,1020000,2023-12-21
Skoda,Yeti,1.8,152,MT,бензин,полный,2011,213384,829000,2023-12-21
Skoda,Yeti,1.2,105,AMT,бензин,передний,2013,185540,959000,2023-12-21
Skoda,Yeti,1.2,105,MT,бензин,передний,2012,270391,839000,2023-12-21
Skoda,Yeti,1.6,110,AT,бензин,передний,2016,151279,1699000,2023-12-21
Skoda,Yeti,1.2,105,MT,бензин,передний,2014,140000,1200000,2023-12-21
Skoda,Yeti,1.4,122,AMT,бензин,передний,2014,184587,1095000,2023-12-21
Skoda,Yeti,1.2,105,AMT,бензин,передний,2012,144286,1050000,2023-12-21
Skoda,Yeti,1.8,152,AMT,бензин,полный,2017,198628,1650000,2023-12-21
Skoda,Yeti,1.4,122,AMT,бензин,передний,2014,172844,1140000,2023-12-21
Skoda,Yeti,1.6,110,MT,бензин,передний,2015,145490,1300000,2023-12-21
Skoda,Yeti,1.4,125,AMT,бензин,передний,2016,56494,1480000,2023-12-21
Skoda,Yeti,1.2,105,AMT,бензин,передний,2012,171000,950000,2023-12-21
Skoda,Yeti,1.2,105,AMT,бензин,передний,2012,216300,779000,2023-12-21
Skoda,Yeti,1.6,110,MT,бензин,передний,2014,147740,1190000,2023-12-21
Skoda,Yeti,1.4,122,MT,бензин,передний,2012,98000,1190000,2023-12-21
Skoda,Yeti,1.4,122,AMT,бензин,передний,2014,181491,1380000,2023-12-21
Skoda,Yeti,1.2,105,AMT,бензин,передний,2013,175000,938500,2023-12-21
Skoda,Yeti,1.6,110,MT,бензин,передний,2017,139795,1499000,2023-12-21
Skoda,Yeti,1.2,105,MT,бензин,передний,2011,260717,879000,2023-12-21
Skoda,Yeti,1.2,105,AMT,бензин,передний,2012,214675,1429999,2023-12-21
Skoda,Yeti,1.2,105,AMT,бензин,передний,2014,209000,1250000,2023-12-21
Skoda,Yeti,1.4,125,AMT,бензин,передний,2015,100889,1419000,2023-12-21
Skoda,Yeti,1.2,105,AMT,бензин,передний,2012,160672,799000,2023-12-21
Skoda,Yeti,1.2,105,AMT,бензин,передний,2011,206000,855000,2023-12-21
Skoda,Yeti,1.8,152,AMT,бензин,полный,2015,96000,1759500,2023-12-21
Skoda,Yeti,1.6,110,MT,бензин,передний,2014,93000,1450000,2023-12-21
Skoda,Yeti,1.8,152,MT,бензин,полный,2011,187352,1049000,2023-12-21
Skoda,Yeti,1.2,105,AMT,бензин,передний,2014,111560,1195000,2023-12-21
Skoda,Yeti,1.4,122,AMT,бензин,передний,2014,184719,1145000,2023-12-21
Skoda,Yeti,1.6,110,MT,бензин,передний,2015,224157,1199000,2023-12-21
Skoda,Yeti,1.8,152,AMT,бензин,полный,2013,132745,1057110,2023-12-21
Skoda,Yeti,1.8,152,AMT,бензин,полный,2015,105900,2170000,2023-12-21
Skoda,Yeti,1.4,122,AMT,бензин,передний,2015,110000,1800000,2023-12-21
Skoda,Yeti,1.2,105,MT,бензин,передний,2013,160000,910000,2023-12-21
Skoda,Yeti,1.8,152,AMT,бензин,полный,2014,171000,1050000,2023-12-21
Skoda,Yeti,1.4,122,AMT,бензин,передний,2014,185000,1240000,2023-12-21
Skoda,Yeti,1.8,152,AMT,бензин,полный,2016,223000,1700000,2023-12-21
Skoda,Yeti,1.2,105,AMT,бензин,передний,2012,145317,879000,2023-12-21
Skoda,Yeti,1.6,110,AT,бензин,передний,2017,115239,1650000,2023-12-21
Skoda,Yeti,1.2,105,AMT,бензин,передний,2011,169174,750000,2023-12-21
Skoda,Yeti,1.4,125,AMT,бензин,передний,2017,94349,1699000,2023-12-21
Skoda,Yeti,1.2,105,AMT,бензин,передний,2012,129403,870000,2023-12-21
Skoda,Yeti,1.8,152,AMT,бензин,полный,2012,158000,749000,2023-12-21
Skoda,Yeti,1.2,105,MT,бензин,передний,2010,160000,980000,2023-12-21
Skoda,Yeti,1.6,110,MT,бензин,передний,2017,117000,1427000,2023-12-21
Skoda,Yeti,1.2,105,AMT,бензин,передний,2012,180000,798000,2023-12-21
Skoda,Yeti,1.8,152,AMT,бензин,полный,2012,156000,749000,2023-12-21
Skoda,Yeti,1.4,122,AMT,бензин,передний,2014,225000,1300000,2023-12-21
Skoda,Yeti,1.2,105,MT,бензин,передний,2010,172748,846600,2023-12-21
