brand,model,engine,horse_pwr,trans,gas,drive,build_year,mileage_kms,price_rub,date
Volkswagen,Jetta,1.6,110.0,AT,бензин,передний,2018,103812,1249000,2023-12-21
Volkswagen,Jetta,1.6,105.0,AT,бензин,передний,2015,98144,1039000,2023-12-21
Volkswagen,Jetta,1.4,122.0,AMT,бензин,передний,2011,138000,999000,2023-12-21
Volkswagen,Jetta,1.6,105.0,AT,бензин,передний,2015,142003,1390000,2023-12-21
Volkswagen,Jetta,1.4,122.0,MT,бензин,передний,2014,153440,850000,2023-12-21
Volkswagen,Jetta,1.6,110.0,MT,бензин,передний,2017,35265,1679000,2023-12-21
Volkswagen,Jetta,1.4,150.0,AT,бензин,передний,2020,55000,2099000,2023-12-21
Volkswagen,Jetta,1.6,110.0,AT,бензин,передний,2017,87782,980000,2023-12-21
Volkswagen,Jetta,1.4,122.0,MT,бензин,передний,2014,146653,1295000,2023-12-21
Volkswagen,Jetta,1.6,105.0,AT,бензин,передний,2015,217156,995000,2023-12-21
Volkswagen,Jetta,1.4,150.0,AT,бензин,передний,2017,139489,1670000,2023-12-21
Volkswagen,Jetta,1.4,125.0,AMT,бензин,передний,2017,132577,1399000,2023-12-21
Volkswagen,Jetta,1.6,105.0,AT,бензин,передний,2013,212599,1110000,2023-12-21
Volkswagen,Jetta,1.6,85.0,MT,бензин,передний,2015,96389,1139000,2023-12-21
Volkswagen,Jetta,1.4,125.0,AMT,бензин,передний,2018,166731,1529000,2023-12-21
Volkswagen,Jetta,1.4,125.0,AMT,бензин,передний,2017,214400,1180000,2023-12-21
Volkswagen,Jetta,1.4,125.0,AMT,бензин,передний,2017,61500,1333115,2023-12-21
Volkswagen,Jetta,1.4,150.0,AT,бензин,передний,2019,28000,1720000,2023-12-21
Volkswagen,Jetta,1.6,110.0,AT,бензин,передний,2016,75641,1655000,2023-12-21
Volkswagen,Jetta,1.4,125.0,AMT,бензин,передний,2016,112191,1099000,2023-12-21
Volkswagen,Jetta,1.4,122.0,MT,бензин,передний,2011,268884,900000,2023-12-21
Volkswagen,Jetta,1.6,105.0,MT,бензин,передний,2012,225800,918000,2023-12-21
Volkswagen,Jetta,1.4,122.0,AMT,бензин,передний,2014,144352,1290000,2023-12-21
Volkswagen,Jetta,1.6,110.0,AT,бензин,передний,2017,138233,1299000,2023-12-21
Volkswagen,Jetta,1.6,110.0,AT,бензин,передний,2017,135930,1299000,2023-12-21
Volkswagen,Jetta,1.6,110.0,AT,бензин,передний,2018,56153,1759000,2023-12-21
Volkswagen,Jetta,1.6,105.0,MT,бензин,передний,2012,175000,1100000,2023-12-21
Volkswagen,Jetta,1.4,150.0,AMT,бензин,передний,2013,111788,1100000,2023-12-21
Volkswagen,Jetta,1.4,122.0,MT,бензин,передний,2013,205748,1149000,2023-12-21
Volkswagen,Jetta,1.4,122.0,AMT,бензин,передний,2011,219091,1290000,2023-12-21
Volkswagen,Jetta,1.6,102.0,MT,бензин,передний,2009,290000,495000,2023-12-21
Volkswagen,Jetta,1.4,122.0,AMT,бензин,передний,2013,70719,1120000,2023-12-21
Volkswagen,Jetta,1.6,102.0,MT,бензин,передний,2011,185000,695000,2023-12-21
Volkswagen,Jetta,1.4,122.0,AMT,бензин,передний,2014,116474,1050000,2023-12-21
Volkswagen,Jetta,1.8,170.0,AT,бензин,передний,2014,98396,1265000,2023-12-21
Volkswagen,Jetta,1.4,122.0,AMT,бензин,передний,2012,210000,1010000,2023-12-21
Volkswagen,Jetta,1.6,102.0,AT,бензин,передний,2008,183000,740000,2023-12-21
Volkswagen,Jetta,1.4,122.0,AMT,бензин,передний,2011,163000,779000,2023-12-21
Volkswagen,Jetta,1.4,122.0,MT,бензин,передний,2014,183000,1180000,2023-12-21
Volkswagen,Jetta,1.6,105.0,AT,бензин,передний,2013,166000,769000,2023-12-21
Volkswagen,Jetta,1.6,102.0,MT,бензин,передний,2010,158000,675000,2023-12-21
Volkswagen,Jetta,1.6,105.0,MT,бензин,передний,2012,191000,1098000,2023-12-21
Volkswagen,Jetta,1.6,102.0,AT,бензин,передний,2010,196000,799000,2023-12-21
Volkswagen,Jetta,1.6,105.0,AT,бензин,передний,2014,198600,950000,2023-12-21
Volkswagen,Jetta,1.6,102.0,MT,бензин,передний,2008,165000,680000,2023-12-21
Volkswagen,Jetta,1.6,105.0,MT,бензин,передний,2013,271000,945000,2023-12-21
Volkswagen,Jetta,1.4,150.0,AT,бензин,передний,2020,40000,1550000,2023-12-21
Volkswagen,Jetta,1.4,150.0,AT,бензин,передний,2018,59000,1970000,2023-12-21
Volkswagen,Jetta,1.6,105.0,AT,бензин,передний,2015,119500,1590000,2023-12-21
Volkswagen,Jetta,1.6,102.0,AT,бензин,передний,2008,124575,685000,2023-12-21
Volkswagen,Jetta,1.4,150.0,AT,бензин,передний,2019,89000,2280000,2023-12-21
Volkswagen,Jetta,1.6,102.0,MT,бензин,передний,2008,274360,610000,2023-12-21
Volkswagen,Jetta,1.4,150.0,AT,бензин,передний,2020,53000,2100000,2023-12-21
Volkswagen,Jetta,1.6,85.0,MT,бензин,передний,2014,128888,1222222,2023-12-21
Volkswagen,Jetta,2.0,230.0,AMT,бензин,передний,2019,78000,2800000,2023-12-21
Volkswagen,Jetta,2.0,116.0,AT,бензин,передний,1999,202000,425000,2023-12-21
Volkswagen,Jetta,1.6,105.0,MT,бензин,передний,2015,115330,1280000,2023-12-21
Volkswagen,Jetta,1.4,122.0,AMT,бензин,передний,2014,84400,1315000,2023-12-21
Volkswagen,Jetta,1.6,110.0,MT,бензин,передний,2017,131000,1340000,2023-12-21
Volkswagen,Jetta,1.6,110.0,AT,бензин,передний,2014,140000,1440000,2023-12-21
Volkswagen,Jetta,1.6,102.0,MT,бензин,передний,2008,418351,550000,2023-12-21
Volkswagen,Jetta,2.0,230.0,AMT,бензин,передний,2019,99000,2930000,2023-12-21
Volkswagen,Jetta,1.8,180.0,AT,бензин,передний,2003,200774,388888,2023-12-21
Volkswagen,Jetta,1.4,147.0,AT,бензин,передний,2019,145000,1580000,2023-12-21
Volkswagen,Jetta,1.8,105.0,MT,бензин,передний,1986,120000,110000,2023-12-21
Volkswagen,Jetta,1.6,110.0,AT,бензин,передний,2020,45992,1920777,2023-12-21
Volkswagen,Jetta,1.4,122.0,AMT,бензин,передний,2013,202000,1250000,2023-12-21
Volkswagen,Jetta,1.6,105.0,MT,бензин,передний,2014,207000,1130000,2023-12-21
Volkswagen,Jetta,1.4,122.0,AMT,бензин,передний,2015,102000,849000,2023-12-21
Volkswagen,Jetta,1.4,150.0,AT,бензин,передний,2020,85000,1990000,2023-12-21
Volkswagen,Jetta,1.6,110.0,AT,бензин,передний,2018,123000,1667000,2023-12-21
Volkswagen,Jetta,1.6,110.0,MT,бензин,передний,2016,169500,1100000,2023-12-21
Volkswagen,Jetta,1.4,122.0,AMT,бензин,передний,2012,179358,1149000,2023-12-21
Volkswagen,Jetta,1.6,102.0,MT,бензин,передний,2010,276000,525000,2023-12-21
Volkswagen,Jetta,1.4,122.0,MT,бензин,передний,2012,268723,915000,2023-12-21
Volkswagen,Jetta,1.6,105.0,MT,бензин,передний,2015,198566,1400000,2023-12-21
Volkswagen,Jetta,1.4,122.0,AMT,бензин,передний,2014,182000,1350000,2023-12-21
Volkswagen,Jetta,1.4,147.0,AT,бензин,передний,2019,80500,2200000,2023-12-21
Volkswagen,Jetta,1.6,110.0,AT,бензин,передний,2017,54200,1920000,2023-12-21
Volkswagen,Jetta,1.6,105.0,MT,бензин,передний,2012,250000,1010000,2023-12-21
Volkswagen,Jetta,1.4,122.0,MT,бензин,передний,2012,229000,1050000,2023-12-21
Volkswagen,Jetta,1.6,70.0,AT,бензин,передний,1990,310000,139000,2023-12-21
Volkswagen,Jetta,1.4,122.0,AMT,бензин,передний,2013,189000,899000,2023-12-21
