brand,model,engine,horse_pwr,trans,gas,drive,build_year,mileage_kms,price_rub,date
Volkswagen,Polo,1.6,110.0,AT,бензин,передний,2016,137000,1149990,2023-12-21
Volkswagen,Polo,1.6,110.0,MT,бензин,передний,2020,75715,1095000,2023-12-21
Volkswagen,Polo,1.6,110.0,AT,бензин,передний,2017,118000,999000,2023-12-21
Volkswagen,Polo,1.6,110.0,AT,бензин,передний,2021,62000,1599000,2023-12-21
Volkswagen,Polo,1.6,110.0,MT,бензин,передний,2021,62311,1597000,2023-12-21
Volkswagen,Polo,1.6,90.0,MT,бензин,передний,2018,123000,799000,2023-12-21
Volkswagen,Polo,1.6,110.0,AT,бензин,передний,2019,125047,880000,2023-12-21
Volkswagen,Polo,1.6,110.0,MT,бензин,передний,2018,168081,877000,2023-12-21
Volkswagen,Polo,1.6,110.0,AT,бензин,передний,2022,0,2100000,2023-12-21
Volkswagen,Polo,1.6,110.0,AT,бензин,передний,2021,0,2199000,2023-12-21
Volkswagen,Polo,1.6,110.0,AT,бензин,передний,2022,0,1440000,2023-12-21
Volkswagen,Polo,1.4,60.0,MT,бензин,передний,2001,180000,135000,2023-12-21
Volkswagen,Polo,1.6,110.0,AT,бензин,передний,2021,40535,1650000,2023-12-21
Volkswagen,Polo,1.4,125.0,AMT,бензин,передний,2019,53000,1099000,2023-12-21
Volkswagen,Polo,1.6,110.0,MT,бензин,передний,2018,111139,650000,2023-12-21
Volkswagen,Polo,1.6,105.0,MT,бензин,передний,2014,168977,1085000,2023-12-21
Volkswagen,Polo,1.2,60.0,MT,бензин,передний,2011,170000,620000,2023-12-21
Volkswagen,Polo,1.6,110.0,AT,бензин,передний,2015,240000,760000,2023-12-21
Volkswagen,Polo,1.6,110.0,AT,бензин,передний,2017,125318,1190000,2023-12-21
Volkswagen,Polo,1.6,110.0,MT,бензин,передний,2016,138000,1220000,2023-12-21
Volkswagen,Polo,1.6,105.0,AT,бензин,передний,2012,250000,700000,2023-12-21
Volkswagen,Polo,1.6,105.0,MT,бензин,передний,2012,222222,530000,2023-12-21
Volkswagen,Polo,1.6,110.0,AT,бензин,передний,2016,102000,1099000,2023-12-21
Volkswagen,Polo,1.6,105.0,AT,бензин,передний,2013,267000,650000,2023-12-21
Volkswagen,Polo,1.6,105.0,MT,бензин,передний,2015,111294,1185000,2023-12-21
Volkswagen,Polo,1.6,110.0,AT,бензин,передний,2018,240000,999999,2023-12-21
Volkswagen,Polo,1.6,105.0,MT,бензин,передний,2014,147280,749000,2023-12-21
Volkswagen,Polo,1.6,90.0,MT,бензин,передний,2021,70000,1400000,2023-12-21
Volkswagen,Polo,1.4,80.0,MT,бензин,передний,2008,167900,625000,2023-12-21
Volkswagen,Polo,1.6,105.0,AT,бензин,передний,2015,146829,925000,2023-12-21
