brand,model,engine,horse_pwr,trans,gas,drive,build_year,mileage_kms,price_rub,date
Volkswagen,Teramont,3.6,280,AT,бензин,полный,2019,126687,3649000,2023-12-21
Volkswagen,Teramont,2.0,220,AT,бензин,полный,2019,113023,3707466,2023-12-21
Volkswagen,Teramont,3.6,280,AT,бензин,полный,2018,46000,3800000,2023-12-21
Volkswagen,Teramont,2.0,220,AMT,бензин,полный,2023,0,7040000,2023-12-21
Volkswagen,Teramont,3.6,280,AT,бензин,полный,2019,79450,3850000,2023-12-21
Volkswagen,Teramont,2.0,220,AT,бензин,полный,2018,78000,3490000,2023-12-21
Volkswagen,Teramont,3.6,280,AT,бензин,полный,2019,65163,3978200,2023-12-21
Volkswagen,Teramont,2.0,220,AT,бензин,полный,2023,0,6490000,2023-12-21
Volkswagen,Teramont,2.0,220,AMT,бензин,полный,2023,0,6490000,2023-12-21
Volkswagen,Teramont,2.0,220,AT,бензин,полный,2023,0,6690000,2023-12-21
Volkswagen,Teramont,3.6,249,AT,бензин,полный,2019,95010,3898000,2023-12-21
Volkswagen,Teramont,2.0,220,AT,бензин,полный,2018,80587,3400000,2023-12-21
Volkswagen,Teramont,3.6,280,AT,бензин,полный,2019,30000,4999000,2023-12-21
Volkswagen,Teramont,2.0,220,AT,бензин,полный,2021,15,6390000,2023-12-21
Volkswagen,Teramont,3.6,249,AT,бензин,полный,2021,22225,6450000,2023-12-21
Volkswagen,Teramont,2.0,220,AT,бензин,полный,2022,18946,5779000,2023-12-21
Volkswagen,Teramont,3.6,280,AT,бензин,полный,2018,126500,3550000,2023-12-21
Volkswagen,Teramont,2.0,220,AT,бензин,полный,2018,117662,4150000,2023-12-21
Volkswagen,Teramont,2.0,220,AT,бензин,полный,2021,43200,4700000,2023-12-21
Volkswagen,Teramont,2.0,220,AT,бензин,полный,2019,71909,3690000,2023-12-21
Volkswagen,Teramont,2.0,220,AMT,бензин,полный,2021,36142,6480000,2023-12-21
Volkswagen,Teramont,2.0,220,AT,бензин,полный,2022,24,6800000,2023-12-21
Volkswagen,Teramont,2.0,220,AT,бензин,полный,2021,33000,5070000,2023-12-21
Volkswagen,Teramont,2.0,220,AT,бензин,полный,2019,149273,3530000,2023-12-21
Volkswagen,Teramont,2.0,220,AT,бензин,полный,2018,109624,3115872,2023-12-21
Volkswagen,Teramont,2.0,220,AT,бензин,полный,2018,63550,3900000,2023-12-21
Volkswagen,Teramont,2.0,238,AT,бензин,передний,2019,69309,2800000,2023-12-21
Volkswagen,Teramont,3.6,249,AT,бензин,полный,2019,120600,3750000,2023-12-21
Volkswagen,Teramont,2.0,220,AT,бензин,полный,2021,1300,6100000,2023-12-21
Volkswagen,Teramont,2.0,220,AT,бензин,полный,2018,95687,3420000,2023-12-21
Volkswagen,Teramont,2.0,220,AT,бензин,полный,2018,140000,2999000,2023-12-21
Volkswagen,Teramont,2.0,220,AT,бензин,полный,2018,122439,3369000,2023-12-21
Volkswagen,Teramont,2.0,220,AT,бензин,полный,2021,44501,5329000,2023-12-21
Volkswagen,Teramont,2.0,220,AT,бензин,полный,2023,100,5990000,2023-12-21
Volkswagen,Teramont,2.0,220,AT,бензин,полный,2018,50000,3190000,2023-12-21
Volkswagen,Teramont,2.0,220,AT,бензин,полный,2021,0,6999000,2023-12-21
Volkswagen,Teramont,3.6,249,AT,бензин,полный,2019,190000,2650000,2023-12-21
Volkswagen,Teramont,2.0,220,AT,бензин,полный,2018,54910,4125000,2023-12-21
Volkswagen,Teramont,3.6,280,AT,бензин,полный,2019,86409,3750000,2023-12-21
Volkswagen,Teramont,2.0,220,AT,бензин,полный,2022,0,6950000,2023-12-21
Volkswagen,Teramont,2.0,220,AT,бензин,полный,2018,130000,3100000,2023-12-21
Volkswagen,Teramont,3.6,249,AT,бензин,полный,2023,99,4799000,2023-12-21
Volkswagen,Teramont,2.0,220,AT,бензин,полный,2018,124492,3289789,2023-12-21
Volkswagen,Teramont,2.0,220,AT,бензин,полный,2018,157000,3250000,2023-12-21
Volkswagen,Teramont,2.0,220,AMT,бензин,полный,2023,0,7050000,2023-12-21
Volkswagen,Teramont,2.0,220,AT,бензин,полный,2022,5000,4850000,2023-12-21
Volkswagen,Teramont,2.0,220,AT,бензин,полный,2021,23671,5130000,2023-12-21
Volkswagen,Teramont,2.0,220,AT,бензин,полный,2021,35,6750000,2023-12-21
Volkswagen,Teramont,3.6,280,AT,бензин,полный,2018,279380,3088000,2023-12-21
Volkswagen,Teramont,3.6,280,AT,бензин,полный,2018,145000,3300000,2023-12-21
Volkswagen,Teramont,3.6,249,AT,бензин,полный,2019,49228,4359000,2023-12-21
Volkswagen,Teramont,3.6,249,AT,бензин,полный,2019,186000,3800000,2023-12-21
Volkswagen,Teramont,2.0,220,AT,бензин,полный,2018,150000,3170000,2023-12-21
Volkswagen,Teramont,2.0,220,AMT,бензин,полный,2023,202,4850000,2023-12-21
Volkswagen,Teramont,3.6,249,AT,бензин,полный,2019,143000,3950000,2023-12-21
Volkswagen,Teramont,2.0,220,AT,бензин,полный,2018,103000,3799000,2023-12-21
Volkswagen,Teramont,3.6,280,AT,бензин,полный,2018,161526,3450000,2023-12-21
Volkswagen,Teramont,2.0,220,AT,бензин,полный,2022,21000,5850000,2023-12-21
Volkswagen,Teramont,3.6,249,AT,бензин,полный,2019,103600,3650000,2023-12-21
Volkswagen,Teramont,2.0,220,AT,бензин,полный,2018,100000,3490000,2023-12-21
