brand,model,engine,horse_pwr,trans,gas,drive,build_year,mileage_kms,price_rub,date
Volkswagen,Touareg,2.5,174.0,AT,дизель,полный,2008,172500,995000,2023-12-21
Volkswagen,Touareg,3.6,249.0,AT,бензин,полный,2015,157500,2268000,2023-12-21
Volkswagen,Touareg,3.0,245.0,AT,дизель,полный,2014,233674,2899000,2023-12-21
Volkswagen,Touareg,3.0,240.0,AT,дизель,полный,2010,181500,1248000,2023-12-21
Volkswagen,Touareg,3.0,286.0,AT,дизель,полный,2019,55000,6100000,2023-12-21
Volkswagen,Touareg,2.0,249.0,AT,бензин,полный,2018,110157,4599000,2023-12-21
Volkswagen,Touareg,3.0,286.0,AT,дизель,полный,2019,47914,6515000,2023-12-21
Volkswagen,Touareg,2.5,174.0,AT,дизель,полный,2008,178500,1015000,2023-12-21
Volkswagen,Touareg,3.0,231.0,AT,дизель,полный,2023,0,13350000,2023-12-21
Volkswagen,Touareg,3.0,249.0,AT,дизель,полный,2022,0,11319500,2023-12-21
Volkswagen,Touareg,3.0,249.0,AT,дизель,полный,2022,0,11569500,2023-12-21
Volkswagen,Touareg,3.0,286.0,AT,дизель,полный,2020,29000,6900000,2023-12-21
Volkswagen,Touareg,3.0,249.0,AT,дизель,полный,2020,84000,5650000,2023-12-21
Volkswagen,Touareg,3.6,249.0,AT,бензин,полный,2014,142500,1855000,2023-12-21
Volkswagen,Touareg,3.0,245.0,AT,дизель,полный,2016,133320,2599000,2023-12-21
Volkswagen,Touareg,3.6,249.0,AT,бензин,полный,2013,286600,2240000,2023-12-21
Volkswagen,Touareg,2.0,249.0,AT,бензин,полный,2019,103601,4635000,2023-12-21
Volkswagen,Touareg,3.0,340.0,AT,бензин,полный,2019,17539,5400000,2023-12-21
Volkswagen,Touareg,3.0,249.0,AT,дизель,полный,2020,72000,5745500,2023-12-21
Volkswagen,Touareg,3.0,249.0,AT,дизель,полный,2019,99060,5379000,2023-12-21
Volkswagen,Touareg,2.0,249.0,AT,бензин,полный,2018,74513,4390777,2023-12-21
Volkswagen,Touareg,3.0,249.0,AT,дизель,полный,2020,77000,6200000,2023-12-21
Volkswagen,Touareg,2.0,249.0,AT,бензин,полный,2020,48900,5899000,2023-12-21
Volkswagen,Touareg,3.0,286.0,AT,дизель,полный,2020,59700,5990000,2023-12-21
Volkswagen,Touareg,3.0,231.0,AT,дизель,полный,2018,76150,5469000,2023-12-21
Volkswagen,Touareg,3.0,245.0,AT,дизель,полный,2017,77000,3655000,2023-12-21
Volkswagen,Touareg,3.0,240.0,AT,дизель,полный,2011,175000,1645000,2023-12-21
Volkswagen,Touareg,3.0,286.0,AT,дизель,полный,2020,98700,6650000,2023-12-21
Volkswagen,Touareg,3.0,245.0,AT,дизель,полный,2012,185000,1769000,2023-12-21
Volkswagen,Touareg,3.0,340.0,AT,бензин,полный,2019,85370,6190000,2023-12-21
Volkswagen,Touareg,3.0,204.0,AT,дизель,полный,2012,186000,2299000,2023-12-21
Volkswagen,Touareg,3.0,240.0,AT,дизель,полный,2010,208000,2089000,2023-12-21
Volkswagen,Touareg,3.0,249.0,AT,дизель,полный,2021,18775,7981000,2023-12-21
Volkswagen,Touareg,3.0,286.0,AT,дизель,полный,2019,60819,6129000,2023-12-21
Volkswagen,Touareg,2.5,174.0,AT,дизель,полный,2008,312000,990000,2023-12-21
Volkswagen,Touareg,4.2,350.0,AT,бензин,полный,2007,250000,850000,2023-12-21
Volkswagen,Touareg,2.5,174.0,AT,дизель,полный,2008,184000,1298000,2023-12-21
Volkswagen,Touareg,3.0,224.0,AT,дизель,полный,2007,200000,440000,2023-12-21
Volkswagen,Touareg,3.6,249.0,AT,бензин,полный,2013,167000,2150000,2023-12-21
Volkswagen,Touareg,3.0,240.0,AT,дизель,полный,2008,220000,1280000,2023-12-21
Volkswagen,Touareg,3.0,245.0,AT,дизель,полный,2015,232000,2750000,2023-12-21
Volkswagen,Touareg,2.5,174.0,AT,дизель,полный,2008,175000,1075000,2023-12-21
Volkswagen,Touareg,3.0,262.0,AT,дизель,полный,2016,220000,2000000,2023-12-21
Volkswagen,Touareg,4.0,421.0,AT,дизель,полный,2019,66300,7800000,2023-12-21
Volkswagen,Touareg,3.2,220.0,AT,бензин,полный,2004,270150,520000,2023-12-21
Volkswagen,Touareg,3.0,249.0,AT,дизель,полный,2018,95000,5700000,2023-12-21
Volkswagen,Touareg,2.5,174.0,AT,дизель,полный,2006,386000,850000,2023-12-21
Volkswagen,Touareg,2.5,174.0,MT,дизель,полный,2006,270000,1550000,2023-12-21
Volkswagen,Touareg,3.0,286.0,AT,дизель,полный,2019,64000,6700000,2023-12-21
Volkswagen,Touareg,4.2,350.0,AT,бензин,полный,2008,200000,750000,2023-12-21
Volkswagen,Touareg,3.6,249.0,AT,бензин,полный,2011,134000,2500000,2023-12-21
Volkswagen,Touareg,3.2,220.0,AT,бензин,полный,2003,212700,900000,2023-12-21
Volkswagen,Touareg,3.0,245.0,AT,дизель,полный,2013,254695,2040000,2023-12-21
Volkswagen,Touareg,3.0,204.0,AT,дизель,полный,2016,134449,3599000,2023-12-21
Volkswagen,Touareg,2.5,174.0,AT,дизель,полный,2010,340000,1530000,2023-12-21
Volkswagen,Touareg,2.0,249.0,AT,бензин,полный,2019,132000,4150000,2023-12-21
Volkswagen,Touareg,3.6,249.0,AT,бензин,полный,2015,120000,3000000,2023-12-21
Volkswagen,Touareg,3.6,249.0,AT,бензин,полный,2015,88973,3750000,2023-12-21
Volkswagen,Touareg,3.0,240.0,AT,дизель,полный,2009,292000,1550000,2023-12-21
Volkswagen,Touareg,3.2,220.0,AT,бензин,полный,2003,265980,1200000,2023-12-21
Volkswagen,Touareg,3.0,249.0,AT,дизель,полный,2018,134000,4750000,2023-12-21
Volkswagen,Touareg,3.0,286.0,AT,дизель,полный,2023,50,11550000,2023-12-21
Volkswagen,Touareg,3.0,286.0,AT,дизель,полный,2019,69500,6195000,2023-12-21
Volkswagen,Touareg,3.0,245.0,AT,дизель,полный,2013,213889,2249000,2023-12-21
Volkswagen,Touareg,3.6,249.0,AT,бензин,полный,2011,221000,2050000,2023-12-21
Volkswagen,Touareg,3.0,240.0,AT,дизель,полный,2010,296166,1739000,2023-12-21
Volkswagen,Touareg,3.0,224.0,AT,дизель,полный,2005,348116,1000000,2023-12-21
Volkswagen,Touareg,3.0,249.0,AT,дизель,полный,2019,67400,5650000,2023-12-21
Volkswagen,Touareg,2.0,249.0,AT,бензин,полный,2020,13600,6700000,2023-12-21
Volkswagen,Touareg,3.0,340.0,AT,бензин,полный,2018,52878,4579800,2023-12-21
Volkswagen,Touareg,3.0,245.0,AT,дизель,полный,2013,192285,2350000,2023-12-21
Volkswagen,Touareg,3.0,231.0,AT,дизель,полный,2020,63000,6500000,2023-12-21
Volkswagen,Touareg,2.5,174.0,AT,дизель,полный,2007,127100,1530000,2023-12-21
Volkswagen,Touareg,3.6,249.0,AT,бензин,полный,2015,134000,2950000,2023-12-21
Volkswagen,Touareg,3.0,249.0,AT,дизель,полный,2020,75000,5550000,2023-12-21
Volkswagen,Touareg,3.0,240.0,AT,дизель,полный,2008,374000,1092000,2023-12-21
Volkswagen,Touareg,3.6,249.0,AT,бензин,полный,2014,150000,2980000,2023-12-21
Volkswagen,Touareg,3.6,249.0,AT,бензин,полный,2013,100568,1790000,2023-12-21
Volkswagen,Touareg,2.5,174.0,MT,дизель,полный,2006,339000,750000,2023-12-21
Volkswagen,Touareg,3.0,286.0,AT,дизель,полный,2019,18700,6790000,2023-12-21
Volkswagen,Touareg,3.0,231.0,AT,дизель,полный,2019,77000,4550000,2023-12-21
Volkswagen,Touareg,3.6,249.0,AT,бензин,полный,2011,175000,1900000,2023-12-21
Volkswagen,Touareg,3.0,224.0,AT,дизель,полный,2007,345000,1080000,2023-12-21
Volkswagen,Touareg,3.0,286.0,AT,дизель,полный,2020,77700,5200000,2023-12-21
Volkswagen,Touareg,3.6,249.0,AT,бензин,полный,2017,79080,3899700,2023-12-21
Volkswagen,Touareg,3.0,231.0,AT,дизель,полный,2019,53980,5195200,2023-12-21
Volkswagen,Touareg,3.6,249.0,AT,бензин,полный,2011,350000,2150000,2023-12-21
Volkswagen,Touareg,3.6,249.0,AT,бензин,полный,2014,353577,1899000,2023-12-21
Volkswagen,Touareg,3.6,280.0,AT,бензин,полный,2007,231083,920000,2023-12-21
Volkswagen,Touareg,3.0,286.0,AT,дизель,полный,2018,88000,5430000,2023-12-21
Volkswagen,Touareg,3.0,249.0,AT,дизель,полный,2022,26500,7750000,2023-12-21
Volkswagen,Touareg,3.0,245.0,AT,дизель,полный,2015,196000,4000000,2023-12-21
Volkswagen,Touareg,3.0,245.0,AT,дизель,полный,2016,142000,4279000,2023-12-21
Volkswagen,Touareg,3.0,245.0,AT,дизель,полный,2016,176000,3700000,2023-12-21
Volkswagen,Touareg,3.0,245.0,AT,дизель,полный,2013,230000,2400000,2023-12-21
Volkswagen,Touareg,3.0,240.0,AT,дизель,полный,2008,290000,1500000,2023-12-21
Volkswagen,Touareg,3.0,249.0,AT,дизель,полный,2020,120000,6670000,2023-12-21
Volkswagen,Touareg,3.6,249.0,AT,бензин,полный,2011,265000,1950000,2023-12-21
Volkswagen,Touareg,3.0,204.0,AT,дизель,полный,2012,193245,2220000,2023-12-21
Volkswagen,Touareg,3.6,249.0,AT,бензин,полный,2015,189000,2650000,2023-12-21
Volkswagen,Touareg,3.0,231.0,AT,дизель,полный,2019,142050,4999000,2023-12-21
Volkswagen,Touareg,3.0,245.0,AT,дизель,полный,2012,222000,2299000,2023-12-21
Volkswagen,Touareg,3.0,240.0,AT,дизель,полный,2010,259600,2150000,2023-12-21
Volkswagen,Touareg,3.6,249.0,AT,бензин,полный,2012,248000,1920000,2023-12-21
Volkswagen,Touareg,3.2,241.0,AT,бензин,полный,2004,190000,1050000,2023-12-21
Volkswagen,Touareg,2.0,249.0,AT,бензин,полный,2020,116000,5800000,2023-12-21
Volkswagen,Touareg,3.0,240.0,AT,дизель,полный,2010,190000,2250000,2023-12-21
Volkswagen,Touareg,2.0,249.0,AT,бензин,полный,2020,70000,5740000,2023-12-21
Volkswagen,Touareg,3.0,249.0,AT,дизель,полный,2019,85000,5695000,2023-12-21
Volkswagen,Touareg,3.6,249.0,AT,бензин,полный,2016,226000,3200000,2023-12-21
Volkswagen,Touareg,3.0,245.0,AT,дизель,полный,2016,187000,3800000,2023-12-21
Volkswagen,Touareg,3.6,249.0,AT,бензин,полный,2011,230000,2000000,2023-12-21
Volkswagen,Touareg,3.2,241.0,AT,бензин,полный,2005,240000,1000000,2023-12-21
Volkswagen,Touareg,3.0,204.0,AT,дизель,полный,2014,162500,2700000,2023-12-21
Volkswagen,Touareg,3.0,245.0,AT,дизель,полный,2017,221600,3500000,2023-12-21
Volkswagen,Touareg,3.6,280.0,AT,бензин,полный,2008,194000,1309000,2023-12-21
Volkswagen,Touareg,3.2,220.0,AT,бензин,полный,2004,260000,950000,2023-12-21
Volkswagen,Touareg,3.0,245.0,AT,дизель,полный,2013,252000,2700000,2023-12-21
Volkswagen,Touareg,3.0,204.0,AT,дизель,полный,2017,152000,3590000,2023-12-21
Volkswagen,Touareg,3.2,220.0,AT,бензин,полный,2004,228500,1100000,2023-12-21
Volkswagen,Touareg,3.0,240.0,AT,дизель,полный,2011,155796,2650000,2023-12-21
Volkswagen,Touareg,3.0,249.0,AT,дизель,полный,2020,97000,6990000,2023-12-21
Volkswagen,Touareg,3.2,241.0,AT,бензин,полный,2006,230000,1150000,2023-12-21
Volkswagen,Touareg,3.0,249.0,AT,дизель,полный,2019,65700,6100000,2023-12-21
Volkswagen,Touareg,3.6,249.0,AT,бензин,полный,2012,64181,2600000,2023-12-21
Volkswagen,Touareg,3.0,286.0,AT,дизель,полный,2022,36700,8800000,2023-12-21
Volkswagen,Touareg,3.0,240.0,AT,дизель,полный,2009,257000,1200000,2023-12-21
Volkswagen,Touareg,4.2,310.0,AT,бензин,полный,2006,460085,900000,2023-12-21
Volkswagen,Touareg,3.2,220.0,AT,бензин,полный,2003,329000,1100000,2023-12-21
Volkswagen,Touareg,3.0,249.0,AT,дизель,полный,2020,79884,5980000,2023-12-21
Volkswagen,Touareg,3.6,249.0,AT,бензин,полный,2011,229672,1705000,2023-12-21
Volkswagen,Touareg,4.2,310.0,AT,бензин,полный,2006,290000,1100000,2023-12-21
Volkswagen,Touareg,3.0,286.0,AT,дизель,полный,2019,49900,7600000,2023-12-21
Volkswagen,Touareg,2.0,249.0,AT,бензин,полный,2019,110000,4370000,2023-12-21
Volkswagen,Touareg,3.0,249.0,AT,дизель,полный,2019,85000,5700000,2023-12-21
Volkswagen,Touareg,3.0,240.0,AT,дизель,полный,2011,250500,1819000,2023-12-21
