brand,model,engine,horse_pwr,trans,gas,drive,build_year,mileage_kms,price_rub,date
Audi,A1,1.4,122,AMT,бензин,передний,2012,101000,1215000,2023-12-11
Audi,A1,1.4,122,AMT,бензин,передний,2011,177200,899000,2023-12-11
Audi,A1,1.4,122,AMT,бензин,передний,2013,50085,1529000,2023-12-11
Audi,A1,1.4,122,AMT,бензин,передний,2012,92811,1349000,2023-12-11
Audi,A1,1.4,122,AMT,бензин,передний,2012,125000,1280000,2023-12-11
Audi,A1,1.4,122,AMT,бензин,передний,2012,100000,1350000,2023-12-11
Audi,A1,1.4,122,AMT,бензин,передний,2010,145000,1200000,2023-12-11
Audi,A1,1.4,122,AMT,бензин,передний,2013,130000,1350000,2023-12-11
Audi,A1,1.4,122,AMT,бензин,передний,2010,178344,820000,2023-12-11
Audi,A1,1.4,122,AMT,бензин,передний,2012,127500,1200000,2023-12-11
Audi,A1,1.4,122,AMT,бензин,передний,2011,90255,850000,2023-12-11
Audi,A1,1.4,122,AMT,бензин,передний,2011,167120,1008000,2023-12-11
Audi,A1,1.4,125,AMT,бензин,передний,2015,131355,1350000,2023-12-11
Audi,A1,1.4,122,AMT,бензин,передний,2012,98500,995000,2023-12-11
Audi,A1,1.4,122,AMT,бензин,передний,2011,133994,877777,2023-12-11
Audi,A1,1.4,122,AMT,бензин,передний,2012,162981,800000,2023-12-11
Audi,A1,1.4,122,AMT,бензин,передний,2012,170354,679300,2023-12-11
Audi,A1,1.4,122,AMT,бензин,передний,2011,113507,950000,2023-12-11
Audi,A1,1.4,122,AMT,бензин,передний,2012,184336,750000,2023-12-11
Audi,A1,1.4,125,AMT,бензин,передний,2015,94350,1319000,2023-12-11
Audi,A1,1.4,122,AMT,бензин,передний,2014,92000,1370000,2023-12-11
Audi,A1,1.4,150,AMT,бензин,передний,2014,82000,1449900,2023-12-11
Audi,A1,1.4,122,AMT,бензин,передний,2011,145863,1050000,2023-12-11
Audi,A1,1.4,122,AMT,бензин,передний,2012,137858,1040000,2023-12-11
Audi,A1,1.4,122,AMT,бензин,передний,2011,286565,965000,2023-12-11
Audi,A1,1.4,122,AMT,бензин,передний,2014,64107,1590000,2023-12-11
Audi,A1,1.4,122,AMT,бензин,передний,2011,160000,990000,2023-12-11
Audi,A1,1.4,122,AMT,бензин,передний,2012,204379,1200000,2023-12-11
Audi,A1,1.4,122,AMT,бензин,передний,2013,122881,1000000,2023-12-11
Audi,A1,1.4,122,AMT,бензин,передний,2014,154000,1250000,2023-12-11
Audi,A1,1.4,122,AMT,бензин,передний,2011,173300,1050000,2023-12-11
Audi,A1,1.4,122,AMT,бензин,передний,2012,335900,795000,2023-12-11
Audi,A1,1.4,122,AMT,бензин,передний,2012,171954,780000,2023-12-11
Audi,A1,1.4,122,AMT,бензин,передний,2011,98000,1020000,2023-12-11
Audi,A1,1.4,122,AMT,бензин,передний,2012,122000,999000,2023-12-11
Audi,A1,1.4,122,AMT,бензин,передний,2013,155000,937000,2023-12-11
Audi,A1,1.4,122,AMT,бензин,передний,2011,149000,815000,2023-12-11
Audi,A1,1.4,122,AMT,бензин,передний,2011,113000,975000,2023-12-11
