brand,model,engine,horse_pwr,trans,gas,drive,build_year,mileage_kms,price_rub,date
Audi,Q6,2.0,265,AMT,бензин,полный,2023,0,8750000,2023-12-11
Audi,Q6,2.0,265,AMT,бензин,полный,2023,30,10500000,2023-12-11
Audi,Q6,2.0,265,AMT,бензин,полный,2023,1,8990777,2023-12-11
Audi,Q6,2.5,299,AMT,бензин,полный,2023,0,12490000,2023-12-11
Audi,Q6,2.0,265,AMT,бензин,полный,2023,22,9900000,2023-12-11
Audi,Q6,2.0,265,AMT,бензин,полный,2023,0,9802582,2023-12-11
Audi,Q6,2.0,265,AMT,бензин,полный,2023,0,8690000,2023-12-11
Audi,Q6,2.5,299,AMT,бензин,полный,2023,0,10990120,2023-12-11
Audi,Q6,2.0,265,AMT,бензин,полный,2023,0,8750000,2023-12-11
Audi,Q6,2.0,265,AMT,бензин,полный,2023,0,8750000,2023-12-11
Audi,Q6,2.0,265,AMT,бензин,полный,2023,0,9700000,2023-12-11
Audi,Q6,2.0,265,AMT,бензин,полный,2023,0,8750000,2023-12-11
Audi,Q6,2.5,299,AMT,бензин,полный,2023,0,13414850,2023-12-11
Audi,Q6,2.0,265,AMT,бензин,полный,2023,0,9700000,2023-12-11
Audi,Q6,2.0,265,AMT,бензин,полный,2023,0,9290000,2023-12-11
Audi,Q6,2.0,265,AMT,бензин,полный,2023,0,9950000,2023-12-11
Audi,Q6,2.5,299,AMT,бензин,полный,2023,0,13020000,2023-12-11
Audi,Q6,2.0,265,AMT,бензин,полный,2023,0,8243180,2023-12-11
Audi,Q6,2.0,265,AMT,бензин,полный,2023,45,9580000,2023-12-11
Audi,Q6,2.0,265,AMT,бензин,полный,2023,0,9190000,2023-12-11
Audi,Q6,2.0,265,AMT,бензин,полный,2023,0,10550000,2023-12-11
Audi,Q6,2.0,265,AMT,бензин,полный,2023,0,9730000,2023-12-11
Audi,Q6,2.5,299,AMT,бензин,полный,2023,0,12057020,2023-12-11
Audi,Q6,2.5,299,AMT,бензин,полный,2023,0,12990000,2023-12-11
Audi,Q6,2.0,265,AMT,бензин,полный,2023,0,9190000,2023-12-11
Audi,Q6,2.5,299,AMT,бензин,полный,2023,0,11739250,2023-12-11
Audi,Q6,2.0,265,AMT,бензин,полный,2023,0,8750000,2023-12-11
Audi,Q6,2.0,265,AMT,бензин,полный,2023,0,9271335,2023-12-11
Audi,Q6,2.5,299,AMT,бензин,полный,2023,0,13020000,2023-12-11
Audi,Q6,2.0,265,AMT,бензин,полный,2023,18,9700000,2023-12-11
Audi,Q6,2.5,299,AMT,бензин,полный,2023,0,12900000,2023-12-11
Audi,Q6,2.5,299,AMT,бензин,полный,2023,0,13300000,2023-12-11
Audi,Q6,2.0,265,AMT,бензин,полный,2023,0,9190000,2023-12-11
Audi,Q6,2.5,299,AMT,бензин,полный,2022,0,11480000,2023-12-11
Audi,Q6,2.0,265,AMT,бензин,полный,2023,0,9452000,2023-12-11
Audi,Q6,2.0,265,AMT,бензин,полный,2023,0,9730000,2023-12-11
Audi,Q6,2.0,265,AMT,бензин,полный,2023,0,9031000,2023-12-11
Audi,Q6,2.0,265,AMT,бензин,полный,2023,0,9940000,2023-12-11
Audi,Q6,2.5,299,AMT,бензин,полный,2023,0,13020000,2023-12-11
Audi,Q6,2.0,265,AMT,бензин,полный,2023,100,8520000,2023-12-11
Audi,Q6,2.0,265,AMT,бензин,полный,2023,0,10290000,2023-12-11
Audi,Q6,2.0,265,AMT,бензин,полный,2023,0,9940000,2023-12-11
Audi,Q6,2.5,299,AMT,бензин,полный,2022,0,12640000,2023-12-11
Audi,Q6,2.0,265,AMT,бензин,полный,2023,0,9650000,2023-12-11
Audi,Q6,2.0,265,AMT,бензин,полный,2023,0,9190000,2023-12-11
Audi,Q6,2.0,265,AMT,бензин,полный,2023,0,8990000,2023-12-11
Audi,Q6,2.5,299,AMT,бензин,полный,2022,0,11480000,2023-12-11
Audi,Q6,2.5,299,AMT,бензин,полный,2023,0,12465000,2023-12-11
Audi,Q6,2.0,265,AMT,бензин,полный,2023,1,7650000,2023-12-11
Audi,Q6,2.5,299,AMT,бензин,полный,2022,0,11440000,2023-12-11
Audi,Q6,2.0,265,AMT,бензин,полный,2023,100,7550000,2023-12-11
Audi,Q6,2.0,265,AMT,бензин,полный,2023,0,9190000,2023-12-11
Audi,Q6,2.5,299,AMT,бензин,полный,2023,0,11640000,2023-12-11
Audi,Q6,2.0,265,AMT,бензин,полный,2023,0,9940000,2023-12-11
Audi,Q6,2.0,265,AMT,бензин,полный,2023,20,10200000,2023-12-11
Audi,Q6,2.5,299,AMT,бензин,полный,2023,0,11640000,2023-12-11
Audi,Q6,2.0,265,AMT,бензин,полный,2023,100,7756000,2023-12-11
Audi,Q6,2.0,265,AMT,бензин,полный,2023,0,9331070,2023-12-11
Audi,Q6,2.0,265,AMT,бензин,полный,2023,0,9260335,2023-12-11
Audi,Q6,2.0,265,AMT,бензин,полный,2023,0,10050000,2023-12-11
Audi,Q6,2.5,299,AMT,бензин,полный,2022,0,11440000,2023-12-11
Audi,Q6,2.5,299,AMT,бензин,полный,2023,0,11889300,2023-12-11
Audi,Q6,2.5,299,AMT,бензин,полный,2022,0,11440000,2023-12-11
Audi,Q6,2.0,265,AMT,бензин,полный,2023,0,9270335,2023-12-11
Audi,Q6,2.0,265,AMT,бензин,полный,2023,0,8261223,2023-12-11
Audi,Q6,2.0,265,AMT,бензин,полный,2023,0,9270335,2023-12-11
Audi,Q6,2.0,265,AMT,бензин,полный,2023,0,8750000,2023-12-11
Audi,Q6,2.5,299,AMT,бензин,полный,2023,0,11889300,2023-12-11
Audi,Q6,2.5,299,AMT,бензин,полный,2023,0,12540850,2023-12-11
Audi,Q6,2.5,299,AMT,бензин,полный,2023,0,12530850,2023-12-11
Audi,Q6,2.0,265,AMT,бензин,полный,2023,0,9190000,2023-12-11
Audi,Q6,2.0,265,AMT,бензин,полный,2023,0,9190000,2023-12-11
Audi,Q6,2.0,265,AMT,бензин,полный,2023,0,9190000,2023-12-11
Audi,Q6,2.0,265,AMT,бензин,полный,2023,120,8340000,2023-12-11
Audi,Q6,2.0,265,AMT,бензин,полный,2022,0,9400000,2023-12-11
Audi,Q6,2.0,265,AMT,бензин,полный,2023,0,9190000,2023-12-11
Audi,Q6,2.0,265,AMT,бензин,полный,2023,0,9400000,2023-12-11
Audi,Q6,2.5,299,AMT,бензин,полный,2023,0,11640000,2023-12-11
Audi,Q6,2.0,265,AMT,бензин,полный,2023,0,9190000,2023-12-11
Audi,Q6,2.0,265,AMT,бензин,полный,2023,0,9190000,2023-12-11
Audi,Q6,2.0,265,AMT,бензин,полный,2023,0,9190000,2023-12-11
Audi,Q6,2.5,299,AMT,бензин,полный,2023,0,11640000,2023-12-11
Audi,Q6,2.0,265,AMT,бензин,полный,2023,0,9190000,2023-12-11
Audi,Q6,2.0,265,AMT,бензин,полный,2023,0,9080000,2023-12-11
Audi,Q6,2.0,265,AMT,бензин,полный,2023,0,9190000,2023-12-11
Audi,Q6,2.0,265,AMT,бензин,полный,2023,0,9081220,2023-12-11
Audi,Q6,2.0,265,AMT,бензин,полный,2023,0,9110335,2023-12-11
Audi,Q6,2.0,265,AMT,бензин,полный,2023,0,9061220,2023-12-11
Audi,Q6,2.0,265,AMT,бензин,полный,2023,0,9140955,2023-12-11
Audi,Q6,2.0,265,AMT,бензин,полный,2023,0,9110220,2023-12-11
