brand,model,engine,horse_pwr,trans,gas,drive,build_year,mileage_kms,price_rub,date
Skoda,Fabia,1.2,70,MT,бензин,передний,2010,119137,649000,2023-12-11
Skoda,Fabia,1.2,60,MT,бензин,передний,2009,156000,548000,2023-12-11
Skoda,Fabia,1.2,70,MT,бензин,передний,2012,156000,515000,2023-12-11
Skoda,Fabia,1.2,70,MT,бензин,передний,2012,93000,640000,2023-12-11
Skoda,Fabia,1.6,105,AT,бензин,передний,2011,193000,860000,2023-12-11
Skoda,Fabia,1.6,105,AT,бензин,передний,2009,172000,720000,2023-12-11
Skoda,Fabia,1.6,105,AT,бензин,передний,2009,149966,845000,2023-12-11
Skoda,Fabia,1.2,70,MT,бензин,передний,2007,150000,530000,2023-12-11
Skoda,Fabia,1.4,86,MT,бензин,передний,2009,193000,670000,2023-12-11
Skoda,Fabia,1.2,70,MT,бензин,передний,2013,168100,650000,2023-12-11
Skoda,Fabia,1.2,54,MT,бензин,передний,2003,125000,299000,2023-12-11
Skoda,Fabia,1.2,70,MT,бензин,передний,2013,41563,791996,2023-12-11
Skoda,Fabia,1.4,86,MT,бензин,передний,2011,130000,615000,2023-12-11
Skoda,Fabia,1.4,101,MT,бензин,передний,2002,135000,255000,2023-12-11
Skoda,Fabia,1.4,86,MT,бензин,передний,2014,125469,699000,2023-12-11
Skoda,Fabia,1.4,86,MT,бензин,передний,2011,249730,849999,2023-12-11
Skoda,Fabia,1.2,60,MT,бензин,передний,2009,82850,530000,2023-12-11
Skoda,Fabia,1.6,105,AT,бензин,передний,2012,156500,785000,2023-12-11
Skoda,Fabia,1.6,105,MT,бензин,передний,2012,172000,849000,2023-12-11
Skoda,Fabia,1.2,70,MT,бензин,передний,2013,120758,605000,2023-12-11
Skoda,Fabia,1.2,70,MT,бензин,передний,2013,150425,689920,2023-12-11
Skoda,Fabia,1.4,86,MT,бензин,передний,2007,264000,650000,2023-12-11
Skoda,Fabia,1.6,105,AT,бензин,передний,2011,79989,915000,2023-12-11
Skoda,Fabia,1.2,70,MT,бензин,передний,2011,91600,700000,2023-12-11
Skoda,Fabia,1.4,86,MT,бензин,передний,2013,47000,1010000,2023-12-11
Skoda,Fabia,1.2,64,MT,бензин,передний,2007,258100,570000,2023-12-11
Skoda,Fabia,1.2,70,MT,бензин,передний,2014,119061,879000,2023-12-11
Skoda,Fabia,1.4,86,MT,бензин,передний,2009,22713,839000,2023-12-11
Skoda,Fabia,1.4,86,MT,бензин,передний,2010,202000,599000,2023-12-11
Skoda,Fabia,1.6,105,MT,бензин,передний,2012,246280,650000,2023-12-11
Skoda,Fabia,1.2,70,MT,бензин,передний,2008,230000,330000,2023-12-11
Skoda,Fabia,1.2,70,MT,бензин,передний,2014,238000,615000,2023-12-11
Skoda,Fabia,1.4,86,MT,бензин,передний,2014,249100,555000,2023-12-11
Skoda,Fabia,1.2,70,MT,бензин,передний,2012,220225,625000,2023-12-11
Skoda,Fabia,1.4,86,MT,бензин,передний,2012,17983,1025000,2023-12-11
Skoda,Fabia,1.2,70,MT,бензин,передний,2013,139100,750000,2023-12-11
Skoda,Fabia,1.6,105,AT,бензин,передний,2011,88000,870000,2023-12-11
Skoda,Fabia,1.4,101,MT,бензин,передний,2007,147000,199000,2023-12-11
Skoda,Fabia,1.2,70,MT,бензин,передний,2011,198000,420000,2023-12-11
Skoda,Fabia,1.4,86,MT,бензин,передний,2013,105000,740000,2023-12-11
Skoda,Fabia,1.2,70,MT,бензин,передний,2013,197746,570000,2023-12-11
Skoda,Fabia,1.4,101,MT,бензин,передний,2003,245777,380000,2023-12-11
Skoda,Fabia,1.2,70,MT,бензин,передний,2012,88000,720000,2023-12-11
Skoda,Fabia,1.2,60,MT,бензин,передний,2010,120000,445000,2023-12-11
Skoda,Fabia,1.2,70,MT,бензин,передний,2010,244000,430000,2023-12-11
Skoda,Fabia,1.4,86,MT,бензин,передний,2010,188200,697962,2023-12-11
Skoda,Fabia,1.2,70,MT,бензин,передний,2008,172000,430000,2023-12-11
Skoda,Fabia,1.4,101,MT,бензин,передний,2002,162966,420000,2023-12-11
Skoda,Fabia,1.4,86,MT,бензин,передний,2013,156000,870000,2023-12-11
Skoda,Fabia,1.4,86,MT,бензин,передний,2009,169000,479000,2023-12-11
Skoda,Fabia,1.4,86,MT,бензин,передний,2012,190000,800000,2023-12-11
Skoda,Fabia,1.4,86,MT,бензин,передний,2011,164000,680000,2023-12-11
Skoda,Fabia,1.2,70,MT,бензин,передний,2011,248882,465000,2023-12-11
Skoda,Fabia,1.2,70,MT,бензин,передний,2014,160350,550000,2023-12-11
Skoda,Fabia,1.6,105,AT,бензин,передний,2013,172600,915000,2023-12-11
Skoda,Fabia,1.6,105,AT,бензин,передний,2007,98000,680000,2023-12-11
Skoda,Fabia,1.6,105,AT,бензин,передний,2010,125350,749000,2023-12-11
Skoda,Fabia,1.2,70,MT,бензин,передний,2008,300000,500000,2023-12-11
Skoda,Fabia,1.4,86,MT,бензин,передний,2011,240000,620000,2023-12-11
Skoda,Fabia,1.4,86,MT,бензин,передний,2010,205300,760000,2023-12-11
Skoda,Fabia,1.6,105,AT,бензин,передний,2010,263000,777000,2023-12-11
Skoda,Fabia,1.2,64,MT,бензин,передний,2006,222739,395000,2023-12-11
Skoda,Fabia,1.2,70,MT,бензин,передний,2014,155000,715000,2023-12-11
Skoda,Fabia,1.2,70,MT,бензин,передний,2011,153000,539000,2023-12-11
Skoda,Fabia,1.2,105,AMT,бензин,передний,2012,240000,970000,2023-12-11
Skoda,Fabia,1.4,86,MT,бензин,передний,2011,197000,700000,2023-12-11
Skoda,Fabia,1.2,70,MT,бензин,передний,2013,150425,689920,2023-12-11
Skoda,Fabia,1.4,86,MT,бензин,передний,2010,341200,450000,2023-12-11
Skoda,Fabia,1.4,86,MT,бензин,передний,2012,63500,875000,2023-12-11
Skoda,Fabia,1.6,105,AT,бензин,передний,2013,154000,1055000,2023-12-11
Skoda,Fabia,1.4,86,MT,бензин,передний,2013,101350,799000,2023-12-11
Skoda,Fabia,1.4,86,MT,бензин,передний,2013,130561,789000,2023-12-11
Skoda,Fabia,1.4,86,MT,бензин,передний,2009,95000,699000,2023-12-11
Skoda,Fabia,1.2,70,MT,бензин,передний,2010,121300,420000,2023-12-11
Skoda,Fabia,1.4,86,MT,бензин,передний,2009,109691,498000,2023-12-11
