brand,model,engine,horse_pwr,trans,gas,drive,build_year,mileage_kms,price_rub,date
Skoda,Karoq,1.6,110,AT,бензин,передний,2022,12,2939000,2023-12-11
Skoda,Karoq,1.5,150,AMT,бензин,передний,2023,0,2900000,2023-12-11
Skoda,Karoq,1.4,150,AT,бензин,передний,2020,130000,2150000,2023-12-11
Skoda,Karoq,1.4,150,AT,бензин,передний,2021,44341,2762000,2023-12-11
Skoda,Karoq,1.5,150,AMT,бензин,передний,2020,63024,2679000,2023-12-11
Skoda,Karoq,1.4,150,AMT,бензин,передний,2021,90663,2130000,2023-12-11
Skoda,Karoq,1.4,150,AT,бензин,передний,2021,64000,2797000,2023-12-11
Skoda,Karoq,1.6,110,MT,бензин,передний,2022,24388,2600000,2023-12-11
Skoda,Karoq,1.5,150,AMT,бензин,передний,2023,0,2900000,2023-12-11
Skoda,Karoq,1.5,150,AMT,бензин,передний,2023,0,2740000,2023-12-11
Skoda,Karoq,1.5,150,AMT,бензин,передний,2023,0,2940000,2023-12-11
Skoda,Karoq,1.4,150,AMT,бензин,полный,2020,70000,2850000,2023-12-11
Skoda,Karoq,1.4,150,AMT,бензин,полный,2022,0,3550000,2023-12-11
Skoda,Karoq,1.4,150,AMT,бензин,передний,2023,1,2800000,2023-12-11
Skoda,Karoq,1.4,150,AT,бензин,передний,2021,40000,2559500,2023-12-11
Skoda,Karoq,1.4,150,AT,бензин,передний,2021,42399,2699000,2023-12-11
Skoda,Karoq,1.4,150,AMT,бензин,полный,2020,128000,2350000,2023-12-11
Skoda,Karoq,1.4,150,AT,бензин,передний,2019,60000,2199000,2023-12-11
Skoda,Karoq,1.4,150,AT,бензин,передний,2021,33950,2545000,2023-12-11
Skoda,Karoq,1.4,150,AT,бензин,передний,2020,72578,2549000,2023-12-11
Skoda,Karoq,1.4,150,AT,бензин,передний,2021,16815,2890000,2023-12-11
Skoda,Karoq,1.4,150,AMT,бензин,полный,2020,46991,3150000,2023-12-11
Skoda,Karoq,1.4,150,AT,бензин,передний,2020,72200,2434000,2023-12-11
Skoda,Karoq,1.4,150,AT,бензин,передний,2021,75736,2679000,2023-12-11
Skoda,Karoq,1.4,150,AMT,бензин,передний,2022,68,3200000,2023-12-11
Skoda,Karoq,1.6,110,AT,бензин,передний,2022,57044,2449000,2023-12-11
Skoda,Karoq,1.4,150,AT,бензин,передний,2020,17921,2795000,2023-12-11
Skoda,Karoq,1.4,150,AMT,бензин,полный,2021,67271,3100000,2023-12-11
Skoda,Karoq,1.4,150,AMT,бензин,полный,2020,72000,2570000,2023-12-11
Skoda,Karoq,1.4,150,AT,бензин,передний,2021,47421,2200000,2023-12-11
Skoda,Karoq,1.4,150,AMT,бензин,полный,2021,35982,3099000,2023-12-11
Skoda,Karoq,1.4,150,AMT,бензин,полный,2020,132000,2276540,2023-12-11
Skoda,Karoq,1.4,150,AT,бензин,передний,2021,74883,2815000,2023-12-11
Skoda,Karoq,1.4,150,AT,бензин,передний,2020,119649,1299000,2023-12-11
Skoda,Karoq,1.6,110,MT,бензин,передний,2021,42000,2425000,2023-12-11
Skoda,Karoq,1.4,150,AT,бензин,передний,2022,7000,1785000,2023-12-11
Skoda,Karoq,1.4,150,AT,бензин,передний,2020,37209,2450000,2023-12-11
Skoda,Karoq,1.4,150,AMT,бензин,полный,2021,18000,2460000,2023-12-11
Skoda,Karoq,1.4,150,AT,бензин,передний,2020,66041,2915000,2023-12-11
Skoda,Karoq,1.4,150,AMT,бензин,полный,2020,38460,2665500,2023-12-11
Skoda,Karoq,1.4,150,AT,бензин,передний,2020,61950,1700000,2023-12-11
Skoda,Karoq,1.4,150,AMT,бензин,передний,2023,10,2370000,2023-12-11
Skoda,Karoq,1.4,150,AMT,бензин,полный,2021,103475,2700000,2023-12-11
Skoda,Karoq,1.4,150,AT,бензин,передний,2020,67443,2560000,2023-12-11
Skoda,Karoq,1.4,150,AT,бензин,передний,2020,79637,2540000,2023-12-11
Skoda,Karoq,1.4,150,AMT,бензин,полный,2021,51820,2480000,2023-12-11
Skoda,Karoq,1.4,150,AT,бензин,передний,2020,20400,2449000,2023-12-11
Skoda,Karoq,1.5,150,MT,бензин,передний,2019,60000,1999000,2023-12-11
Skoda,Karoq,1.4,150,AT,бензин,передний,2021,33160,2190000,2023-12-11
Skoda,Karoq,1.4,150,AMT,бензин,передний,2021,33320,2499000,2023-12-11
Skoda,Karoq,1.4,150,AMT,бензин,полный,2021,39895,2610000,2023-12-11
Skoda,Karoq,1.4,150,AT,бензин,передний,2020,30970,2570000,2023-12-11
Skoda,Karoq,1.4,150,AMT,бензин,полный,2020,94673,2382668,2023-12-11
Skoda,Karoq,1.4,150,AMT,бензин,полный,2020,43000,1995000,2023-12-11
Skoda,Karoq,1.4,150,AT,бензин,передний,2020,89000,2499999,2023-12-11
Skoda,Karoq,1.4,150,AT,бензин,передний,2020,55200,2590000,2023-12-11
Skoda,Karoq,1.4,150,AMT,бензин,полный,2022,28822,3012100,2023-12-11
Skoda,Karoq,1.4,150,AT,бензин,передний,2021,23258,2820000,2023-12-11
Skoda,Karoq,1.4,150,AMT,бензин,передний,2022,68,3200000,2023-12-11
Skoda,Karoq,1.6,110,MT,бензин,передний,2021,52000,2550000,2023-12-11
Skoda,Karoq,1.5,150,AMT,бензин,передний,2023,10,4558330,2023-12-11
Skoda,Karoq,1.6,110,AT,бензин,передний,2021,16900,2299000,2023-12-11
Skoda,Karoq,1.4,150,AT,бензин,передний,2021,18,3650000,2023-12-11
Skoda,Karoq,1.4,150,AMT,бензин,полный,2020,77800,2450000,2023-12-11
Skoda,Karoq,1.4,150,AT,бензин,передний,2021,57000,2335000,2023-12-11
Skoda,Karoq,1.4,150,AT,бензин,передний,2020,106900,2249000,2023-12-11
Skoda,Karoq,1.4,150,AMT,бензин,полный,2022,0,3550000,2023-12-11
Skoda,Karoq,1.4,150,AMT,бензин,полный,2021,28000,2899000,2023-12-11
Skoda,Karoq,1.4,150,AT,бензин,передний,2020,98862,2529000,2023-12-11
Skoda,Karoq,1.4,150,AT,бензин,передний,2020,50950,2588000,2023-12-11
Skoda,Karoq,1.4,150,AT,бензин,передний,2020,45580,2559000,2023-12-11
Skoda,Karoq,1.5,150,AMT,бензин,передний,2023,0,2740000,2023-12-11
Skoda,Karoq,1.4,150,AT,бензин,передний,2021,53000,2727000,2023-12-11
Skoda,Karoq,1.4,150,AT,бензин,передний,2020,105449,2140000,2023-12-11
Skoda,Karoq,1.4,150,AMT,бензин,полный,2021,72178,2549000,2023-12-11
Skoda,Karoq,1.4,150,AT,бензин,передний,2020,7400,2930000,2023-12-11
Skoda,Karoq,1.6,110,AT,бензин,передний,2022,48,3500000,2023-12-11
Skoda,Karoq,1.4,150,AT,бензин,передний,2020,94143,1999000,2023-12-11
Skoda,Karoq,1.4,150,AT,бензин,передний,2021,60000,2429000,2023-12-11
Skoda,Karoq,1.4,150,AMT,бензин,полный,2020,59313,3029000,2023-12-11
Skoda,Karoq,1.4,150,AT,бензин,передний,2020,82971,2295000,2023-12-11
Skoda,Karoq,1.6,110,AT,бензин,передний,2022,57044,2449000,2023-12-11
Skoda,Karoq,1.4,150,AT,бензин,передний,2020,90000,2300000,2023-12-11
Skoda,Karoq,1.4,150,AT,бензин,передний,2020,93155,1649000,2023-12-11
Skoda,Karoq,1.4,150,AMT,бензин,передний,2023,0,2900000,2023-12-11
Skoda,Karoq,1.4,150,AT,бензин,передний,2020,107000,2395000,2023-12-11
Skoda,Karoq,1.6,110,MT,бензин,передний,2021,34224,2580000,2023-12-11
Skoda,Karoq,1.4,150,AMT,бензин,полный,2021,89421,2489001,2023-12-11
Skoda,Karoq,1.4,150,AMT,бензин,полный,2020,80000,2800000,2023-12-11
Skoda,Karoq,1.4,150,AT,бензин,передний,2021,25700,2698000,2023-12-11
Skoda,Karoq,1.4,150,AT,бензин,передний,2020,32000,2850000,2023-12-11
Skoda,Karoq,1.4,150,AT,бензин,передний,2020,48000,2099000,2023-12-11
Skoda,Karoq,1.5,150,AMT,бензин,передний,2023,0,2940000,2023-12-11
Skoda,Karoq,1.4,150,AT,бензин,передний,2020,63750,2268374,2023-12-11
Skoda,Karoq,1.6,110,MT,бензин,передний,2021,74752,2290000,2023-12-11
Skoda,Karoq,1.4,150,AT,бензин,передний,2020,70000,2339999,2023-12-11
Skoda,Karoq,1.4,150,AMT,бензин,полный,2020,70000,2850000,2023-12-11
Skoda,Karoq,1.4,150,AT,бензин,передний,2021,42700,3000000,2023-12-11
Skoda,Karoq,1.6,110,AT,бензин,передний,2022,17,3050000,2023-12-11
Skoda,Karoq,1.5,150,AMT,бензин,передний,2023,0,3550000,2023-12-11
Skoda,Karoq,1.4,150,AT,бензин,передний,2020,53000,3100000,2023-12-11
Skoda,Karoq,1.4,150,AT,бензин,передний,2020,32500,3000000,2023-12-11
Skoda,Karoq,1.6,110,AT,бензин,передний,2022,52540,2817999,2023-12-11
Skoda,Karoq,1.4,150,AT,бензин,передний,2020,9926,2839000,2023-12-11
Skoda,Karoq,1.4,150,AMT,бензин,полный,2021,35982,3099000,2023-12-11
Skoda,Karoq,1.6,110,AT,бензин,передний,2022,19,3050000,2023-12-11
Skoda,Karoq,1.4,150,AT,бензин,передний,2020,17921,2795000,2023-12-11
Skoda,Karoq,1.4,150,AMT,бензин,полный,2021,218000,2130000,2023-12-11
Skoda,Karoq,1.4,150,AT,бензин,передний,2020,43700,2570000,2023-12-11
Skoda,Karoq,1.4,150,AMT,бензин,полный,2021,67271,3100000,2023-12-11
Skoda,Karoq,1.4,150,AMT,бензин,полный,2020,43600,2584000,2023-12-11
Skoda,Karoq,1.4,150,AT,бензин,передний,2020,58000,2275000,2023-12-11
Skoda,Karoq,1.4,150,AMT,бензин,полный,2021,40195,3090000,2023-12-11
Skoda,Karoq,1.4,150,AT,бензин,передний,2021,10,1856000,2023-12-11
Skoda,Karoq,1.6,110,MT,бензин,передний,2021,40500,2350000,2023-12-11
Skoda,Karoq,1.4,150,AMT,бензин,полный,2020,43575,2589888,2023-12-11
Skoda,Karoq,1.4,150,AMT,бензин,полный,2021,22971,2999999,2023-12-11
Skoda,Karoq,1.4,150,AT,бензин,передний,2021,32381,2700000,2023-12-11
Skoda,Karoq,1.4,150,AMT,бензин,полный,2022,38537,3480000,2023-12-11
Skoda,Karoq,1.4,150,AMT,бензин,полный,2020,86963,2554000,2023-12-11
Skoda,Karoq,1.4,150,AMT,бензин,полный,2021,20084,2749000,2023-12-11
Skoda,Karoq,1.4,150,AMT,бензин,полный,2020,128000,2350000,2023-12-11
Skoda,Karoq,1.4,150,AT,бензин,передний,2020,79000,2600000,2023-12-11
Skoda,Karoq,2.0,190,AMT,бензин,полный,2021,7100,1879000,2023-12-11
Skoda,Karoq,1.4,150,AT,бензин,передний,2020,52019,2540000,2023-12-11
Skoda,Karoq,1.6,110,AT,бензин,передний,2022,17,3279000,2023-12-11
Skoda,Karoq,1.4,150,AT,бензин,передний,2021,28600,2799990,2023-12-11
Skoda,Karoq,1.4,150,AT,бензин,передний,2021,30000,2900000,2023-12-11
Skoda,Karoq,1.4,150,AT,бензин,передний,2020,98444,2440000,2023-12-11
Skoda,Karoq,1.4,150,AMT,бензин,полный,2021,86000,2899000,2023-12-11
Skoda,Karoq,1.4,150,AMT,бензин,полный,2021,56000,2800000,2023-12-11
Skoda,Karoq,1.4,150,AT,бензин,передний,2020,57000,2700000,2023-12-11
Skoda,Karoq,1.4,150,AT,бензин,передний,2021,27453,3050000,2023-12-11
Skoda,Karoq,1.4,150,AMT,бензин,полный,2021,59000,2875000,2023-12-11
Skoda,Karoq,1.4,150,AT,бензин,передний,2020,31966,2729900,2023-12-11
Skoda,Karoq,1.5,150,AMT,бензин,передний,2023,0,3294900,2023-12-11
Skoda,Karoq,1.4,150,AMT,бензин,передний,2021,20392,2820000,2023-12-11
Skoda,Karoq,1.5,150,AMT,бензин,передний,2021,57000,2700000,2023-12-11
Skoda,Karoq,1.5,150,AMT,бензин,передний,2023,0,2950000,2023-12-11
Skoda,Karoq,1.5,150,AMT,бензин,передний,2023,0,3250000,2023-12-11
Skoda,Karoq,1.4,150,AT,бензин,передний,2020,38301,2549000,2023-12-11
Skoda,Karoq,1.4,150,AT,бензин,передний,2020,71194,2585000,2023-12-11
Skoda,Karoq,1.4,150,AT,бензин,передний,2021,50000,2700000,2023-12-11
Skoda,Karoq,1.4,150,AT,бензин,передний,2020,65800,2400000,2023-12-11
Skoda,Karoq,1.4,150,AT,бензин,передний,2020,72638,2464200,2023-12-11
Skoda,Karoq,1.4,150,AT,бензин,передний,2020,77300,2553109,2023-12-11
Skoda,Karoq,1.4,150,AT,бензин,передний,2021,91404,2329000,2023-12-11
Skoda,Karoq,1.4,150,AMT,бензин,передний,2023,0,2970000,2023-12-11
Skoda,Karoq,1.4,150,AMT,бензин,полный,2020,88000,2370999,2023-12-11
Skoda,Karoq,1.4,150,AMT,бензин,полный,2021,44923,2950000,2023-12-11
Skoda,Karoq,1.4,150,AMT,бензин,полный,2020,51533,2816000,2023-12-11
Skoda,Karoq,1.6,110,MT,бензин,передний,2021,9232,2949000,2023-12-11
Skoda,Karoq,1.4,150,AT,бензин,передний,2020,56000,2410000,2023-12-11
Skoda,Karoq,1.6,110,MT,бензин,передний,2021,9232,2949000,2023-12-11
Skoda,Karoq,1.4,150,AMT,бензин,полный,2020,51533,2816000,2023-12-11
Skoda,Karoq,1.4,150,AT,бензин,передний,2021,50000,2700000,2023-12-11
Skoda,Karoq,1.4,150,AMT,бензин,полный,2021,30309,2699700,2023-12-11
Skoda,Karoq,1.5,150,AMT,бензин,передний,2023,0,2940000,2023-12-11
Skoda,Karoq,1.4,150,AMT,бензин,передний,2023,0,2840000,2023-12-11
Skoda,Karoq,1.4,150,AMT,бензин,полный,2021,30000,3350000,2023-12-11
Skoda,Karoq,1.4,150,AT,бензин,передний,2020,128483,2100000,2023-12-11
Skoda,Karoq,1.4,150,AT,бензин,передний,2021,50047,2530000,2023-12-11
Skoda,Karoq,1.4,150,AT,бензин,передний,2020,73000,2399000,2023-12-11
Skoda,Karoq,1.4,150,AT,бензин,передний,2020,56000,2410000,2023-12-11
Skoda,Karoq,1.4,150,AMT,бензин,передний,2022,18395,2850000,2023-12-11
Skoda,Karoq,1.4,150,AMT,бензин,полный,2021,23628,3239000,2023-12-11
Skoda,Karoq,1.4,150,AMT,бензин,полный,2021,32500,3080000,2023-12-11
Skoda,Karoq,1.4,150,AT,бензин,передний,2020,56909,2499000,2023-12-11
Skoda,Karoq,1.4,150,AT,бензин,передний,2023,20,3888000,2023-12-11
Skoda,Karoq,1.4,150,AT,бензин,передний,2020,38920,2400000,2023-12-11
Skoda,Karoq,1.6,110,AT,бензин,передний,2022,0,3419000,2023-12-11
Skoda,Karoq,1.4,150,AMT,бензин,полный,2021,26800,2849000,2023-12-11
Skoda,Karoq,1.4,150,AMT,бензин,передний,2023,0,2970000,2023-12-11
Skoda,Karoq,1.4,150,AMT,бензин,передний,2023,0,3290000,2023-12-11
Skoda,Karoq,1.4,150,AMT,бензин,полный,2020,32687,2847345,2023-12-11
Skoda,Karoq,1.4,150,AT,бензин,передний,2020,52900,3100000,2023-12-11
Skoda,Karoq,1.4,150,AT,бензин,передний,2020,84172,2719000,2023-12-11
Skoda,Karoq,1.4,150,AT,бензин,передний,2020,97609,2350000,2023-12-11
Skoda,Karoq,1.4,150,AT,бензин,передний,2020,27000,2500000,2023-12-11
Skoda,Karoq,1.5,150,AMT,бензин,передний,2023,25,3399000,2023-12-11
Skoda,Karoq,1.4,150,AMT,бензин,полный,2021,37000,2855990,2023-12-11
Skoda,Karoq,1.4,150,AT,бензин,передний,2020,66623,2553000,2023-12-11
Skoda,Karoq,1.4,150,AT,бензин,передний,2021,81110,2400000,2023-12-11
Skoda,Karoq,1.4,150,AT,бензин,передний,2021,49988,2756000,2023-12-11
Skoda,Karoq,1.4,150,AT,бензин,передний,2020,85000,2099000,2023-12-11
Skoda,Karoq,1.4,150,AMT,бензин,полный,2021,42000,2940000,2023-12-11
Skoda,Karoq,1.4,150,AMT,бензин,передний,2023,0,3100000,2023-12-11
