brand,model,engine,horse_pwr,trans,gas,drive,build_year,mileage_kms,price_rub,date
Skoda,Kodiaq,2.0,150,AMT,дизель,полный,2020,24200,3777000,2023-12-11
Skoda,Kodiaq,2.0,180,AMT,бензин,полный,2018,214149,2109000,2023-12-11
Skoda,Kodiaq,2.0,220,AMT,бензин,полный,2023,20,3990000,2023-12-11
Skoda,Kodiaq,2.0,180,AMT,бензин,полный,2017,90998,2889000,2023-12-11
Skoda,Kodiaq,1.4,150,AMT,бензин,полный,2019,177200,1845000,2023-12-11
Skoda,Kodiaq,2.0,186,AMT,бензин,передний,2023,0,3740000,2023-12-11
Skoda,Kodiaq,2.0,220,AMT,бензин,полный,2023,40,4850000,2023-12-11
Skoda,Kodiaq,1.4,150,AMT,бензин,передний,2020,75538,2649000,2023-12-11
Skoda,Kodiaq,2.0,186,AMT,бензин,передний,2022,0,3710849,2023-12-11
Skoda,Kodiaq,2.0,220,AMT,бензин,полный,2023,0,4547700,2023-12-11
Skoda,Kodiaq,2.0,186,AMT,бензин,передний,2023,0,3740000,2023-12-11
Skoda,Kodiaq,2.0,186,AMT,бензин,передний,2022,0,3850000,2023-12-11
Skoda,Kodiaq,1.4,125,MT,бензин,передний,2019,81500,2350000,2023-12-11
Skoda,Kodiaq,2.0,186,AMT,бензин,передний,2023,0,3850000,2023-12-11
Skoda,Kodiaq,1.4,150,AMT,бензин,полный,2021,60848,3299000,2023-12-11
Skoda,Kodiaq,2.0,150,AMT,дизель,полный,2018,150951,1865000,2023-12-11
Skoda,Kodiaq,2.0,220,AMT,бензин,полный,2023,100,4350000,2023-12-11
Skoda,Kodiaq,1.4,150,AMT,бензин,полный,2018,81983,2299000,2023-12-11
Skoda,Kodiaq,2.0,220,AMT,бензин,полный,2023,30,5350000,2023-12-11
Skoda,Kodiaq,2.0,150,AMT,дизель,полный,2019,90018,2999000,2023-12-11
Skoda,Kodiaq,2.0,180,AMT,бензин,полный,2018,137301,2729000,2023-12-11
Skoda,Kodiaq,2.0,180,AMT,бензин,полный,2018,172122,2655000,2023-12-11
Skoda,Kodiaq,2.0,180,AMT,бензин,полный,2020,32000,3622000,2023-12-11
Skoda,Kodiaq,2.0,180,AMT,бензин,полный,2019,102053,2950000,2023-12-11
Skoda,Kodiaq,2.0,180,AMT,бензин,полный,2019,98491,2998000,2023-12-11
Skoda,Kodiaq,2.0,180,AMT,бензин,полный,2023,10,6200000,2023-12-11
Skoda,Kodiaq,2.0,180,AMT,бензин,полный,2018,90000,2850000,2023-12-11
Skoda,Kodiaq,2.0,190,AMT,дизель,полный,2019,97000,3800000,2023-12-11
Skoda,Kodiaq,2.0,186,AMT,бензин,передний,2023,0,4300000,2023-12-11
Skoda,Kodiaq,1.4,150,AMT,бензин,полный,2020,79500,3149000,2023-12-11
Skoda,Kodiaq,2.0,186,AMT,бензин,передний,2023,0,3990000,2023-12-11
Skoda,Kodiaq,2.0,186,AMT,бензин,передний,2022,25,3899000,2023-12-11
Skoda,Kodiaq,2.0,180,AMT,бензин,полный,2019,111188,2990000,2023-12-11
Skoda,Kodiaq,2.0,180,AMT,бензин,полный,2017,107000,3050000,2023-12-11
Skoda,Kodiaq,2.0,180,AMT,бензин,полный,2018,95730,2960000,2023-12-11
Skoda,Kodiaq,2.0,186,AMT,бензин,передний,2022,0,3710849,2023-12-11
Skoda,Kodiaq,1.4,150,AMT,бензин,передний,2020,51990,2945000,2023-12-11
Skoda,Kodiaq,2.0,186,AMT,бензин,передний,2023,0,3700000,2023-12-11
Skoda,Kodiaq,2.0,220,AMT,бензин,полный,2022,0,4300000,2023-12-11
Skoda,Kodiaq,2.0,150,AMT,дизель,полный,2018,172139,2450000,2023-12-11
Skoda,Kodiaq,1.4,150,AMT,бензин,полный,2018,235030,2399000,2023-12-11
Skoda,Kodiaq,2.0,150,AMT,дизель,полный,2020,61445,3190000,2023-12-11
Skoda,Kodiaq,2.0,150,AMT,дизель,полный,2018,84000,1600000,2023-12-11
Skoda,Kodiaq,2.0,150,AMT,дизель,полный,2020,173391,2895000,2023-12-11
Skoda,Kodiaq,2.0,220,AMT,бензин,полный,2022,0,4276871,2023-12-11
Skoda,Kodiaq,1.4,150,AMT,бензин,передний,2018,124480,1870000,2023-12-11
Skoda,Kodiaq,1.4,150,AMT,бензин,передний,2018,50000,2290000,2023-12-11
Skoda,Kodiaq,1.4,150,AMT,бензин,передний,2018,140566,2347000,2023-12-11
Skoda,Kodiaq,2.0,180,AMT,бензин,полный,2018,155362,2445000,2023-12-11
Skoda,Kodiaq,1.4,150,AMT,бензин,передний,2018,42616,2729000,2023-12-11
Skoda,Kodiaq,2.0,150,AMT,дизель,полный,2019,121336,2799321,2023-12-11
Skoda,Kodiaq,2.0,150,AMT,дизель,полный,2020,120000,3250000,2023-12-11
Skoda,Kodiaq,2.0,180,AMT,бензин,полный,2021,55000,4050000,2023-12-11
Skoda,Kodiaq,2.0,150,AMT,дизель,полный,2021,31079,3780000,2023-12-11
Skoda,Kodiaq,1.4,150,AMT,бензин,передний,2018,92274,2245900,2023-12-11
Skoda,Kodiaq,2.0,186,AMT,бензин,передний,2023,0,3990000,2023-12-11
Skoda,Kodiaq,1.4,150,AMT,бензин,передний,2021,37605,2949777,2023-12-11
Skoda,Kodiaq,2.0,150,AMT,дизель,полный,2021,59700,3500000,2023-12-11
Skoda,Kodiaq,2.0,186,AMT,бензин,передний,2023,0,4140000,2023-12-11
Skoda,Kodiaq,2.0,186,AMT,бензин,передний,2023,0,4090000,2023-12-11
Skoda,Kodiaq,1.4,150,AMT,бензин,передний,2019,97000,2603000,2023-12-11
Skoda,Kodiaq,2.0,180,AMT,бензин,полный,2018,150000,2700000,2023-12-11
Skoda,Kodiaq,1.4,150,AMT,бензин,передний,2018,99030,2530000,2023-12-11
Skoda,Kodiaq,2.0,220,AMT,бензин,полный,2023,0,4100000,2023-12-11
Skoda,Kodiaq,1.4,150,AMT,бензин,передний,2021,56650,3099000,2023-12-11
Skoda,Kodiaq,2.0,180,AMT,бензин,полный,2022,0,5088936,2023-12-11
Skoda,Kodiaq,1.4,150,AMT,бензин,передний,2021,53000,3450000,2023-12-11
Skoda,Kodiaq,1.4,150,AMT,бензин,передний,2019,28238,2849000,2023-12-11
Skoda,Kodiaq,2.0,180,AMT,бензин,полный,2018,82000,3550000,2023-12-11
Skoda,Kodiaq,2.0,180,AMT,бензин,полный,2017,153478,2510000,2023-12-11
Skoda,Kodiaq,1.4,150,AMT,бензин,полный,2022,0,4152952,2023-12-11
Skoda,Kodiaq,2.0,150,AMT,дизель,полный,2019,72707,3380000,2023-12-11
Skoda,Kodiaq,2.0,150,AMT,дизель,полный,2018,164000,2579000,2023-12-11
Skoda,Kodiaq,2.0,220,AMT,бензин,полный,2022,14000,4800000,2023-12-11
Skoda,Kodiaq,2.0,150,AMT,дизель,полный,2019,96000,2849000,2023-12-11
Skoda,Kodiaq,1.4,150,MT,бензин,полный,2019,106394,2329000,2023-12-11
Skoda,Kodiaq,2.0,150,AMT,дизель,полный,2020,78933,3090000,2023-12-11
