brand,model,engine,horse_pwr,trans,gas,drive,build_year,mileage_kms,price_rub,date
Skoda,Octavia,1.6,110.0,AT,бензин,передний,2021,109067,1933000,2023-12-11
Skoda,Octavia,1.6,110.0,MT,бензин,передний,2017,103500,1599999,2023-12-11
Skoda,Octavia,1.4,150.0,AMT,бензин,передний,2023,1,3100000,2023-12-11
Skoda,Octavia,1.8,152.0,AMT,бензин,передний,2013,233450,1099999,2023-12-11
Skoda,Octavia,1.6,102.0,MT,бензин,передний,2008,251090,589000,2023-12-11
Skoda,Octavia,1.4,150.0,AT,бензин,передний,2023,0,3390000,2023-12-11
Skoda,Octavia,1.2,105.0,AMT,бензин,передний,2013,160000,985000,2023-12-11
Skoda,Octavia,1.6,102.0,MT,бензин,передний,2009,207451,589000,2023-12-11
Skoda,Octavia,1.4,150.0,AT,бензин,передний,2022,0,3730000,2023-12-11
Skoda,Octavia,1.4,150.0,AT,бензин,передний,2023,0,3020000,2023-12-11
Skoda,Octavia,1.4,150.0,AMT,бензин,передний,2023,0,2745700,2023-12-11
Skoda,Octavia,1.6,110.0,AT,бензин,передний,2016,141000,1180000,2023-12-11
Skoda,Octavia,1.4,150.0,AMT,бензин,передний,2016,105000,1129000,2023-12-11
Skoda,Octavia,1.6,102.0,AT,бензин,передний,2011,186000,870000,2023-12-11
Skoda,Octavia,1.6,102.0,AT,бензин,передний,2011,98500,1020000,2023-12-11
Skoda,Octavia,1.8,152.0,AT,бензин,передний,2012,105000,1175000,2023-12-11
Skoda,Octavia,1.2,105.0,AMT,бензин,передний,2014,124722,785000,2023-12-11
Skoda,Octavia,1.6,110.0,AT,бензин,передний,2021,43910,1725000,2023-12-11
Skoda,Octavia,1.6,110.0,AT,бензин,передний,2017,92000,1890000,2023-12-11
Skoda,Octavia,1.6,110.0,MT,бензин,передний,2014,156000,1219000,2023-12-11
Skoda,Octavia,1.4,122.0,AMT,бензин,передний,2010,260000,915000,2023-12-11
Skoda,Octavia,1.6,110.0,MT,бензин,передний,2019,72742,1720000,2023-12-11
Skoda,Octavia,1.8,180.0,AMT,бензин,передний,2014,125142,1545000,2023-12-11
Skoda,Octavia,1.4,122.0,AMT,бензин,передний,2009,193715,599000,2023-12-11
Skoda,Octavia,1.5,113.0,AT,бензин,передний,2023,1,2090000,2023-12-11
Skoda,Octavia,1.8,152.0,AT,бензин,передний,2012,196520,825000,2023-12-11
Skoda,Octavia,1.4,140.0,AMT,бензин,передний,2013,196000,1049000,2023-12-11
Skoda,Octavia,1.4,150.0,MT,бензин,передний,2016,91738,1525525,2023-12-11
Skoda,Octavia,2.0,150.0,AMT,дизель,передний,2016,205694,1795000,2023-12-11
Skoda,Octavia,1.8,180.0,AMT,бензин,передний,2018,144000,2169000,2023-12-11
Skoda,Octavia,1.4,140.0,AMT,бензин,передний,2014,145000,1530000,2023-12-11
Skoda,Octavia,1.8,180.0,AMT,бензин,передний,2014,126300,895000,2023-12-11
Skoda,Octavia,1.8,152.0,AT,бензин,передний,2011,130900,729000,2023-12-11
Skoda,Octavia,1.6,102.0,MT,бензин,передний,2010,168193,660000,2023-12-11
Skoda,Octavia,1.6,102.0,AT,бензин,передний,2012,147150,995000,2023-12-11
Skoda,Octavia,1.4,122.0,AMT,бензин,передний,2011,150000,800000,2023-12-11
Skoda,Octavia,1.4,150.0,AT,бензин,передний,2020,30510,2135130,2023-12-11
Skoda,Octavia,2.0,150.0,AT,бензин,передний,2007,253730,725000,2023-12-11
Skoda,Octavia,1.8,180.0,AMT,бензин,передний,2014,139000,1029000,2023-12-11
Skoda,Octavia,1.8,180.0,AMT,бензин,передний,2015,112000,945000,2023-12-11
Skoda,Octavia,1.6,102.0,MT,бензин,передний,2006,314683,395000,2023-12-11
Skoda,Octavia,1.4,75.0,MT,бензин,передний,2007,256500,360000,2023-12-11
Skoda,Octavia,1.8,180.0,AMT,бензин,передний,2016,148378,1649000,2023-12-11
Skoda,Octavia,1.4,75.0,MT,бензин,передний,2008,290000,435000,2023-12-11
Skoda,Octavia,1.2,105.0,MT,бензин,передний,2014,170000,760000,2023-12-11
Skoda,Octavia,1.8,152.0,AT,бензин,передний,2012,137233,1090000,2023-12-11
Skoda,Octavia,1.4,140.0,AMT,бензин,передний,2013,211185,1470000,2023-12-11
Skoda,Octavia,1.8,152.0,AT,бензин,передний,2011,134122,849000,2023-12-11
Skoda,Octavia,1.8,180.0,AMT,бензин,передний,2018,121622,1745470,2023-12-11
Skoda,Octavia,1.2,105.0,MT,бензин,передний,2014,183204,1025150,2023-12-11
Skoda,Octavia,1.4,150.0,AMT,бензин,передний,2018,75644,2479000,2023-12-11
Skoda,Octavia,1.8,160.0,AMT,бензин,передний,2010,116061,910000,2023-12-11
Skoda,Octavia,1.6,110.0,AT,бензин,передний,2020,54800,2250000,2023-12-11
Skoda,Octavia,1.6,110.0,MT,бензин,передний,2016,120000,949000,2023-12-11
Skoda,Octavia,1.8,152.0,AMT,бензин,передний,2011,210000,860000,2023-12-11
Skoda,Octavia,2.0,140.0,AMT,дизель,передний,2007,312000,570000,2023-12-11
Skoda,Octavia,1.6,102.0,MT,бензин,передний,2002,375000,330000,2023-12-11
Skoda,Octavia,1.8,180.0,MT,бензин,передний,2013,150000,1200000,2023-12-11
Skoda,Octavia,1.6,110.0,MT,бензин,передний,2015,450000,890000,2023-12-11
Skoda,Octavia,1.6,102.0,MT,бензин,передний,2011,298000,690000,2023-12-11
Skoda,Octavia,1.6,102.0,MT,бензин,передний,2001,334000,540000,2023-12-11
Skoda,Octavia,1.4,150.0,AMT,бензин,передний,2020,112000,1990000,2023-12-11
Skoda,Octavia,1.6,110.0,AT,бензин,передний,2018,240000,1250000,2023-12-11
Skoda,Octavia,1.6,110.0,AT,бензин,передний,2018,146540,1149000,2023-12-11
Skoda,Octavia,1.8,180.0,AMT,бензин,передний,2013,214000,1280000,2023-12-11
Skoda,Octavia,1.6,102.0,MT,бензин,передний,2000,205000,700000,2023-12-11
Skoda,Octavia,1.6,102.0,MT,бензин,передний,2013,197000,890000,2023-12-11
Skoda,Octavia,1.4,150.0,AMT,бензин,передний,2016,176000,1367000,2023-12-11
Skoda,Octavia,1.6,110.0,AT,бензин,передний,2017,115876,1850000,2023-12-11
Skoda,Octavia,1.8,152.0,AMT,бензин,передний,2010,226000,850000,2023-12-11
Skoda,Octavia,1.8,160.0,AMT,бензин,передний,2009,209000,975000,2023-12-11
Skoda,Octavia,1.6,110.0,AT,бензин,передний,2019,120930,1155000,2023-12-11
Skoda,Octavia,1.8,180.0,AMT,бензин,передний,2018,79000,2275000,2023-12-11
Skoda,Octavia,1.6,110.0,AT,бензин,передний,2018,140000,1970000,2023-12-11
Skoda,Octavia,1.4,150.0,AMT,бензин,передний,2019,145124,2100000,2023-12-11
Skoda,Octavia,1.2,105.0,MT,бензин,передний,2014,302000,765000,2023-12-11
