brand,model,engine,horse_pwr,trans,gas,drive,build_year,mileage_kms,price_rub,date
Skoda,Yeti,1.8,152,AMT,бензин,полный,2012,155500,1159000,2023-12-11
Skoda,Yeti,1.2,105,AMT,бензин,передний,2012,162500,895000,2023-12-11
Skoda,Yeti,1.6,110,MT,бензин,передний,2017,124000,1529000,2023-12-11
Skoda,Yeti,1.8,152,AMT,бензин,полный,2014,179182,1129000,2023-12-11
Skoda,Yeti,1.8,152,AMT,бензин,полный,2017,157000,1570000,2023-12-11
Skoda,Yeti,1.8,152,AMT,бензин,полный,2016,110000,1799000,2023-12-11
Skoda,Yeti,1.8,152,AMT,бензин,полный,2017,118330,1658000,2023-12-11
Skoda,Yeti,1.8,152,AMT,бензин,полный,2015,91249,1299000,2023-12-11
Skoda,Yeti,1.4,122,AMT,бензин,передний,2013,138308,1188000,2023-12-11
Skoda,Yeti,1.8,152,AMT,бензин,полный,2013,132745,1147110,2023-12-11
Skoda,Yeti,1.8,152,AMT,бензин,полный,2013,182000,1350000,2023-12-11
Skoda,Yeti,1.4,122,AMT,бензин,передний,2015,153331,1399000,2023-12-11
Skoda,Yeti,1.4,122,AMT,бензин,передний,2014,181491,1380000,2023-12-11
Skoda,Yeti,1.8,152,AMT,бензин,полный,2013,117034,999000,2023-12-11
Skoda,Yeti,1.2,105,AMT,бензин,передний,2011,167287,785000,2023-12-11
Skoda,Yeti,1.8,152,AMT,бензин,полный,2015,183042,1418000,2023-12-11
Skoda,Yeti,1.2,105,AMT,бензин,передний,2012,214675,1459999,2023-12-11
Skoda,Yeti,1.4,122,MT,бензин,передний,2013,104700,1135200,2023-12-11
Skoda,Yeti,1.8,152,AMT,бензин,полный,2011,163000,829000,2023-12-11
Skoda,Yeti,1.2,105,AMT,бензин,передний,2014,138000,1150000,2023-12-11
Skoda,Yeti,1.2,105,AMT,бензин,передний,2011,105057,990000,2023-12-11
Skoda,Yeti,1.8,152,AMT,бензин,полный,2012,154000,839000,2023-12-11
Skoda,Yeti,1.4,122,AMT,бензин,передний,2014,142170,989000,2023-12-11
Skoda,Yeti,1.8,152,AMT,бензин,полный,2012,142000,999000,2023-12-11
Skoda,Yeti,1.4,122,AMT,бензин,передний,2015,52000,1515000,2023-12-11
Skoda,Yeti,1.2,105,MT,бензин,передний,2011,165000,1090000,2023-12-11
Skoda,Yeti,1.8,152,MT,бензин,полный,2017,112054,1600000,2023-12-11
Skoda,Yeti,1.4,122,AMT,бензин,передний,2014,123400,993000,2023-12-11
Skoda,Yeti,1.2,105,AMT,бензин,передний,2014,120133,1143200,2023-12-11
Skoda,Yeti,1.2,105,AMT,бензин,передний,2012,136388,765000,2023-12-11
Skoda,Yeti,1.6,110,MT,бензин,передний,2016,180000,1199000,2023-12-11
Skoda,Yeti,1.2,105,AMT,бензин,передний,2010,225000,810000,2023-12-11
Skoda,Yeti,1.8,152,AMT,бензин,полный,2015,117200,1149000,2023-12-11
Skoda,Yeti,1.8,152,AMT,бензин,полный,2014,134600,1350000,2023-12-11
Skoda,Yeti,1.2,105,MT,бензин,передний,2013,141236,930000,2023-12-11
Skoda,Yeti,1.4,122,AMT,бензин,передний,2014,35878,1589000,2023-12-11
Skoda,Yeti,1.2,105,AMT,бензин,передний,2013,190881,779000,2023-12-11
Skoda,Yeti,1.8,152,AMT,бензин,полный,2014,143500,1068000,2023-12-11
Skoda,Yeti,1.2,105,AMT,бензин,передний,2011,167000,955000,2023-12-11
Skoda,Yeti,1.4,122,AMT,бензин,передний,2014,225404,879999,2023-12-11
Skoda,Yeti,1.8,152,AMT,бензин,полный,2012,135439,899000,2023-12-11
Skoda,Yeti,1.2,105,MT,бензин,передний,2014,260000,925000,2023-12-11
Skoda,Yeti,1.8,152,AMT,бензин,полный,2014,212800,1195000,2023-12-11
Skoda,Yeti,1.8,152,AMT,бензин,полный,2012,162779,1199000,2023-12-11
Skoda,Yeti,1.8,152,AMT,бензин,полный,2011,167200,819000,2023-12-11
Skoda,Yeti,1.8,152,AMT,бензин,полный,2012,162900,1199000,2023-12-11
Skoda,Yeti,1.6,110,AT,бензин,передний,2016,105000,1765000,2023-12-11
Skoda,Yeti,1.8,152,AMT,бензин,полный,2013,183671,1099000,2023-12-11
Skoda,Yeti,1.4,122,MT,бензин,передний,2012,172500,850000,2023-12-11
Skoda,Yeti,1.4,122,AMT,бензин,передний,2014,197000,1110000,2023-12-11
Skoda,Yeti,1.8,152,AMT,бензин,полный,2012,147000,999000,2023-12-11
Skoda,Yeti,1.4,122,AMT,бензин,передний,2013,82934,1110000,2023-12-11
Skoda,Yeti,1.6,110,AT,бензин,передний,2017,159000,1690000,2023-12-11
Skoda,Yeti,1.2,105,AMT,бензин,передний,2014,139000,1180000,2023-12-11
Skoda,Yeti,1.2,105,MT,бензин,передний,2012,270391,859000,2023-12-11
Skoda,Yeti,1.4,125,AMT,бензин,передний,2016,168000,1600000,2023-12-11
Skoda,Yeti,1.6,110,AT,бензин,передний,2014,100850,1376000,2023-12-11
Skoda,Yeti,1.4,122,MT,бензин,передний,2012,148000,1117000,2023-12-11
Skoda,Yeti,1.2,105,MT,бензин,передний,2014,127400,1200000,2023-12-11
Skoda,Yeti,1.8,152,AMT,бензин,полный,2015,259000,1500000,2023-12-11
Skoda,Yeti,1.2,105,AMT,бензин,передний,2011,156500,970000,2023-12-11
Skoda,Yeti,1.8,152,AMT,бензин,полный,2012,239000,1120000,2023-12-11
Skoda,Yeti,1.6,110,AT,бензин,передний,2017,62400,1719000,2023-12-11
Skoda,Yeti,1.6,110,AT,бензин,передний,2014,132169,1600000,2023-12-11
Skoda,Yeti,1.8,152,MT,бензин,полный,2013,200770,825000,2023-12-11
Skoda,Yeti,1.4,122,AMT,бензин,передний,2014,166681,1229800,2023-12-11
Skoda,Yeti,1.2,105,MT,бензин,передний,2012,79000,1170000,2023-12-11
Skoda,Yeti,1.4,122,AMT,бензин,передний,2015,180000,1355000,2023-12-11
Skoda,Yeti,1.4,122,AMT,бензин,передний,2014,183000,1310000,2023-12-11
