brand,model,engine,horse_pwr,trans,gas,drive,build_year,mileage_kms,price_rub,date
Volkswagen,Jetta,1.6,110.0,AT,бензин,передний,2018,58957,1720000,2023-12-11
Volkswagen,Jetta,1.4,122.0,AMT,бензин,передний,2014,137205,1099000,2023-12-11
Volkswagen,Jetta,1.6,105.0,AT,бензин,передний,2013,142000,1190000,2023-12-11
Volkswagen,Jetta,1.6,105.0,MT,бензин,передний,2015,140658,1380000,2023-12-11
Volkswagen,Jetta,1.6,110.0,AT,бензин,передний,2017,54670,1520000,2023-12-11
Volkswagen,Jetta,1.6,110.0,AT,бензин,передний,2017,138233,1439000,2023-12-11
Volkswagen,Jetta,1.4,150.0,AMT,бензин,передний,2011,220000,990000,2023-12-11
Volkswagen,Jetta,1.6,110.0,MT,бензин,передний,2016,152000,1375000,2023-12-11
Volkswagen,Jetta,1.6,105.0,AT,бензин,передний,2015,213000,1219000,2023-12-11
Volkswagen,Jetta,1.4,122.0,AMT,бензин,передний,2013,119000,949000,2023-12-11
Volkswagen,Jetta,1.4,122.0,MT,бензин,передний,2015,170000,1290000,2023-12-11
Volkswagen,Jetta,1.4,150.0,AT,бензин,передний,2019,157000,1890000,2023-12-11
Volkswagen,Jetta,2.0,230.0,AMT,бензин,передний,2019,99000,2930000,2023-12-11
Volkswagen,Jetta,1.6,110.0,AT,бензин,передний,2018,131427,1345000,2023-12-11
Volkswagen,Jetta,1.4,125.0,AMT,бензин,передний,2015,216668,1369000,2023-12-11
Volkswagen,Jetta,1.4,122.0,AMT,бензин,передний,2013,146335,849000,2023-12-11
Volkswagen,Jetta,1.6,105.0,AT,бензин,передний,2012,152639,849000,2023-12-11
Volkswagen,Jetta,1.4,122.0,AMT,бензин,передний,2011,219068,1299000,2023-12-11
Volkswagen,Jetta,1.4,150.0,AMT,бензин,передний,2013,140927,899000,2023-12-11
Volkswagen,Jetta,1.4,125.0,AMT,бензин,передний,2016,136000,1439000,2023-12-11
Volkswagen,Jetta,1.4,150.0,AT,бензин,передний,2018,75000,1870000,2023-12-11
Volkswagen,Jetta,1.6,105.0,AT,бензин,передний,2013,189118,1250000,2023-12-11
Volkswagen,Jetta,1.4,122.0,AMT,бензин,передний,2015,167986,1349000,2023-12-11
Volkswagen,Jetta,1.6,102.0,MT,бензин,передний,2010,189500,819000,2023-12-11
Volkswagen,Jetta,1.6,90.0,MT,бензин,передний,2016,95233,1400000,2023-12-11
Volkswagen,Jetta,1.6,110.0,AT,бензин,передний,2018,57990,1895000,2023-12-11
Volkswagen,Jetta,1.4,122.0,AMT,бензин,передний,2012,191427,879000,2023-12-11
Volkswagen,Jetta,1.6,102.0,AT,бензин,передний,2008,180000,650000,2023-12-11
Volkswagen,Jetta,1.4,150.0,AT,бензин,передний,2020,67000,2100000,2023-12-11
Volkswagen,Jetta,1.4,125.0,AMT,бензин,передний,2016,221570,1550000,2023-12-11
Volkswagen,Jetta,1.4,122.0,AMT,бензин,передний,2014,116474,1050000,2023-12-11
Volkswagen,Jetta,1.6,102.0,MT,бензин,передний,2010,172000,700000,2023-12-11
Volkswagen,Jetta,1.6,102.0,MT,бензин,передний,2010,371777,735000,2023-12-11
Volkswagen,Jetta,1.6,102.0,AT,бензин,передний,2008,183000,750000,2023-12-11
Volkswagen,Jetta,1.4,122.0,AMT,бензин,передний,2014,127000,1349000,2023-12-11
Volkswagen,Jetta,1.6,105.0,MT,бензин,передний,2012,193123,880000,2023-12-11
Volkswagen,Jetta,1.6,105.0,AT,бензин,передний,2012,206600,1027000,2023-12-11
Volkswagen,Jetta,1.4,150.0,AT,бензин,передний,2019,30000,1500000,2023-12-11
Volkswagen,Jetta,1.4,150.0,AT,бензин,передний,2020,41000,2100000,2023-12-11
Volkswagen,Jetta,1.6,105.0,MT,бензин,передний,2014,259000,705000,2023-12-11
Volkswagen,Jetta,1.6,105.0,AT,бензин,передний,2014,139000,1350000,2023-12-11
Volkswagen,Jetta,1.4,160.0,MT,бензин,передний,2014,74917,816000,2023-12-11
Volkswagen,Jetta,1.4,122.0,MT,бензин,передний,2011,243000,850000,2023-12-11
Volkswagen,Jetta,1.4,150.0,AT,бензин,передний,2020,42000,2100000,2023-12-11
Volkswagen,Jetta,1.6,105.0,AT,бензин,передний,2012,190000,1270000,2023-12-11
Volkswagen,Jetta,1.6,105.0,AT,бензин,передний,2013,179053,1290000,2023-12-11
Volkswagen,Jetta,1.6,102.0,AT,бензин,передний,2010,139000,775000,2023-12-11
Volkswagen,Jetta,1.6,102.0,MT,бензин,передний,2006,238500,525000,2023-12-11
Volkswagen,Jetta,1.4,147.0,AT,бензин,передний,2019,61500,1890000,2023-12-11
Volkswagen,Jetta,1.6,105.0,AT,бензин,передний,2014,237000,1150000,2023-12-11
Volkswagen,Jetta,1.4,122.0,MT,бензин,передний,2011,216000,1020000,2023-12-11
Volkswagen,Jetta,1.6,105.0,AT,бензин,передний,2015,168700,1299000,2023-12-11
Volkswagen,Jetta,1.4,150.0,MT,бензин,передний,2017,107000,1425000,2023-12-11
Volkswagen,Jetta,2.0,200.0,MT,бензин,передний,2014,196000,1500000,2023-12-11
Volkswagen,Jetta,1.6,110.0,MT,бензин,передний,2018,140000,1500000,2023-12-11
Volkswagen,Jetta,1.4,125.0,AMT,бензин,передний,2016,112191,1099000,2023-12-11
Volkswagen,Jetta,1.4,122.0,AMT,бензин,передний,2011,180931,839990,2023-12-11
Volkswagen,Jetta,1.6,110.0,AT,бензин,передний,2018,129000,1550000,2023-12-11
Volkswagen,Jetta,2.0,116.0,AT,бензин,передний,2003,300000,380000,2023-12-11
Volkswagen,Jetta,1.4,122.0,AMT,бензин,передний,2012,195000,1260000,2023-12-11
Volkswagen,Jetta,2.0,213.0,MT,бензин,передний,2017,58857,1835000,2023-12-11
Volkswagen,Jetta,1.4,122.0,MT,бензин,передний,2014,194000,1230000,2023-12-11
Volkswagen,Jetta,1.4,122.0,MT,бензин,передний,2011,128700,1100000,2023-12-11
Volkswagen,Jetta,1.6,110.0,AT,бензин,передний,2020,45992,1999777,2023-12-11
Volkswagen,Jetta,1.4,150.0,MT,бензин,передний,2012,206000,1300000,2023-12-11
Volkswagen,Jetta,1.6,102.0,MT,бензин,передний,2008,240000,430000,2023-12-11
Volkswagen,Jetta,1.6,105.0,AT,бензин,передний,2012,197980,799000,2023-12-11
Volkswagen,Jetta,1.4,122.0,AMT,бензин,передний,2013,96785,1399000,2023-12-11
Volkswagen,Jetta,1.4,122.0,AMT,бензин,передний,2013,184000,949777,2023-12-11
Volkswagen,Jetta,1.4,125.0,AMT,бензин,передний,2018,119000,1620000,2023-12-11
Volkswagen,Jetta,1.4,150.0,AT,бензин,передний,2019,97000,2000000,2023-12-11
Volkswagen,Jetta,1.4,150.0,AMT,бензин,передний,2012,196059,1180000,2023-12-11
Volkswagen,Jetta,1.6,105.0,MT,бензин,передний,2013,294000,820000,2023-12-11
Volkswagen,Jetta,1.4,122.0,AMT,бензин,передний,2011,133255,1200000,2023-12-11
Volkswagen,Jetta,1.6,105.0,AT,бензин,передний,2012,178000,1230000,2023-12-11
Volkswagen,Jetta,1.4,122.0,AMT,бензин,передний,2014,165500,1310000,2023-12-11
Volkswagen,Jetta,1.6,105.0,MT,бензин,передний,2013,231000,1050000,2023-12-11
Volkswagen,Jetta,2.0,200.0,AMT,бензин,передний,2008,197000,800000,2023-12-11
Volkswagen,Jetta,1.4,122.0,AMT,бензин,передний,2010,237000,705000,2023-12-11
Volkswagen,Jetta,1.6,105.0,AT,бензин,передний,2012,125000,1280000,2023-12-11
Volkswagen,Jetta,1.6,102.0,AT,бензин,передний,2009,204000,640000,2023-12-11
Volkswagen,Jetta,1.6,105.0,MT,бензин,передний,2012,191000,1098000,2023-12-11
Volkswagen,Jetta,1.4,150.0,AMT,бензин,передний,2014,134063,999000,2023-12-11
