brand,model,engine,horse_pwr,trans,gas,drive,build_year,mileage_kms,price_rub,date
Volkswagen,Polo,1.6,90.0,MT,бензин,передний,2020,185000,1149000,2023-12-11
Volkswagen,Polo,1.6,110.0,AT,бензин,передний,2018,61308,1560000,2023-12-11
Volkswagen,Polo,1.6,110.0,AT,бензин,передний,2021,15100,2089000,2023-12-11
Volkswagen,Polo,1.6,110.0,AT,бензин,передний,2019,73029,1260000,2023-12-11
Volkswagen,Polo,1.6,110.0,AT,бензин,передний,2017,68972,1217000,2023-12-11
Volkswagen,Polo,1.6,110.0,AT,бензин,передний,2016,155000,1179000,2023-12-11
Volkswagen,Polo,1.6,90.0,MT,бензин,передний,2020,122822,1184000,2023-12-11
Volkswagen,Polo,1.6,110.0,AT,бензин,передний,2021,48908,2149000,2023-12-11
Volkswagen,Polo,1.6,110.0,AT,бензин,передний,2021,0,2300000,2023-12-11
Volkswagen,Polo,1.6,110.0,AT,бензин,передний,2022,0,2220000,2023-12-11
Volkswagen,Polo,1.6,110.0,AT,бензин,передний,2022,0,1429000,2023-12-11
Volkswagen,Polo,1.6,110.0,AT,бензин,передний,2020,34500,1836000,2023-12-11
Volkswagen,Polo,1.6,110.0,AT,бензин,передний,2019,78031,1535000,2023-12-11
Volkswagen,Polo,1.4,125.0,AMT,бензин,передний,2018,89430,845000,2023-12-11
Volkswagen,Polo,1.6,105.0,MT,бензин,передний,2014,194634,1099000,2023-12-11
Volkswagen,Polo,1.6,110.0,MT,бензин,передний,2020,27546,1799000,2023-12-11
Volkswagen,Polo,1.4,125.0,MT,бензин,передний,2018,80535,1477000,2023-12-11
Volkswagen,Polo,1.6,110.0,AT,бензин,передний,2022,27638,1895500,2023-12-11
Volkswagen,Polo,1.6,110.0,AT,бензин,передний,2019,123823,1529000,2023-12-11
Volkswagen,Polo,1.6,90.0,MT,бензин,передний,2016,132351,1199000,2023-12-11
Volkswagen,Polo,1.6,110.0,AT,бензин,передний,2021,80743,1470000,2023-12-11
Volkswagen,Polo,1.6,105.0,MT,бензин,передний,2013,202575,675000,2023-12-11
Volkswagen,Polo,1.6,85.0,MT,бензин,передний,2015,159800,1045000,2023-12-11
Volkswagen,Polo,1.6,105.0,MT,бензин,передний,2014,141789,940000,2023-12-11
Volkswagen,Polo,1.6,90.0,MT,бензин,передний,2017,88844,1283000,2023-12-11
Volkswagen,Polo,1.6,110.0,MT,бензин,передний,2017,111345,1339000,2023-12-11
Volkswagen,Polo,1.6,110.0,AT,бензин,передний,2019,89500,995000,2023-12-11
Volkswagen,Polo,1.6,105.0,AT,бензин,передний,2012,245673,1025000,2023-12-11
Volkswagen,Polo,1.6,105.0,AT,бензин,передний,2014,164750,1045000,2023-12-11
Volkswagen,Polo,1.4,125.0,AMT,бензин,передний,2017,119476,1469000,2023-12-11
Volkswagen,Polo,1.6,110.0,AT,бензин,передний,2018,51359,1348000,2023-12-11
Volkswagen,Polo,1.6,110.0,AT,бензин,передний,2017,142000,855000,2023-12-11
Volkswagen,Polo,1.6,110.0,AT,бензин,передний,2018,84413,1319000,2023-12-11
Volkswagen,Polo,1.6,105.0,MT,бензин,передний,2011,208000,515000,2023-12-11
Volkswagen,Polo,1.6,90.0,MT,бензин,передний,2018,123000,799000,2023-12-11
Volkswagen,Polo,1.6,105.0,AT,бензин,передний,2012,94800,1079000,2023-12-11
Volkswagen,Polo,1.6,110.0,MT,бензин,передний,2018,111139,650000,2023-12-11
Volkswagen,Polo,1.6,105.0,AT,бензин,передний,2014,142800,1085000,2023-12-11
Volkswagen,Polo,1.6,110.0,AT,бензин,передний,2018,166703,1090300,2023-12-11
Volkswagen,Polo,1.6,105.0,MT,бензин,передний,2011,180194,670000,2023-12-11
Volkswagen,Polo,1.6,110.0,AT,бензин,передний,2020,65000,1570000,2023-12-11
Volkswagen,Polo,1.6,110.0,AT,бензин,передний,2022,52500,1995000,2023-12-11
Volkswagen,Polo,1.6,90.0,MT,бензин,передний,2017,224034,650000,2023-12-11
Volkswagen,Polo,1.6,110.0,AT,бензин,передний,2020,35779,1625000,2023-12-11
Volkswagen,Polo,1.6,105.0,MT,бензин,передний,2012,175000,645000,2023-12-11
Volkswagen,Polo,1.6,105.0,AT,бензин,передний,2013,78452,1150000,2023-12-11
Volkswagen,Polo,1.6,110.0,MT,бензин,передний,2019,41528,1450000,2023-12-11
Volkswagen,Polo,1.6,105.0,MT,бензин,передний,2011,240000,760000,2023-12-11
Volkswagen,Polo,1.6,110.0,MT,бензин,передний,2018,90000,1700000,2023-12-11
Volkswagen,Polo,1.6,90.0,MT,бензин,передний,2019,201346,770000,2023-12-11
Volkswagen,Polo,1.6,105.0,MT,бензин,передний,2015,204066,650000,2023-12-11
Volkswagen,Polo,1.6,110.0,AT,бензин,передний,2017,140500,1090000,2023-12-11
Volkswagen,Polo,1.6,110.0,AT,бензин,передний,2021,32053,1150000,2023-12-11
Volkswagen,Polo,1.6,105.0,MT,бензин,передний,2015,250000,630000,2023-12-11
Volkswagen,Polo,1.4,125.0,AMT,бензин,передний,2019,53000,1199000,2023-12-11
Volkswagen,Polo,1.6,105.0,AT,бензин,передний,2011,96100,960000,2023-12-11
Volkswagen,Polo,1.6,105.0,AT,бензин,передний,2012,178000,879000,2023-12-11
Volkswagen,Polo,1.6,110.0,AT,бензин,передний,2019,98000,1350000,2023-12-11
Volkswagen,Polo,1.6,90.0,MT,бензин,передний,2017,67000,1180000,2023-12-11
Volkswagen,Polo,1.6,105.0,MT,бензин,передний,2011,205000,710000,2023-12-11
Volkswagen,Polo,1.6,105.0,AT,бензин,передний,2011,207000,750000,2023-12-11
Volkswagen,Polo,1.6,110.0,MT,бензин,передний,2021,33100,1720000,2023-12-11
Volkswagen,Polo,1.6,110.0,AT,бензин,передний,2021,39000,1850000,2023-12-11
Volkswagen,Polo,1.6,90.0,MT,бензин,передний,2017,122866,1030000,2023-12-11
Volkswagen,Polo,1.6,105.0,AT,бензин,передний,2012,300000,450000,2023-12-11
Volkswagen,Polo,1.6,105.0,MT,бензин,передний,2014,129000,689000,2023-12-11
Volkswagen,Polo,1.2,64.0,MT,бензин,передний,2002,180000,100000,2023-12-11
Volkswagen,Polo,1.6,105.0,AT,бензин,передний,2011,210000,799000,2023-12-11
Volkswagen,Polo,1.6,105.0,MT,бензин,передний,2012,130000,777000,2023-12-11
Volkswagen,Polo,1.6,105.0,MT,бензин,передний,2015,95000,1000000,2023-12-11
Volkswagen,Polo,1.6,105.0,AT,бензин,передний,2013,64000,1050000,2023-12-11
Volkswagen,Polo,1.4,75.0,MT,бензин,передний,2001,172000,230000,2023-12-11
Volkswagen,Polo,1.6,105.0,AT,бензин,передний,2012,147000,880000,2023-12-11
Volkswagen,Polo,1.6,110.0,AT,бензин,передний,2018,261000,1030000,2023-12-11
Volkswagen,Polo,1.6,105.0,MT,бензин,передний,2014,4300,1430000,2023-12-11
Volkswagen,Polo,1.6,105.0,AT,бензин,передний,2011,160000,880000,2023-12-11
Volkswagen,Polo,1.6,110.0,AT,бензин,передний,2022,80000,1700000,2023-12-11
Volkswagen,Polo,1.6,110.0,AT,бензин,передний,2021,27000,1890000,2023-12-11
Volkswagen,Polo,1.6,90.0,MT,бензин,передний,2016,152000,1280000,2023-12-11
Volkswagen,Polo,1.6,110.0,AT,бензин,передний,2021,88000,2280000,2023-12-11
Volkswagen,Polo,1.6,110.0,AT,бензин,передний,2019,187000,975000,2023-12-11
Volkswagen,Polo,1.4,75.0,AT,бензин,передний,2005,288560,430000,2023-12-11
Volkswagen,Polo,1.6,105.0,MT,бензин,передний,2012,151000,749999,2023-12-11
Volkswagen,Polo,1.6,105.0,MT,бензин,передний,2013,350000,570000,2023-12-11
Volkswagen,Polo,1.6,110.0,AT,бензин,передний,2018,300000,800000,2023-12-11
Volkswagen,Polo,1.6,85.0,MT,бензин,передний,2015,214000,759000,2023-12-11
Volkswagen,Polo,1.6,105.0,AT,бензин,передний,2015,186000,1050000,2023-12-11
