brand,model,engine,horse_pwr,trans,gas,drive,build_year,mileage_kms,price_rub,date
Volkswagen,Teramont,2.0,220,AT,бензин,полный,2018,140000,2999000,2023-12-11
Volkswagen,Teramont,2.0,220,AT,бензин,полный,2018,78000,3590000,2023-12-11
Volkswagen,Teramont,3.6,249,AT,бензин,полный,2021,22225,6450000,2023-12-11
Volkswagen,Teramont,3.6,280,AT,бензин,полный,2019,79450,3970000,2023-12-11
Volkswagen,Teramont,2.0,220,AT,бензин,полный,2019,113023,3742466,2023-12-11
Volkswagen,Teramont,2.0,220,AT,бензин,полный,2018,164000,3700000,2023-12-11
Volkswagen,Teramont,2.0,220,AT,бензин,полный,2021,1280,6050000,2023-12-11
Volkswagen,Teramont,2.0,220,AT,бензин,полный,2018,69920,3450000,2023-12-11
Volkswagen,Teramont,2.0,220,AT,бензин,полный,2023,0,6690000,2023-12-11
Volkswagen,Teramont,2.0,220,AT,бензин,полный,2023,0,6490000,2023-12-11
Volkswagen,Teramont,2.0,220,AT,бензин,полный,2023,0,6490000,2023-12-11
Volkswagen,Teramont,3.6,280,AT,бензин,полный,2019,30000,4999000,2023-12-11
Volkswagen,Teramont,3.6,249,AT,бензин,полный,2021,54000,5700000,2023-12-11
Volkswagen,Teramont,2.0,220,AT,бензин,полный,2018,109624,3380200,2023-12-11
Volkswagen,Teramont,3.6,280,AT,бензин,полный,2018,279380,3298000,2023-12-11
Volkswagen,Teramont,2.0,220,AT,бензин,полный,2018,147000,3300000,2023-12-11
Volkswagen,Teramont,2.0,220,AT,бензин,полный,2021,33000,5230000,2023-12-11
Volkswagen,Teramont,2.0,220,AT,бензин,полный,2019,149273,3798000,2023-12-11
Volkswagen,Teramont,3.6,249,AT,бензин,полный,2021,3945,6900000,2023-12-11
Volkswagen,Teramont,3.6,280,AT,бензин,полный,2018,161526,3497000,2023-12-11
Volkswagen,Teramont,2.0,220,AT,бензин,полный,2023,0,6690000,2023-12-11
Volkswagen,Teramont,2.0,220,AT,бензин,полный,2019,102131,3575000,2023-12-11
Volkswagen,Teramont,2.0,220,AT,бензин,полный,2022,22,6550000,2023-12-11
Volkswagen,Teramont,2.0,220,AT,бензин,полный,2018,79700,3700000,2023-12-11
Volkswagen,Teramont,2.0,220,AT,бензин,полный,2018,162600,3590000,2023-12-11
Volkswagen,Teramont,3.6,280,AT,бензин,полный,2019,126687,3699000,2023-12-11
Volkswagen,Teramont,2.0,220,AT,бензин,полный,2023,0,8092000,2023-12-11
Volkswagen,Teramont,2.0,220,AT,бензин,полный,2018,147000,3450000,2023-12-11
Volkswagen,Teramont,2.0,220,AT,бензин,полный,2022,24,6800000,2023-12-11
Volkswagen,Teramont,2.0,220,AT,бензин,полный,2022,18000,5365000,2023-12-11
Volkswagen,Teramont,2.0,220,AT,бензин,полный,2022,0,6950000,2023-12-11
Volkswagen,Teramont,2.0,220,AT,бензин,полный,2018,117662,4200000,2023-12-11
Volkswagen,Teramont,3.6,280,AT,бензин,полный,2018,68150,3490000,2023-12-11
Volkswagen,Teramont,2.0,220,AT,бензин,полный,2022,11082,6549000,2023-12-11
Volkswagen,Teramont,3.6,249,AT,бензин,полный,2019,49228,4459000,2023-12-11
Volkswagen,Teramont,3.6,249,AT,бензин,полный,2019,148945,3548000,2023-12-11
Volkswagen,Teramont,2.0,220,AMT,бензин,полный,2023,50,8200000,2023-12-11
Volkswagen,Teramont,2.0,220,AT,бензин,полный,2019,71909,3690000,2023-12-11
Volkswagen,Teramont,2.0,220,AT,бензин,полный,2018,138000,3000000,2023-12-11
Volkswagen,Teramont,2.0,220,AT,бензин,полный,2023,0,6490000,2023-12-11
Volkswagen,Teramont,2.0,220,AT,бензин,полный,2018,85655,3425000,2023-12-11
Volkswagen,Teramont,2.0,220,AMT,бензин,полный,2021,36977,5729000,2023-12-11
Volkswagen,Teramont,2.0,220,AT,бензин,полный,2018,120000,3590000,2023-12-11
