brand,model,engine,horse_pwr,trans,gas,drive,build_year,mileage_kms,price_rub,date
Volkswagen,Tiguan,1.4,150,AMT,бензин,полный,2020,70000,2589000,2023-12-11
Volkswagen,Tiguan,1.4,150,AMT,бензин,передний,2020,67608,2550777,2023-12-11
Volkswagen,Tiguan,2.0,200,AT,бензин,полный,2013,193676,1510000,2023-12-11
Volkswagen,Tiguan,2.0,240,AMT,дизель,полный,2019,137795,3750000,2023-12-11
Volkswagen,Tiguan,1.4,150,AMT,бензин,передний,2020,17300,3049000,2023-12-11
Volkswagen,Tiguan,2.0,150,AMT,дизель,полный,2019,80336,3155000,2023-12-11
Volkswagen,Tiguan,2.0,170,AT,бензин,полный,2012,133639,1049000,2023-12-11
Volkswagen,Tiguan,1.4,150,AMT,бензин,полный,2018,104085,1895000,2023-12-11
Volkswagen,Tiguan,2.0,220,AMT,бензин,полный,2023,0,4990000,2023-12-11
Volkswagen,Tiguan,2.0,220,AMT,бензин,полный,2023,0,4890000,2023-12-11
Volkswagen,Tiguan,1.4,150,AMT,бензин,передний,2022,0,3750000,2023-12-11
Volkswagen,Tiguan,2.0,180,AMT,бензин,полный,2018,111000,2545500,2023-12-11
Volkswagen,Tiguan,2.0,220,AMT,бензин,полный,2019,76000,3519000,2023-12-11
Volkswagen,Tiguan,2.0,180,AMT,бензин,полный,2019,55000,3020000,2023-12-11
Volkswagen,Tiguan,2.0,150,AMT,дизель,полный,2017,102000,2625500,2023-12-11
Volkswagen,Tiguan,1.4,150,AMT,бензин,передний,2019,72000,2450777,2023-12-11
Volkswagen,Tiguan,2.0,150,AMT,дизель,полный,2018,153937,2850000,2023-12-11
Volkswagen,Tiguan,2.0,180,AMT,бензин,полный,2021,50560,3270777,2023-12-11
Volkswagen,Tiguan,2.0,180,AMT,бензин,полный,2017,90696,2469000,2023-12-11
Volkswagen,Tiguan,1.4,150,AMT,бензин,полный,2020,75926,2590777,2023-12-11
Volkswagen,Tiguan,2.0,180,AMT,бензин,полный,2021,103473,3270777,2023-12-11
