brand,model,engine,horse_pwr,trans,gas,drive,build_year,mileage_kms,price_rub,date
Volkswagen,Touareg,3.0,249,AT,дизель,полный,2019,92300,6099000,2023-12-11
Volkswagen,Touareg,3.6,249,AT,бензин,полный,2016,72616,3750000,2023-12-11
Volkswagen,Touareg,3.6,249,AT,бензин,полный,2016,156000,3149000,2023-12-11
Volkswagen,Touareg,3.0,245,AT,дизель,полный,2018,112000,4250000,2023-12-11
Volkswagen,Touareg,3.0,249,AT,дизель,полный,2019,99060,5600000,2023-12-11
Volkswagen,Touareg,3.0,240,AT,дизель,полный,2010,181500,1315000,2023-12-11
Volkswagen,Touareg,3.0,245,AT,дизель,полный,2014,233674,2899000,2023-12-11
Volkswagen,Touareg,3.0,204,AT,дизель,полный,2012,186000,2480000,2023-12-11
Volkswagen,Touareg,3.0,249,AT,дизель,полный,2022,0,13350000,2023-12-11
Volkswagen,Touareg,3.0,249,AT,дизель,полный,2022,0,11490000,2023-12-11
Volkswagen,Touareg,3.0,249,AT,дизель,полный,2022,0,12067500,2023-12-11
Volkswagen,Touareg,3.0,204,AT,дизель,полный,2016,166000,2639000,2023-12-11
Volkswagen,Touareg,3.6,280,AT,бензин,полный,2007,178500,935000,2023-12-11
Volkswagen,Touareg,3.0,249,AT,дизель,полный,2022,0,12081500,2023-12-11
Volkswagen,Touareg,3.0,245,AT,дизель,полный,2011,242000,1999999,2023-12-11
Volkswagen,Touareg,3.0,286,AT,дизель,полный,2019,47914,6615000,2023-12-11
Volkswagen,Touareg,3.0,231,AT,дизель,полный,2019,112002,4990000,2023-12-11
Volkswagen,Touareg,3.0,231,AT,дизель,полный,2018,76150,5478000,2023-12-11
Volkswagen,Touareg,2.5,174,AT,дизель,полный,2008,177500,988000,2023-12-11
Volkswagen,Touareg,3.0,240,AT,дизель,полный,2011,176000,2100000,2023-12-11
Volkswagen,Touareg,3.0,249,AT,дизель,полный,2022,0,12067500,2023-12-11
Volkswagen,Touareg,2.0,249,AT,бензин,полный,2018,110157,4729000,2023-12-11
Volkswagen,Touareg,3.6,249,AT,бензин,полный,2013,286600,2290000,2023-12-11
Volkswagen,Touareg,2.0,249,AT,бензин,полный,2019,33300,6245500,2023-12-11
Volkswagen,Touareg,3.0,249,AT,дизель,полный,2020,64000,6500000,2023-12-11
Volkswagen,Touareg,3.0,231,AT,дизель,полный,2019,100284,4799000,2023-12-11
Volkswagen,Touareg,3.0,249,AT,дизель,полный,2021,18775,7981000,2023-12-11
Volkswagen,Touareg,3.0,240,AT,дизель,полный,2011,175000,1799000,2023-12-11
Volkswagen,Touareg,2.5,174,AT,дизель,полный,2005,280000,860000,2023-12-11
Volkswagen,Touareg,3.0,286,AT,дизель,полный,2019,40000,6150000,2023-12-11
Volkswagen,Touareg,2.0,249,AT,бензин,полный,2020,94593,5499000,2023-12-11
Volkswagen,Touareg,3.0,249,AT,дизель,полный,2022,0,12010000,2023-12-11
Volkswagen,Touareg,3.0,249,AT,дизель,полный,2022,24800,9099000,2023-12-11
Volkswagen,Touareg,2.5,174,AT,дизель,полный,2004,316000,820000,2023-12-11
Volkswagen,Touareg,3.0,249,AT,дизель,полный,2022,0,11925000,2023-12-11
Volkswagen,Touareg,3.0,286,AT,дизель,полный,2019,56000,6250000,2023-12-11
Volkswagen,Touareg,3.0,204,AT,дизель,полный,2012,194000,1900000,2023-12-11
Volkswagen,Touareg,3.0,249,AT,дизель,полный,2019,95400,6230000,2023-12-11
Volkswagen,Touareg,3.0,204,AT,дизель,полный,2016,109000,3777000,2023-12-11
Volkswagen,Touareg,3.6,280,AT,бензин,полный,2008,270000,1475000,2023-12-11
Volkswagen,Touareg,3.6,249,AT,бензин,полный,2012,160000,2000000,2023-12-11
Volkswagen,Touareg,3.0,231,AT,дизель,полный,2019,71000,5500000,2023-12-11
Volkswagen,Touareg,3.0,249,AT,дизель,полный,2020,77000,6250000,2023-12-11
Volkswagen,Touareg,3.0,240,AT,дизель,полный,2008,223000,1435000,2023-12-11
Volkswagen,Touareg,3.0,286,AT,дизель,полный,2019,60819,6249000,2023-12-11
Volkswagen,Touareg,3.0,204,AT,дизель,полный,2012,200000,1190000,2023-12-11
Volkswagen,Touareg,2.5,174,AT,дизель,полный,2008,177000,1330000,2023-12-11
Volkswagen,Touareg,2.5,174,AT,дизель,полный,2005,85000,700000,2023-12-11
Volkswagen,Touareg,3.0,286,AT,дизель,полный,2019,45000,5895000,2023-12-11
Volkswagen,Touareg,3.0,245,AT,дизель,полный,2015,170000,3179000,2023-12-11
Volkswagen,Touareg,3.6,249,AT,бензин,полный,2014,123000,3200000,2023-12-11
Volkswagen,Touareg,2.5,174,AT,дизель,полный,2005,191200,750000,2023-12-11
