brand,model,engine,horse_pwr,trans,gas,drive,build_year,mileage_kms,price_rub,date
Skoda,Rapid,1.6,110,AT,бензин,передний,2018,79000,1149000,2023-12-21
Skoda,Rapid,1.6,110,AT,бензин,передний,2022,68000,1669000,2023-12-21
Skoda,Rapid,1.4,122,AMT,бензин,передний,2014,124358,899000,2023-12-21
Skoda,Rapid,1.4,125,AMT,бензин,передний,2020,93214,1249000,2023-12-21
Skoda,Rapid,1.6,90,MT,бензин,передний,2017,155000,1050000,2023-12-21
Skoda,Rapid,1.6,110,AT,бензин,передний,2020,77662,1729000,2023-12-21
Skoda,Rapid,1.6,110,AT,бензин,передний,2019,123244,990000,2023-12-21
Skoda,Rapid,1.6,110,AT,бензин,передний,2021,41007,1744990,2023-12-21
Skoda,Rapid,1.6,110,AT,бензин,передний,2017,111500,1360000,2023-12-21
Skoda,Rapid,1.4,122,AMT,бензин,передний,2015,151557,1349000,2023-12-21
Skoda,Rapid,1.4,125,AMT,бензин,передний,2020,40200,1759000,2023-12-21
Skoda,Rapid,1.4,125,AMT,бензин,передний,2020,86000,1845000,2023-12-21
Skoda,Rapid,1.6,110,AT,бензин,передний,2022,16757,2015000,2023-12-21
Skoda,Rapid,1.6,110,AT,бензин,передний,2022,59653,2179000,2023-12-21
Skoda,Rapid,1.6,110,AT,бензин,передний,2018,106015,1179050,2023-12-21
Skoda,Rapid,1.6,110,AT,бензин,передний,2020,70000,1899000,2023-12-21
Skoda,Rapid,1.6,90,MT,бензин,передний,2022,35,1430000,2023-12-21
Skoda,Rapid,1.6,90,MT,бензин,передний,2020,62000,1650000,2023-12-21
Skoda,Rapid,1.6,110,AT,бензин,передний,2018,123124,1499000,2023-12-21
Skoda,Rapid,1.4,125,AMT,бензин,передний,2021,47524,1989000,2023-12-21
Skoda,Rapid,1.6,110,AT,бензин,передний,2019,71030,950000,2023-12-21
Skoda,Rapid,1.6,90,MT,бензин,передний,2017,60715,1449900,2023-12-21
Skoda,Rapid,1.6,90,MT,бензин,передний,2021,28728,1729000,2023-12-21
Skoda,Rapid,1.6,90,MT,бензин,передний,2018,187692,935000,2023-12-21
Skoda,Rapid,1.6,90,MT,бензин,передний,2018,195000,800000,2023-12-21
Skoda,Rapid,1.6,110,AT,бензин,передний,2021,51800,1760000,2023-12-21
Skoda,Rapid,1.6,110,AT,бензин,передний,2019,122708,1350000,2023-12-21
Skoda,Rapid,1.2,105,MT,бензин,передний,2013,168200,890000,2023-12-21
Skoda,Rapid,1.6,110,AT,бензин,передний,2021,38500,1780000,2023-12-21
Skoda,Rapid,1.4,125,AMT,бензин,передний,2021,38986,1890000,2023-12-21
Skoda,Rapid,1.6,110,AT,бензин,передний,2017,102699,729000,2023-12-21
Skoda,Rapid,1.6,110,AT,бензин,передний,2018,96790,1138000,2023-12-21
Skoda,Rapid,1.6,110,AT,бензин,передний,2020,14584,970000,2023-12-21
Skoda,Rapid,1.6,105,MT,бензин,передний,2015,106000,920000,2023-12-21
Skoda,Rapid,1.4,122,AMT,бензин,передний,2014,94000,749000,2023-12-21
Skoda,Rapid,1.6,105,MT,бензин,передний,2014,272000,670000,2023-12-21
Skoda,Rapid,1.6,90,MT,бензин,передний,2018,85000,1090000,2023-12-21
Skoda,Rapid,1.6,110,AT,бензин,передний,2021,62000,1780000,2023-12-21
Skoda,Rapid,1.6,90,MT,бензин,передний,2017,60000,1297000,2023-12-21
Skoda,Rapid,1.6,110,AT,бензин,передний,2021,51970,979800,2023-12-21
Skoda,Rapid,1.6,110,MT,бензин,передний,2018,155000,1299999,2023-12-21
Skoda,Rapid,1.6,90,MT,бензин,передний,2018,122327,1275500,2023-12-21
Skoda,Rapid,1.6,110,AT,бензин,передний,2019,126000,1368000,2023-12-21
Skoda,Rapid,1.6,90,MT,бензин,передний,2019,96500,1238000,2023-12-21
Skoda,Rapid,1.6,105,AT,бензин,передний,2015,173767,780540,2023-12-21
Skoda,Rapid,1.4,125,AMT,бензин,передний,2021,50800,1909000,2023-12-21
Skoda,Rapid,1.6,110,MT,бензин,передний,2015,139200,1075000,2023-12-21
Skoda,Rapid,1.6,110,MT,бензин,передний,2014,200000,750000,2023-12-21
Skoda,Rapid,1.6,110,AT,бензин,передний,2021,49000,1695500,2023-12-21
Skoda,Rapid,1.6,110,AT,бензин,передний,2019,95000,1675000,2023-12-21
Skoda,Rapid,1.4,125,AMT,бензин,передний,2021,69000,1499000,2023-12-21
Skoda,Rapid,1.6,110,AT,бензин,передний,2018,330000,930000,2023-12-21
Skoda,Rapid,1.6,105,AT,бензин,передний,2014,176000,1080000,2023-12-21
Skoda,Rapid,1.6,110,AT,бензин,передний,2022,30900,2095000,2023-12-21
Skoda,Rapid,1.6,110,AT,бензин,передний,2017,98000,939000,2023-12-21
Skoda,Rapid,1.6,110,AT,бензин,передний,2020,152000,1430000,2023-12-21
Skoda,Rapid,1.6,110,AT,бензин,передний,2016,156635,849000,2023-12-21
Skoda,Rapid,1.6,105,AT,бензин,передний,2014,141200,1049900,2023-12-21
Skoda,Rapid,1.4,122,AMT,бензин,передний,2015,114443,1350000,2023-12-21
Skoda,Rapid,1.6,110,AT,бензин,передний,2016,148500,1230000,2023-12-21
Skoda,Rapid,1.6,90,MT,бензин,передний,2015,147462,966000,2023-12-21
Skoda,Rapid,1.6,90,MT,бензин,передний,2019,60800,1350000,2023-12-21
Skoda,Rapid,1.4,125,AMT,бензин,передний,2018,70500,1579000,2023-12-21
Skoda,Rapid,1.6,90,MT,бензин,передний,2019,126000,1180000,2023-12-21
Skoda,Rapid,1.4,125,AMT,бензин,передний,2017,140000,1350000,2023-12-21
Skoda,Rapid,1.4,125,AMT,бензин,передний,2021,35770,1870000,2023-12-21
Skoda,Rapid,1.6,110,AT,бензин,передний,2020,85000,1790000,2023-12-21
Skoda,Rapid,1.6,105,MT,бензин,передний,2014,266000,695000,2023-12-21
Skoda,Rapid,1.6,90,MT,бензин,передний,2018,78182,1233000,2023-12-21
Skoda,Rapid,1.6,90,MT,бензин,передний,2019,56681,1460000,2023-12-21
Skoda,Rapid,1.4,122,AMT,бензин,передний,2014,94300,1495000,2023-12-21
Skoda,Rapid,1.6,110,AT,бензин,передний,2017,102000,1260000,2023-12-21
Skoda,Rapid,1.6,105,AT,бензин,передний,2015,173000,1099000,2023-12-21
Skoda,Rapid,1.4,125,AMT,бензин,передний,2022,28600,2299999,2023-12-21
Skoda,Rapid,1.6,110,MT,бензин,передний,2020,137000,1378000,2023-12-21
Skoda,Rapid,1.5,112,AT,бензин,передний,2023,60,2099000,2023-12-21
Skoda,Rapid,1.4,122,AMT,бензин,передний,2014,169000,990000,2023-12-21
Skoda,Rapid,1.6,105,AT,бензин,передний,2015,115000,1150000,2023-12-21
Skoda,Rapid,1.6,110,AT,бензин,передний,2018,93272,1498000,2023-12-21
Skoda,Rapid,1.6,110,AT,бензин,передний,2016,113185,899000,2023-12-21
Skoda,Rapid,1.6,105,MT,бензин,передний,2014,138525,897000,2023-12-21
Skoda,Rapid,1.6,110,AT,бензин,передний,2021,78073,1700000,2023-12-21
Skoda,Rapid,1.6,110,AT,бензин,передний,2019,103458,1240000,2023-12-21
Skoda,Rapid,1.6,90,MT,бензин,передний,2018,86221,1249000,2023-12-21
Skoda,Rapid,1.6,90,MT,бензин,передний,2021,52285,1570000,2023-12-21
Skoda,Rapid,1.6,90,MT,бензин,передний,2019,58000,1650000,2023-12-21
Skoda,Rapid,1.6,110,AT,бензин,передний,2018,147000,1440000,2023-12-21
Skoda,Rapid,1.4,125,AMT,бензин,передний,2021,60877,2000000,2023-12-21
Skoda,Rapid,1.6,90,MT,бензин,передний,2019,36800,1485000,2023-12-21
Skoda,Rapid,1.6,110,AT,бензин,передний,2021,11000,2150000,2023-12-21
Skoda,Rapid,1.6,110,AT,бензин,передний,2018,154000,1177000,2023-12-21
Skoda,Rapid,1.6,90,MT,бензин,передний,2020,64236,1600000,2023-12-21
Skoda,Rapid,1.6,110,MT,бензин,передний,2019,116000,1400000,2023-12-21
Skoda,Rapid,1.4,125,AMT,бензин,передний,2017,133000,1550000,2023-12-21
Skoda,Rapid,1.6,90,MT,бензин,передний,2018,99343,1249000,2023-12-21
Skoda,Rapid,1.6,110,AT,бензин,передний,2020,131000,1249000,2023-12-21
Skoda,Rapid,1.4,125,AMT,бензин,передний,2022,35500,2190000,2023-12-21
Skoda,Rapid,1.6,105,MT,бензин,передний,2014,68000,900000,2023-12-21
Skoda,Rapid,1.6,105,MT,бензин,передний,2015,226000,850000,2023-12-21
Skoda,Rapid,1.6,90,MT,бензин,передний,2017,147000,1150000,2023-12-21
Skoda,Rapid,1.6,90,MT,бензин,передний,2017,125000,1200000,2023-12-21
Skoda,Rapid,1.6,90,MT,бензин,передний,2019,39900,1419000,2023-12-21
Skoda,Rapid,1.6,90,MT,бензин,передний,2021,89000,1750000,2023-12-21
Skoda,Rapid,1.6,105,AT,бензин,передний,2015,149200,1150000,2023-12-21
Skoda,Rapid,1.4,122,AMT,бензин,передний,2015,128888,1235000,2023-12-21
Skoda,Rapid,1.2,75,MT,бензин,передний,2014,163000,659000,2023-12-21
Skoda,Rapid,1.2,75,MT,бензин,передний,2014,215000,775000,2023-12-21
Skoda,Rapid,1.6,110,MT,бензин,передний,2020,47785,1299000,2023-12-21
Skoda,Rapid,1.6,90,MT,бензин,передний,2020,53000,1890000,2023-12-21
Skoda,Rapid,1.6,110,MT,бензин,передний,2020,88500,1550000,2023-12-21
Skoda,Rapid,1.6,90,MT,бензин,передний,2019,209600,1250000,2023-12-21
Skoda,Rapid,1.6,90,MT,бензин,передний,2021,74045,1580000,2023-12-21
Skoda,Rapid,1.6,90,MT,бензин,передний,2017,98300,1399999,2023-12-21
Skoda,Rapid,1.4,125,AMT,бензин,передний,2022,21000,1849000,2023-12-21
Skoda,Rapid,1.6,110,AT,бензин,передний,2016,129000,1199000,2023-12-21
Skoda,Rapid,1.6,90,MT,бензин,передний,2015,101615,740000,2023-12-21
Skoda,Rapid,1.6,110,AT,бензин,передний,2021,46000,2050000,2023-12-21
Skoda,Rapid,1.4,122,AMT,бензин,передний,2015,143000,1250000,2023-12-21
Skoda,Rapid,1.6,110,AT,бензин,передний,2021,40000,2155000,2023-12-21
Skoda,Rapid,1.6,110,MT,бензин,передний,2015,115000,1040000,2023-12-21
Skoda,Rapid,1.4,125,AMT,бензин,передний,2019,47700,1725000,2023-12-21
Skoda,Rapid,1.6,110,AT,бензин,передний,2020,90000,1850000,2023-12-21
Skoda,Rapid,1.6,110,AT,бензин,передний,2017,159150,1280000,2023-12-21
Skoda,Rapid,1.6,90,MT,бензин,передний,2018,99000,1250000,2023-12-21
Skoda,Rapid,1.6,90,MT,бензин,передний,2019,78000,1429000,2023-12-21
Skoda,Rapid,1.6,90,MT,бензин,передний,2019,4400,1610000,2023-12-21
Skoda,Rapid,1.6,105,MT,бензин,передний,2014,32000,1425000,2023-12-21
Skoda,Rapid,1.4,125,AMT,бензин,передний,2016,153000,1177000,2023-12-21
Skoda,Rapid,1.6,110,AT,бензин,передний,2017,76369,1360000,2023-12-21
Skoda,Rapid,1.4,122,AMT,бензин,передний,2014,169000,912000,2023-12-21
Skoda,Rapid,1.6,105,MT,бензин,передний,2015,100380,1009000,2023-12-21
Skoda,Rapid,1.4,125,AMT,бензин,передний,2020,103000,1850000,2023-12-21
Skoda,Rapid,1.6,110,AT,бензин,передний,2019,46626,1500000,2023-12-21
Skoda,Rapid,1.6,90,MT,бензин,передний,2018,90000,1400000,2023-12-21
Skoda,Rapid,1.6,90,MT,бензин,передний,2016,81253,1070000,2023-12-21
Skoda,Rapid,1.6,105,AT,бензин,передний,2015,102100,1250000,2023-12-21
Skoda,Rapid,1.6,90,MT,бензин,передний,2021,49900,1645000,2023-12-21
Skoda,Rapid,1.2,75,MT,бензин,передний,2014,97000,820000,2023-12-21
Skoda,Rapid,1.4,125,AMT,бензин,передний,2022,14200,2170000,2023-12-21
Skoda,Rapid,1.4,125,AMT,бензин,передний,2017,99310,999000,2023-12-21
Skoda,Rapid,1.6,90,MT,бензин,передний,2017,141367,942000,2023-12-21
Skoda,Rapid,1.6,110,AT,бензин,передний,2015,128000,1200000,2023-12-21
Skoda,Rapid,1.2,110,MT,бензин,передний,2015,132000,950000,2023-12-21
Skoda,Rapid,1.4,125,AMT,бензин,передний,2016,36163,1450000,2023-12-21
Skoda,Rapid,1.6,90,MT,бензин,передний,2019,103000,1070000,2023-12-21
Skoda,Rapid,1.5,112,AT,бензин,передний,2023,50,2499000,2023-12-21
Skoda,Rapid,1.6,110,AT,бензин,передний,2016,100527,1179000,2023-12-21
Skoda,Rapid,1.6,110,MT,бензин,передний,2016,95000,1300000,2023-12-21
Skoda,Rapid,1.4,125,AMT,бензин,передний,2020,32000,1770000,2023-12-21
Skoda,Rapid,1.4,125,AMT,бензин,передний,2021,65000,1970000,2023-12-21
Skoda,Rapid,1.6,90,MT,бензин,передний,2018,123247,1160000,2023-12-21
Skoda,Rapid,1.6,110,AT,бензин,передний,2017,146300,1209000,2023-12-21
Skoda,Rapid,1.6,90,MT,бензин,передний,2018,172000,815000,2023-12-21
Skoda,Rapid,1.6,90,MT,бензин,передний,2018,211500,1049000,2023-12-21
Skoda,Rapid,1.6,110,AT,бензин,передний,2018,53900,1670000,2023-12-21
Skoda,Rapid,1.6,90,MT,бензин,передний,2018,133300,1123000,2023-12-21
Skoda,Rapid,1.6,110,MT,бензин,передний,2016,134700,1118000,2023-12-21
Skoda,Rapid,1.6,90,MT,бензин,передний,2020,152000,1490000,2023-12-21
Skoda,Rapid,1.6,110,AT,бензин,передний,2022,17000,1850000,2023-12-21
Skoda,Rapid,1.6,105,AT,бензин,передний,2014,109471,828110,2023-12-21
Skoda,Rapid,1.6,90,MT,бензин,передний,2019,75724,1290000,2023-12-21
Skoda,Rapid,1.6,90,MT,бензин,передний,2020,42000,1680000,2023-12-21
Skoda,Rapid,1.6,110,AT,бензин,передний,2019,42000,1560000,2023-12-21
Skoda,Rapid,1.6,110,MT,бензин,передний,2021,18000,1950000,2023-12-21
Skoda,Rapid,1.4,125,AMT,бензин,передний,2021,68483,1772000,2023-12-21
Skoda,Rapid,1.6,90,MT,бензин,передний,2017,104705,1249000,2023-12-21
Skoda,Rapid,1.6,110,AT,бензин,передний,2018,66207,1415000,2023-12-21
Skoda,Rapid,1.6,90,MT,бензин,передний,2020,73000,1570000,2023-12-21
Skoda,Rapid,1.6,105,AT,бензин,передний,2015,163305,999000,2023-12-21
Skoda,Rapid,1.6,110,AT,бензин,передний,2017,150029,1179000,2023-12-21
Skoda,Rapid,1.6,110,AT,бензин,передний,2020,125700,1635000,2023-12-21
Skoda,Rapid,1.6,90,MT,бензин,передний,2019,61554,1380000,2023-12-21
Skoda,Rapid,1.6,90,MT,бензин,передний,2020,36000,1870000,2023-12-21
Skoda,Rapid,1.6,90,MT,бензин,передний,2018,158530,950000,2023-12-21
Skoda,Rapid,1.4,125,AMT,бензин,передний,2019,79845,1369000,2023-12-21
Skoda,Rapid,1.6,110,AT,бензин,передний,2021,33000,2150000,2023-12-21
Skoda,Rapid,1.6,90,MT,бензин,передний,2019,62633,1350000,2023-12-21
Skoda,Rapid,1.4,125,AMT,бензин,передний,2019,87800,1350000,2023-12-21
Skoda,Rapid,1.6,110,AT,бензин,передний,2017,153805,1223000,2023-12-21
Skoda,Rapid,1.6,90,MT,бензин,передний,2021,75800,1409000,2023-12-21
Skoda,Rapid,1.6,110,AT,бензин,передний,2020,95100,1748000,2023-12-21
Skoda,Rapid,1.6,110,AT,бензин,передний,2021,82000,1835000,2023-12-21
Skoda,Rapid,1.4,122,AMT,бензин,передний,2015,132174,849000,2023-12-21
Skoda,Rapid,1.6,110,AT,бензин,передний,2021,18311,1900000,2023-12-21
Skoda,Rapid,1.6,90,MT,бензин,передний,2018,138000,949000,2023-12-21
Skoda,Rapid,1.6,90,MT,бензин,передний,2017,114000,1150000,2023-12-21
Skoda,Rapid,1.6,110,AT,бензин,передний,2019,85280,1315500,2023-12-21
Skoda,Rapid,1.6,90,MT,бензин,передний,2017,151300,1210000,2023-12-21
Skoda,Rapid,1.6,110,AT,бензин,передний,2016,172316,980000,2023-12-21
Skoda,Rapid,1.6,110,AT,бензин,передний,2021,110000,1400000,2023-12-21
Skoda,Rapid,1.6,90,MT,бензин,передний,2019,51000,1465000,2023-12-21
Skoda,Rapid,1.6,110,AT,бензин,передний,2018,139000,1190000,2023-12-21
Skoda,Rapid,1.6,110,MT,бензин,передний,2020,37000,1970000,2023-12-21
Skoda,Rapid,1.6,90,MT,бензин,передний,2021,44072,1649000,2023-12-21
Skoda,Rapid,1.6,110,AT,бензин,передний,2016,154000,1290000,2023-12-21
Skoda,Rapid,1.4,122,AMT,бензин,передний,2015,118400,1079450,2023-12-21
Skoda,Rapid,1.6,110,AT,бензин,передний,2020,85000,1755000,2023-12-21
Skoda,Rapid,1.6,90,MT,бензин,передний,2020,68000,1730000,2023-12-21
Skoda,Rapid,1.6,90,MT,бензин,передний,2020,26239,1550000,2023-12-21
Skoda,Rapid,1.6,90,MT,бензин,передний,2018,83934,1650000,2023-12-21
Skoda,Rapid,1.6,110,AT,бензин,передний,2017,85500,1350000,2023-12-21
Skoda,Rapid,1.6,90,MT,бензин,передний,2018,67884,1320000,2023-12-21
Skoda,Rapid,1.6,110,AT,бензин,передний,2021,67000,1690000,2023-12-21
Skoda,Rapid,1.6,90,MT,бензин,передний,2019,115700,1111100,2023-12-21
Skoda,Rapid,1.4,125,AMT,бензин,передний,2017,130500,1290000,2023-12-21
Skoda,Rapid,1.6,90,MT,бензин,передний,2018,84000,1201000,2023-12-21
Skoda,Rapid,1.4,125,AMT,бензин,передний,2021,46000,1950000,2023-12-21
Skoda,Rapid,1.6,110,AT,бензин,передний,2017,68000,1590000,2023-12-21
Skoda,Rapid,1.6,110,AT,бензин,передний,2018,135000,1389900,2023-12-21
Skoda,Rapid,1.6,110,AT,бензин,передний,2021,51000,1835000,2023-12-21
Skoda,Rapid,1.6,110,AT,бензин,передний,2020,74000,1700000,2023-12-21
Skoda,Rapid,1.6,90,MT,бензин,передний,2017,186510,1049888,2023-12-21
Skoda,Rapid,1.6,110,AT,бензин,передний,2019,69000,1765000,2023-12-21
Skoda,Rapid,1.6,110,AT,бензин,передний,2019,42448,1699000,2023-12-21
Skoda,Rapid,1.6,110,AT,бензин,передний,2016,126000,1570000,2023-12-21
Skoda,Rapid,1.6,110,AT,бензин,передний,2019,84000,1430000,2023-12-21
Skoda,Rapid,1.6,90,MT,бензин,передний,2017,112000,1159000,2023-12-21
Skoda,Rapid,1.6,90,MT,бензин,передний,2018,185079,882756,2023-12-21
Skoda,Rapid,1.6,110,AT,бензин,передний,2018,79000,1570000,2023-12-21
Skoda,Rapid,1.6,110,AT,бензин,передний,2018,99270,1345000,2023-12-21
