brand,model,engine,horse_pwr,trans,gas,drive,build_year,mileage_kms,price_rub,date
Skoda,Superb,1.4,150,AMT,бензин,передний,2016,167000,1519000,2023-12-21
Skoda,Superb,1.8,152,AMT,бензин,передний,2014,159000,1199000,2023-12-21
Skoda,Superb,1.8,152,AMT,бензин,передний,2014,118000,1049000,2023-12-21
Skoda,Superb,1.8,152,AT,бензин,передний,2012,146000,1049000,2023-12-21
Skoda,Superb,1.8,152,AT,бензин,передний,2012,147472,989000,2023-12-21
Skoda,Superb,1.8,152,AMT,бензин,передний,2011,171371,950000,2023-12-21
Skoda,Superb,1.8,180,AMT,бензин,передний,2016,107000,1759000,2023-12-21
Skoda,Superb,1.8,152,AMT,бензин,передний,2013,125076,949000,2023-12-21
Skoda,Superb,2.0,200,AMT,бензин,передний,2014,160476,1515000,2023-12-21
Skoda,Superb,1.8,152,AT,бензин,передний,2012,154500,975000,2023-12-21
Skoda,Superb,1.8,152,AMT,бензин,передний,2013,141300,939000,2023-12-21
Skoda,Superb,1.4,150,AMT,бензин,передний,2019,103387,2100000,2023-12-21
Skoda,Superb,1.8,160,AMT,бензин,передний,2014,162245,1049000,2023-12-21
Skoda,Superb,1.8,152,AMT,бензин,передний,2012,140258,899000,2023-12-21
Skoda,Superb,1.8,180,AMT,бензин,передний,2017,19000,1234000,2023-12-21
Skoda,Superb,1.8,152,AT,бензин,передний,2012,163500,935000,2023-12-21
Skoda,Superb,1.4,150,AMT,бензин,передний,2017,230747,1652183,2023-12-21
Skoda,Superb,1.4,150,AMT,бензин,передний,2020,120006,2410600,2023-12-21
Skoda,Superb,1.8,152,AMT,бензин,передний,2011,136000,665000,2023-12-21
Skoda,Superb,1.4,150,AMT,бензин,передний,2019,76037,2113000,2023-12-21
Skoda,Superb,1.8,152,AT,бензин,передний,2012,194680,1055000,2023-12-21
Skoda,Superb,1.4,150,AMT,бензин,передний,2016,166900,1990000,2023-12-21
Skoda,Superb,1.8,152,AMT,бензин,передний,2013,125000,949000,2023-12-21
Skoda,Superb,2.0,140,AMT,дизель,передний,2009,125000,1080000,2023-12-21
Skoda,Superb,1.8,152,AMT,бензин,передний,2013,202325,1379000,2023-12-21
Skoda,Superb,2.0,280,AMT,бензин,полный,2017,111000,1899000,2023-12-21
Skoda,Superb,1.8,152,AT,бензин,передний,2012,187076,1035000,2023-12-21
Skoda,Superb,1.8,180,AMT,бензин,передний,2018,90300,2500000,2023-12-21
Skoda,Superb,2.0,220,AMT,бензин,передний,2016,92500,2900000,2023-12-21
Skoda,Superb,1.8,180,AMT,бензин,передний,2016,135750,2050000,2023-12-21
Skoda,Superb,1.4,150,AMT,бензин,передний,2015,149500,1700000,2023-12-21
Skoda,Superb,1.4,150,AMT,бензин,передний,2017,147225,1499888,2023-12-21
Skoda,Superb,1.8,152,AMT,бензин,передний,2010,172400,1175000,2023-12-21
Skoda,Superb,1.8,152,AMT,бензин,передний,2013,129000,1149000,2023-12-21
Skoda,Superb,1.8,152,AMT,бензин,передний,2015,169000,950000,2023-12-21
Skoda,Superb,1.8,152,AMT,бензин,передний,2013,166236,1399000,2023-12-21
