brand,model,engine,horse_pwr,trans,gas,drive,build_year,mileage_kms,price_rub,date
Volkswagen,Arteon,2.0,150,AMT,дизель,передний,2020,71000,2950000,2023-12-21
Volkswagen,Arteon,1.5,150,AMT,бензин,передний,2019,75002,2990000,2023-12-21
Volkswagen,Arteon,2.0,150,AMT,дизель,передний,2018,145105,2537000,2023-12-21
Volkswagen,Arteon,2.0,240,AMT,дизель,полный,2017,107000,3233000,2023-12-21
Volkswagen,Arteon,2.0,190,AMT,бензин,передний,2021,28954,4470000,2023-12-21
Volkswagen,Arteon,2.0,190,AMT,дизель,передний,2019,57933,4219000,2023-12-21
Volkswagen,Arteon,2.0,280,AMT,бензин,полный,2020,67771,3850000,2023-12-21
Volkswagen,Arteon,2.0,200,AMT,дизель,полный,2020,39000,4777000,2023-12-21
Volkswagen,Arteon,2.0,200,AMT,дизель,полный,2020,74981,4499000,2023-12-21
Volkswagen,Arteon,1.5,150,AMT,бензин,передний,2019,105000,2684000,2023-12-21
Volkswagen,Arteon,2.0,190,AMT,бензин,передний,2018,82000,3680000,2023-12-21
Volkswagen,Arteon,2.0,200,AMT,дизель,полный,2020,65000,4370000,2023-12-21
Volkswagen,Arteon,2.0,190,AMT,дизель,полный,2019,65000,3950000,2023-12-21
Volkswagen,Arteon,2.0,190,AMT,бензин,передний,2020,125012,2817500,2023-12-21
Volkswagen,Arteon,2.0,190,AMT,дизель,передний,2018,113000,3700000,2023-12-21
Volkswagen,Arteon,2.0,190,AMT,дизель,полный,2020,49900,3655000,2023-12-21
Volkswagen,Arteon,2.0,190,AMT,дизель,передний,2019,39564,2320000,2023-12-21
Volkswagen,Arteon,2.0,200,AMT,дизель,передний,2022,65000,4500000,2023-12-21
Volkswagen,Arteon,2.0,190,AMT,бензин,передний,2020,26000,2250000,2023-12-21
Volkswagen,Arteon,2.0,280,AMT,бензин,полный,2020,36000,3999999,2023-12-21
Volkswagen,Arteon,2.0,268,AT,бензин,передний,2020,24000,2050000,2023-12-21
Volkswagen,Arteon,2.0,200,AMT,дизель,полный,2022,8350,5500000,2023-12-21
Volkswagen,Arteon,2.0,280,AMT,бензин,полный,2020,45142,3199000,2023-12-21
Volkswagen,Arteon,2.0,190,AMT,бензин,передний,2019,50092,3150777,2023-12-21
Volkswagen,Arteon,2.0,240,AMT,дизель,полный,2020,7613,4190000,2023-12-21
Volkswagen,Arteon,2.0,150,AMT,дизель,передний,2018,198000,2700000,2023-12-21
Volkswagen,Arteon,2.0,190,AMT,бензин,передний,2020,26966,2735000,2023-12-21
Volkswagen,Arteon,2.0,280,AMT,бензин,полный,2020,51000,3450000,2023-12-21
Volkswagen,Arteon,2.0,280,AMT,бензин,полный,2019,35000,1800000,2023-12-21
Volkswagen,Arteon,2.0,150,AMT,дизель,передний,2019,51000,2400000,2023-12-21
Volkswagen,Arteon,1.5,150,AMT,бензин,передний,2018,180000,2300000,2023-12-21
Volkswagen,Arteon,2.0,280,AMT,бензин,полный,2019,81000,3845000,2023-12-21
Volkswagen,Arteon,2.0,150,AMT,дизель,передний,2018,118000,2990000,2023-12-21
Volkswagen,Arteon,2.0,280,AMT,бензин,полный,2020,50000,3260000,2023-12-21
Volkswagen,Arteon,2.0,240,AMT,дизель,полный,2018,144277,3369000,2023-12-21
Volkswagen,Arteon,2.0,200,AMT,дизель,полный,2022,17095,4650000,2023-12-21
Volkswagen,Arteon,2.0,150,AMT,дизель,передний,2019,52000,2500000,2023-12-21
Volkswagen,Arteon,2.0,190,AMT,дизель,передний,2018,201527,2400000,2023-12-21
Volkswagen,Arteon,2.0,190,AMT,дизель,передний,2018,32295,2650000,2023-12-21
Volkswagen,Arteon,2.0,190,AMT,дизель,передний,2019,87860,2500000,2023-12-21
Volkswagen,Arteon,2.0,190,AMT,бензин,передний,2020,31000,1690000,2023-12-21
Volkswagen,Arteon,2.0,190,AMT,дизель,передний,2019,111868,2560000,2023-12-21
Volkswagen,Arteon,2.0,200,AMT,дизель,передний,2023,8000,5300000,2023-12-21
Volkswagen,Arteon,1.5,150,AMT,бензин,передний,2019,60000,3300000,2023-12-21
Volkswagen,Arteon,2.0,200,AMT,дизель,передний,2023,130,5700000,2023-12-21
Volkswagen,Arteon,2.0,190,AMT,бензин,передний,2020,32682,3319000,2023-12-21
