brand,model,engine,horse_pwr,trans,gas,drive,build_year,mileage_kms,price_rub,date
Volkswagen,Golf,1.2,105.0,AMT,бензин,передний,2013,120311,1279000,2023-12-21
Volkswagen,Golf,1.4,150.0,AT,бензин,передний,2023,687,3515550,2023-12-21
Volkswagen,Golf,1.4,122.0,AMT,бензин,передний,2013,198000,1350000,2023-12-21
Volkswagen,Golf,1.2,105.0,AMT,бензин,передний,2013,135608,999000,2023-12-21
Volkswagen,Golf,1.4,122.0,AMT,бензин,передний,2012,160500,855000,2023-12-21
Volkswagen,Golf,1.6,102.0,AT,бензин,передний,2007,108000,770000,2023-12-21
Volkswagen,Golf,1.2,105.0,MT,бензин,передний,2013,57500,1400000,2023-12-21
Volkswagen,Golf,2.0,184.0,AMT,дизель,передний,2019,135000,2395000,2023-12-21
Volkswagen,Golf,1.4,122.0,MT,бензин,передний,2014,112000,1345500,2023-12-21
Volkswagen,Golf,1.4,122.0,AMT,бензин,передний,2012,183500,855000,2023-12-21
Volkswagen,Golf,1.4,122.0,MT,бензин,передний,2011,229124,850000,2023-12-21
Volkswagen,Golf,1.2,85.0,MT,бензин,передний,2013,94500,850000,2023-12-21
Volkswagen,Golf,1.4,125.0,AMT,бензин,передний,2018,189000,1725000,2023-12-21
Volkswagen,Golf,1.6,102.0,AT,бензин,передний,2008,206574,594613,2023-12-21
Volkswagen,Golf,1.2,105.0,AMT,бензин,передний,2016,45600,1650000,2023-12-21
Volkswagen,Golf,1.4,150.0,AMT,бензин,передний,2013,133000,1100000,2023-12-21
Volkswagen,Golf,1.4,122.0,AMT,бензин,передний,2019,57503,2270000,2023-12-21
Volkswagen,Golf,1.6,102.0,AMT,бензин,передний,2019,20463,2369000,2023-12-21
Volkswagen,Golf,1.4,122.0,AMT,бензин,передний,2013,118200,895000,2023-12-21
Volkswagen,Golf,1.4,122.0,MT,бензин,передний,2011,147349,699000,2023-12-21
Volkswagen,Golf,1.6,115.0,AMT,дизель,передний,2014,141000,1079100,2023-12-21
Volkswagen,Golf,1.4,122.0,AMT,бензин,передний,2008,255000,600000,2023-12-21
Volkswagen,Golf,1.2,85.0,MT,бензин,передний,2017,159200,1603800,2023-12-21
Volkswagen,Golf,1.6,102.0,AT,бензин,передний,2011,92000,1199000,2023-12-21
Volkswagen,Golf,1.6,102.0,AMT,бензин,передний,2013,181000,930000,2023-12-21
Volkswagen,Golf,1.4,122.0,MT,бензин,передний,2007,206770,695000,2023-12-21
Volkswagen,Golf,1.4,55.0,MT,бензин,передний,2009,179200,709000,2023-12-21
Volkswagen,Golf,1.4,122.0,AMT,бензин,передний,2012,159000,850000,2023-12-21
Volkswagen,Golf,1.4,122.0,AMT,бензин,передний,1992,180000,140000,2023-12-21
Volkswagen,Golf,1.6,101.0,MT,бензин,передний,2012,112000,745000,2023-12-21
Volkswagen,Golf,1.6,102.0,AT,бензин,передний,2010,187000,645000,2023-12-21
Volkswagen,Golf,1.8,90.0,MT,бензин,передний,1998,399000,340000,2023-12-21
Volkswagen,Golf,1.6,102.0,MT,бензин,передний,1998,280000,330000,2023-12-21
Volkswagen,Golf,1.4,122.0,AMT,бензин,передний,1995,135000,76000,2023-12-21
Volkswagen,Golf,1.6,102.0,AT,бензин,передний,2010,216000,845000,2023-12-21
Volkswagen,Golf,1.6,102.0,AT,бензин,передний,2012,67500,1375000,2023-12-21
Volkswagen,Golf,1.5,150.0,MT,бензин,передний,2007,232000,565000,2023-12-21
Volkswagen,Golf,1.9,130.0,MT,дизель,передний,2001,166359,417000,2023-12-21
Volkswagen,Golf,1.6,102.0,MT,бензин,передний,2019,43000,1900000,2023-12-21
Volkswagen,Golf,1.6,105.0,MT,бензин,передний,2004,193000,445000,2023-12-21
Volkswagen,Golf,1.4,75.0,MT,бензин,передний,2006,275000,400000,2023-12-21
Volkswagen,Golf,1.4,122.0,AMT,бензин,передний,2002,231000,450000,2023-12-21
Volkswagen,Golf,1.2,105.0,MT,бензин,передний,2000,229000,285000,2023-12-21
Volkswagen,Golf,1.4,140.0,AMT,бензин,передний,2012,119500,780000,2023-12-21
Volkswagen,Golf,1.4,122.0,AMT,бензин,передний,2012,204677,650000,2023-12-21
Volkswagen,Golf,1.6,102.0,AMT,бензин,передний,2013,142384,1169000,2023-12-21
Volkswagen,Golf,1.6,75.0,MT,бензин,передний,2009,206000,850000,2023-12-21
Volkswagen,Golf,1.8,90.0,MT,бензин,передний,1996,300000,180000,2023-12-21
Volkswagen,Golf,1.4,122.0,MT,бензин,передний,2010,328000,760000,2023-12-21
Volkswagen,Golf,1.6,102.0,AMT,бензин,передний,2011,182000,855000,2023-12-21
Volkswagen,Golf,1.6,70.0,MT,дизель,передний,1991,581673,150000,2023-12-21
Volkswagen,Golf,1.4,122.0,AMT,бензин,передний,2010,270704,699000,2023-12-21
Volkswagen,Golf,1.8,180.0,AMT,бензин,полный,2018,139500,1547000,2023-12-21
Volkswagen,Golf,1.2,85.0,MT,бензин,передний,2013,171100,1030000,2023-12-21
Volkswagen,Golf,1.8,90.0,MT,бензин,передний,1996,149500,200000,2023-12-21
Volkswagen,Golf,1.5,150.0,AMT,бензин,передний,2020,72000,1800000,2023-12-21
Volkswagen,Golf,1.4,122.0,AMT,бензин,передний,2009,301000,1500000,2023-12-21
Volkswagen,Golf,1.4,125.0,AMT,бензин,передний,2018,155000,1800000,2023-12-21
Volkswagen,Golf,1.6,110.0,AT,бензин,передний,2014,177777,1399999,2023-12-21
Volkswagen,Golf,1.8,90.0,MT,бензин,передний,1993,118306,135000,2023-12-21
Volkswagen,Golf,1.6,75.0,MT,бензин,передний,1988,200000,75000,2023-12-21
Volkswagen,Golf,1.4,75.0,MT,бензин,передний,1998,350000,250000,2023-12-21
Volkswagen,Golf,1.6,102.0,MT,бензин,передний,2007,220000,550000,2023-12-21
Volkswagen,Golf,2.0,115.0,AT,бензин,передний,2002,292000,460000,2023-12-21
Volkswagen,Golf,2.0,115.0,MT,бензин,передний,1994,226017,163000,2023-12-21
Volkswagen,Golf,1.6,102.0,AMT,бензин,передний,2012,157000,1199000,2023-12-21
Volkswagen,Golf,1.6,102.0,AMT,бензин,передний,2011,172000,935000,2023-12-21
Volkswagen,Golf,1.2,105.0,AMT,бензин,передний,2014,149838,975000,2023-12-21
Volkswagen,Golf,1.8,75.0,MT,бензин,передний,1992,247036,120000,2023-12-21
Volkswagen,Golf,1.4,122.0,MT,бензин,передний,2013,178289,1080000,2023-12-21
Volkswagen,Golf,1.6,102.0,MT,бензин,передний,2012,147000,1200000,2023-12-21
Volkswagen,Golf,1.4,122.0,MT,бензин,передний,2014,147000,1298000,2023-12-21
Volkswagen,Golf,1.4,122.0,MT,бензин,передний,2008,130000,780000,2023-12-21
Volkswagen,Golf,1.4,122.0,AMT,бензин,передний,2013,264305,1099500,2023-12-21
Volkswagen,Golf,1.6,115.0,AMT,дизель,передний,2019,99000,1980000,2023-12-21
Volkswagen,Golf,1.4,140.0,AMT,бензин,передний,2013,233000,1490000,2023-12-21
Volkswagen,Golf,1.4,80.0,MT,бензин,передний,2011,206000,830000,2023-12-21
Volkswagen,Golf,1.8,90.0,MT,бензин,передний,1995,400000,100000,2023-12-21
Volkswagen,Golf,1.2,105.0,AMT,бензин,передний,2011,151300,850000,2023-12-21
Volkswagen,Golf,1.6,101.0,MT,бензин,передний,1999,320000,290000,2023-12-21
Volkswagen,Golf,1.6,102.0,MT,бензин,передний,2012,144000,1100000,2023-12-21
Volkswagen,Golf,2.0,150.0,AMT,дизель,передний,2020,41000,3500000,2023-12-21
Volkswagen,Golf,1.9,101.0,MT,дизель,передний,2000,180000,350000,2023-12-21
Volkswagen,Golf,1.8,90.0,MT,бензин,передний,1993,135000,140000,2023-12-21
Volkswagen,Golf,1.4,122.0,AMT,бензин,передний,2014,86934,1192110,2023-12-21
Volkswagen,Golf,1.9,110.0,AT,дизель,передний,2019,17500,2150000,2023-12-21
Volkswagen,Golf,1.4,122.0,AMT,бензин,передний,1999,167200,549000,2023-12-21
Volkswagen,Golf,1.4,122.0,AMT,бензин,передний,2011,220000,1120000,2023-12-21
Volkswagen,Golf,1.3,55.0,MT,бензин,передний,2014,120000,1120000,2023-12-21
Volkswagen,Golf,1.4,80.0,MT,бензин,передний,2004,156878,215000,2023-12-21
Volkswagen,Golf,1.6,102.0,AT,бензин,передний,2007,190000,590000,2023-12-21
Volkswagen,Golf,2.8,174.0,AT,бензин,передний,2002,281689,320000,2023-12-21
Volkswagen,Golf,1.8,125.0,MT,бензин,передний,1999,180000,535000,2023-12-21
Volkswagen,Golf,1.6,102.0,AMT,бензин,передний,1998,292938,430000,2023-12-21
Volkswagen,Golf,1.8,90.0,MT,бензин,передний,1992,196300,19000,2023-12-21
Volkswagen,Golf,1.4,75.0,MT,бензин,передний,2002,262000,400000,2023-12-21
Volkswagen,Golf,1.8,90.0,AT,бензин,передний,1998,340000,150000,2023-12-21
Volkswagen,Golf,1.3,55.0,MT,бензин,передний,1989,150000,120000,2023-12-21
Volkswagen,Golf,1.6,101.0,MT,бензин,передний,1997,284600,137000,2023-12-21
Volkswagen,Golf,1.8,75.0,MT,бензин,передний,1992,200000,90000,2023-12-21
Volkswagen,Golf,1.4,122.0,AMT,бензин,передний,2019,17500,2150000,2023-12-21
Volkswagen,Golf,1.2,105.0,AMT,бензин,передний,2014,120000,1120000,2023-12-21
Volkswagen,Golf,1.4,122.0,MT,бензин,передний,2014,80000,1350000,2023-12-21
Volkswagen,Golf,1.9,110.0,AT,дизель,передний,2014,175000,1550000,2023-12-21
Volkswagen,Golf,1.4,75.0,MT,бензин,передний,1999,167200,549000,2023-12-21
Volkswagen,Golf,1.4,80.0,MT,бензин,передний,2001,312000,380000,2023-12-21
Volkswagen,Golf,2.8,174.0,AT,бензин,передний,2007,190000,590000,2023-12-21
Volkswagen,Golf,1.4,122.0,AMT,бензин,передний,1999,180000,535000,2023-12-21
Volkswagen,Golf,1.8,125.0,MT,бензин,передний,2011,220000,1120000,2023-12-21
Volkswagen,Golf,1.4,122.0,AMT,бензин,передний,2010,122000,849000,2023-12-21
Volkswagen,Golf,1.4,122.0,MT,бензин,передний,2014,203300,1130000,2023-12-21
Volkswagen,Golf,1.4,122.0,AMT,бензин,передний,2013,200000,1100000,2023-12-21
Volkswagen,Golf,1.4,122.0,MT,бензин,передний,2013,156000,1200000,2023-12-21
Volkswagen,Golf,1.9,90.0,AT,дизель,передний,2013,130000,1270000,2023-12-21
Volkswagen,Golf,1.6,102.0,AMT,бензин,передний,2000,300000,430000,2023-12-21
Volkswagen,Golf,1.4,122.0,AMT,бензин,передний,2011,190000,1000000,2023-12-21
