brand,model,engine,horse_pwr,trans,gas,drive,build_year,mileage_kms,price_rub,date
Volkswagen,Passat,1.8,152.0,AMT,бензин,передний,2012,140000,895000,2023-12-20
Volkswagen,Passat,2.0,190.0,AMT,дизель,полный,2020,64000,3375000,2023-12-20
Volkswagen,Passat,2.0,150.0,AMT,дизель,передний,2020,204000,1969000,2023-12-20
Volkswagen,Passat,1.4,150.0,AMT,бензин,передний,2015,94000,1245000,2023-12-20
Volkswagen,Passat,1.8,152.0,AMT,бензин,передний,2011,222000,1049000,2023-12-20
Volkswagen,Passat,1.8,152.0,AMT,бензин,передний,2013,164000,1199000,2023-12-20
Volkswagen,Passat,1.8,152.0,AMT,бензин,передний,2011,158500,965000,2023-12-20
Volkswagen,Passat,2.0,150.0,AMT,дизель,передний,2018,178000,2200000,2023-12-20
Volkswagen,Passat,1.8,152.0,AMT,бензин,передний,2011,157286,849000,2023-12-20
Volkswagen,Passat,1.8,152.0,AMT,бензин,передний,2013,177500,1095000,2023-12-20
Volkswagen,Passat,1.8,152.0,AMT,бензин,передний,2014,149134,989000,2023-12-20
Volkswagen,Passat,1.8,160.0,AT,бензин,передний,2008,206500,960000,2023-12-20
Volkswagen,Passat,2.0,220.0,AMT,бензин,передний,2017,125000,1720000,2023-12-20
Volkswagen,Passat,1.4,150.0,AMT,бензин,передний,2018,109350,2677700,2023-12-20
Volkswagen,Passat,2.0,210.0,AMT,бензин,полный,2013,131393,1199000,2023-12-20
Volkswagen,Passat,1.4,122.0,MT,бензин,передний,2011,226500,1050000,2023-12-20
Volkswagen,Passat,1.5,150.0,AMT,бензин,передний,2020,63950,2449000,2023-12-20
Volkswagen,Passat,1.8,152.0,AMT,бензин,передний,2011,199070,955000,2023-12-20
Volkswagen,Passat,2.0,150.0,AMT,дизель,передний,2018,154000,2120900,2023-12-20
Volkswagen,Passat,1.4,150.0,AMT,бензин,передний,2019,66150,2400777,2023-12-20
Volkswagen,Passat,2.0,150.0,AMT,дизель,передний,2022,29366,3395000,2023-12-20
Volkswagen,Passat,1.4,150.0,AMT,бензин,передний,2016,165159,1567000,2023-12-20
Volkswagen,Passat,1.8,152.0,AMT,бензин,передний,2012,120912,1049000,2023-12-20
Volkswagen,Passat,2.0,150.0,AMT,дизель,передний,2018,110000,1970000,2023-12-20
Volkswagen,Passat,1.4,125.0,AMT,бензин,передний,2017,12806,2339000,2023-12-20
Volkswagen,Passat,1.4,218.0,AMT,гибрид,передний,2020,52000,2699000,2023-12-20
Volkswagen,Passat,1.8,152.0,AMT,бензин,передний,2011,161900,1041000,2023-12-20
Volkswagen,Passat,2.0,190.0,AMT,дизель,передний,2019,171000,1920000,2023-12-20
Volkswagen,Passat,2.0,150.0,AMT,дизель,передний,2017,112010,1300000,2023-12-20
Volkswagen,Passat,2.0,190.0,AMT,бензин,передний,2021,24000,2850000,2023-12-20
Volkswagen,Passat,2.0,136.0,MT,бензин,передний,1991,524000,260000,2023-12-20
Volkswagen,Passat,1.8,90.0,MT,бензин,передний,1991,244123,179000,2023-12-20
Volkswagen,Passat,1.6,115.0,AT,бензин,передний,2006,250350,695000,2023-12-20
Volkswagen,Passat,1.4,122.0,MT,бензин,передний,2011,170900,950000,2023-12-20
Volkswagen,Passat,1.8,90.0,MT,бензин,передний,1991,179361,187000,2023-12-20
Volkswagen,Passat,2.0,150.0,MT,бензин,передний,2006,155963,652000,2023-12-20
Volkswagen,Passat,2.0,115.0,MT,бензин,полный,1990,299607,255000,2023-12-20
Volkswagen,Passat,2.0,190.0,AMT,дизель,полный,2019,105000,3150000,2023-12-20
Volkswagen,Passat,2.0,140.0,MT,дизель,передний,2008,280000,499000,2023-12-20
Volkswagen,Passat,1.8,160.0,MT,бензин,передний,2008,200000,615000,2023-12-20
Volkswagen,Passat,1.6,75.0,MT,бензин,передний,1988,336388,190000,2023-12-20
Volkswagen,Passat,1.8,160.0,AT,бензин,передний,2010,116000,890000,2023-12-20
Volkswagen,Passat,1.6,75.0,MT,бензин,передний,1988,312030,170000,2023-12-20
Volkswagen,Passat,1.8,160.0,MT,бензин,передний,2008,245000,570000,2023-12-20
Volkswagen,Passat,1.8,150.0,MT,бензин,передний,1999,300000,250000,2023-12-20
Volkswagen,Passat,1.6,102.0,MT,бензин,передний,2007,271000,870000,2023-12-20
Volkswagen,Passat,1.8,160.0,MT,бензин,передний,2008,207000,650000,2023-12-20
Volkswagen,Passat,2.0,200.0,AT,бензин,передний,2008,246000,870000,2023-12-20
Volkswagen,Passat,1.8,107.0,AT,бензин,передний,1988,197830,295000,2023-12-20
Volkswagen,Passat,1.8,180.0,AMT,бензин,передний,2019,52000,3039000,2023-12-20
