brand,model,engine,horse_pwr,trans,gas,drive,build_year,mileage_kms,price_rub,date
Volkswagen,Passat Cc,1.8,152,MT,бензин,передний,2011,215451,980000,2023-12-21
Volkswagen,Passat Cc,1.8,152,AMT,бензин,передний,2011,137058,999000,2023-12-21
Volkswagen,Passat Cc,1.8,152,AMT,бензин,передний,2012,130433,1095000,2023-12-21
Volkswagen,Passat Cc,1.8,152,AMT,бензин,передний,2013,137251,1209000,2023-12-21
Volkswagen,Passat Cc,1.8,152,AMT,бензин,передний,2012,183490,750000,2023-12-21
Volkswagen,Passat Cc,1.8,152,AMT,бензин,передний,2011,190000,1100000,2023-12-21
Volkswagen,Passat Cc,1.8,152,AMT,бензин,передний,2011,169500,905000,2023-12-21
Volkswagen,Passat Cc,1.8,152,AMT,бензин,передний,2012,142912,1354170,2023-12-21
Volkswagen,Passat Cc,1.8,152,MT,бензин,передний,2013,156000,1340000,2023-12-21
Volkswagen,Passat Cc,1.8,152,AMT,бензин,передний,2011,176000,849000,2023-12-21
Volkswagen,Passat Cc,1.8,152,AMT,бензин,передний,2012,166000,1049000,2023-12-21
Volkswagen,Passat Cc,1.8,152,MT,бензин,передний,2012,190036,1550000,2023-12-21
Volkswagen,Passat Cc,2.0,200,AT,бензин,передний,2008,214000,1100000,2023-12-21
Volkswagen,Passat Cc,1.8,152,AMT,бензин,передний,2012,219900,1700000,2023-12-21
Volkswagen,Passat Cc,1.8,152,AMT,бензин,передний,2010,94000,1299000,2023-12-21
Volkswagen,Passat Cc,1.8,152,AMT,бензин,передний,2012,151000,1550000,2023-12-21
Volkswagen,Passat Cc,1.8,152,AMT,бензин,передний,2014,251232,1589000,2023-12-21
Volkswagen,Passat Cc,1.8,152,AMT,бензин,передний,2012,132259,1099000,2023-12-21
Volkswagen,Passat Cc,1.8,152,AMT,бензин,передний,2012,206514,1339000,2023-12-21
Volkswagen,Passat Cc,1.8,152,AMT,бензин,передний,2011,155500,885000,2023-12-21
Volkswagen,Passat Cc,1.8,152,AMT,бензин,передний,2010,234045,959000,2023-12-21
Volkswagen,Passat Cc,1.8,152,MT,бензин,передний,2012,253000,1050000,2023-12-21
Volkswagen,Passat Cc,1.8,152,AMT,бензин,передний,2011,200000,1030000,2023-12-21
Volkswagen,Passat Cc,1.4,150,AMT,бензин,передний,2016,160000,1500000,2023-12-21
Volkswagen,Passat Cc,1.8,152,AMT,бензин,передний,2012,184000,1470000,2023-12-21
Volkswagen,Passat Cc,1.8,152,AMT,бензин,передний,2011,190000,1090000,2023-12-21
Volkswagen,Passat Cc,2.0,140,AMT,дизель,передний,2010,273000,1139000,2023-12-21
Volkswagen,Passat Cc,1.8,152,AMT,бензин,передний,2013,88888,2300000,2023-12-21
Volkswagen,Passat Cc,2.0,210,AMT,бензин,передний,2012,200000,1590000,2023-12-21
Volkswagen,Passat Cc,1.8,152,AMT,бензин,передний,2010,178000,845000,2023-12-21
Volkswagen,Passat Cc,1.8,152,AMT,бензин,передний,2013,162500,1028000,2023-12-21
Volkswagen,Passat Cc,1.8,152,AMT,бензин,передний,2012,159054,1099000,2023-12-21
Volkswagen,Passat Cc,1.8,152,AMT,бензин,передний,2011,182308,909000,2023-12-21
Volkswagen,Passat Cc,1.8,152,AMT,бензин,передний,2011,255000,1139000,2023-12-21
Volkswagen,Passat Cc,1.8,152,AMT,бензин,передний,2012,231000,1350000,2023-12-21
Volkswagen,Passat Cc,1.8,152,AMT,бензин,передний,2010,220000,1080000,2023-12-21
